unit,items,value_count,average_placement
TFT7_Aatrox,ZekesHerald,25,3.28
TFT7_Aatrox,LocketOfTheIronSolari,19,4.052631578947368
TFT7_Aatrox,TitansResolve,14,4.214285714285714
TFT7_Aatrox,Zephyr,16,4.375
TFT7_Aatrox,RedBuff,24,4.375
TFT7_Anivia,"ArchangelsStaff, JeweledGauntlet, MadredsBloodrazor",16,2.6875
TFT7_Anivia,"ArchangelsStaff, HextechGunblade, Morellonomicon",13,3.0
TFT7_Anivia,"ArchangelsStaff, HextechGunblade, MadredsBloodrazor",14,3.0714285714285716
TFT7_Anivia,LocketOfTheIronSolari,35,3.257142857142857
TFT7_Anivia,"ArchangelsStaff, ArchangelsStaff, Morellonomicon",15,3.4
TFT7_AoShin,"GuinsoosRageblade, RabadonsDeathcap, SpearOfShojin",12,2.1666666666666665
TFT7_AoShin,"RabadonsDeathcap, SpearOfShojin, UnstableConcoction",13,2.3076923076923075
TFT7_AoShin,GuildEmblemItem,14,2.7857142857142856
TFT7_AoShin,ShimmerscaleGoldmancersStaff,17,2.823529411764706
TFT7_AoShin,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",24,2.9166666666666665
TFT7_Ashe,"None, None, RunaansHurricane",23,3.217391304347826
TFT7_Ashe,JeweledGauntlet,27,3.259259259259259
TFT7_Ashe,TitanicHydra,15,3.2666666666666666
TFT7_Ashe,"LastWhisper, None, None",39,3.41025641025641
TFT7_Ashe,"None, StatikkShiv, ZekesHerald",17,3.411764705882353
TFT7_AurelionSol,Morellonomicon,13,3.5384615384615383
TFT7_AurelionSol,GuinsoosRageblade,13,4.076923076923077
TFT7_AurelionSol,Bloodthirster,12,4.083333333333333
TFT7_AurelionSol,RabadonsDeathcap,25,4.16
TFT7_AurelionSol,UnstableConcoction,14,4.214285714285714
TFT7_Bard,"None, None, RevelEmblemItem",12,2.3333333333333335
TFT7_Bard,AssassinEmblemItem,15,2.6
TFT7_Bard,LocketOfTheIronSolari,126,2.626984126984127
TFT7_Bard,"LastWhisper, None, None",28,2.642857142857143
TFT7_Bard,RunaansHurricane,60,2.683333333333333
TFT7_Braum,MysticEmblemItem,14,2.357142857142857
TFT7_Braum,ShimmerscaleMogulsMail,14,3.5
TFT7_Braum,BruiserEmblemItem,13,3.5384615384615383
TFT7_Braum,"GargoyleStoneplate, None, RedBuff",18,3.5555555555555554
TFT7_Braum,ForceOfNature,13,3.6153846153846154
TFT7_Corki,"GuinsoosRageblade, Quicksilver, StatikkShiv",16,2.875
