comp,value_count,average_placement,group,grp_count,grp_placement
"Bard, Corki, Heimerdinger, Lulu, Nami, Ryze, Sejuani, TrainerDragon, Tristana",1,1.0,0,871,3.726982040944807
"AoShin, Bard, Lillia, Ornn, Ryze, Soraka, Sylas, Zoe",1,1.0,1,172,2.2430460164835164
"Braum, Diana, Illaoi, Lillia, Olaf, Ornn, Qiyana, Shen, Talon",1,1.0,2,557,4.2977522508390145
"Heimerdinger, Lillia, Lulu, Nami, Ornn, Ryze, Sejuani, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,3,761,4.723195717984592
"AoShin, Bard, Lillia, Ornn, Soraka, Sylas, Zoe",1,1.0,1,172,2.2430460164835164
"AoShin, Bard, Lillia, Ornn, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, Illaoi, Lulu, Nami, Pyke, Ryze, Sona, Sylas, Zoe",1,1.0,4,53,3.6666666666666665
"Bard, Illaoi, Lulu, Nami, Pyke, Ryze, Sylas, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"Ashe, Elise, Gnar, Neeko, Nidalee, Shyvana, Swain, Yasuo",1,1.0,6,9,5.375
"Bard, Corki, DragonBlue, LeeSin, Ornn, Sona, Soraka, TahmKench, Yasuo",1,1.0,7,31,2.876322751322751
"AoShin, Bard, DragonGold, DragonGreen, Soraka, Yasuo",1,1.0,8,1,1.0
"AoShin, Bard, DragonGold, DragonGreen, Leona, Talon",1,1.0,9,1,1.0
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Pyke, Sylas, TrainerDragon, Twitch, Varus",1,1.0,10,29,2.8545454545454545
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Pyke, Ryze, Sylas, TrainerDragon, Zoe",2,1.0,0,871,3.726982040944807
"AoShin, Ashe, Ezreal, Karma, LeeSin, Ornn, Taric, Thresh, Yasuo",1,1.0,11,1,1.0
"Ashe, DragonGold, Kayn, Shen, Talon, Volibear, Xayah, Yasuo",1,1.0,12,1,1.0
"Heimerdinger, Lillia, Lulu, Nami, Ryze, Sylas, TrainerDragon, Vladimir, Yasuo, Zoe",1,1.0,3,761,4.723195717984592
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Sylas, TrainerDragon, Tristana, Twitch, Varus",1,1.0,10,29,2.8545454545454545
"Bard, Corki, DragonBlue, Ornn, Sona, TahmKench, Yasuo",1,1.0,7,31,2.876322751322751
"AoShin, Bard, Lillia, Ornn, Sejuani, Sylas, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, Heimerdinger, Lillia, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Zoe",1,1.0,0,871,3.726982040944807
"Corki, DragonGold, Jinx, Leona, Lulu, Sona, Yasuo",1,1.0,13,1,1.0
"Anivia, Ashe, Bard, DragonGreen, Gnar, Karma, Neeko, Yasuo",1,1.0,14,221,4.402861406270497
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Soraka, Sylas, TrainerDragon, Zoe",1,1.0,0,871,3.726982040944807
"AoShin, Bard, Hecarim, Lulu, Ornn, Soraka, Sylas, Zoe",1,1.0,15,3,1.25
"Corki, DragonGold, Jinx, Kayn, Ornn, Shen, Volibear, Zoe",1,1.0,16,1,1.0
"Braum, Diana, Hecarim, Lillia, Nunu, Olaf, Ornn, Sejuani, Zoe",1,1.0,17,10,3.2777777777777777
"Bard, Illaoi, Lulu, Nami, Ryze, Sejuani, Sylas, Twitch, Varus",1,1.0,5,425,3.5767944052854963
"AoShin, Bard, Lillia, Nami, Ornn, Sejuani, Sylas, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, Heimerdinger, Lulu, Nami, Ryze, Sylas, TrainerDragon, Vladimir, Yasuo, Zoe",1,1.0,0,871,3.726982040944807
"AoShin, Heimerdinger, Lillia, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Zoe",1,1.0,3,761,4.723195717984592
"Bard, Illaoi, Lulu, Nami, Ryze, Sona, Sylas, Talon, Zoe",1,1.0,4,53,3.6666666666666665
"AoShin, Bard, Corki, Lulu, Ornn, Sona, Yasuo, Zoe",1,1.0,18,1,1.0
"AoShin, Heimerdinger, Lillia, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",2,1.0,3,761,4.723195717984592
"Bard, Corki, DragonBlue, Lulu, Ornn, Sona, TahmKench, Yasuo",2,1.0,7,31,2.876322751322751
"Corki, DragonGold, Jinx, Lulu, Senna, Sona, TahmKench, TrainerDragon, Tristana",1,1.0,19,301,5.073461771946116
"Anivia, Corki, DragonGold, Lulu, Sona, Soraka, Thresh, TrainerDragon, Tristana",1,1.0,20,4,4.166666666666667
"AoShin, Bard, Hecarim, Lulu, Ornn, Pyke, Sejuani, Talon",1,1.0,21,8,2.2142857142857144
"AoShin, Bard, Hecarim, Lulu, Neeko, Ornn, Yasuo, Zoe",1,1.0,22,2,1.0
"Braum, Corki, Heimerdinger, Jinx, Lulu, Neeko, Thresh, TrainerDragon, Tristana",1,1.0,23,71,5.213685770750987
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Sona, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,0,871,3.726982040944807
"Bard, DragonGreen, Ornn, Pyke, Qiyana, Talon, Yasuo",1,1.0,24,76,3.0309523809523813
"Bard, DragonGreen, LeeSin, Nami, Ornn, Soraka, Talon, Yasuo",1,1.0,25,1,1.0
"Bard, Heimerdinger, Illaoi, Lillia, Lulu, Nami, Ryze, Sylas, TrainerDragon, Zoe",2,1.0,0,871,3.726982040944807
"AoShin, Bard, Ornn, Ryze, Sejuani, Sylas, Twitch, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, Heimerdinger, Illaoi, Lillia, Nami, Ryze, Sylas, Vladimir, Zoe",2,1.0,4,53,3.6666666666666665
"AoShin, Bard, Ornn, Ryze, Shen, Soraka, Sylas, Zoe",1,1.0,1,172,2.2430460164835164
"Corki, DragonGold, Lulu, Ornn, Sona, Soraka, TrainerDragon, Tristana, Yasuo",1,1.0,19,301,5.073461771946116
"AoShin, Bard, Ornn, Ryze, Sejuani, Sylas, Talon, Zoe",1,1.0,1,172,2.2430460164835164
"Corki, DragonGold, Lulu, Pyke, Sona, Talon, TrainerDragon, Tristana, Yasuo",2,1.0,19,301,5.073461771946116
"Bard, DragonGreen, Elise, Gnar, Neeko, Nidalee, Soraka, Swain",1,1.0,26,102,3.1233870967741937
"AoShin, Heimerdinger, LeeSin, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",1,1.0,3,761,4.723195717984592
"Bard, DragonGreen, Elise, Gnar, Neeko, Nidalee, Pyke, Soraka, Talon, Yasuo",1,1.0,26,102,3.1233870967741937
"Bard, DragonGreen, Elise, Gnar, Neeko, Pyke, Soraka, Talon",1,1.0,26,102,3.1233870967741937
"AoShin, Bard, Lulu, Nami, Ornn, Sylas, Vladimir, Zoe",1,1.0,1,172,2.2430460164835164
"Bard, DragonGreen, Elise, Gnar, Lulu, Neeko, Nidalee, Soraka, Thresh",1,1.0,26,102,3.1233870967741937
"AoShin, Bard, Ornn, Shen, Soraka",1,1.0,27,2,4.0
"Braum, Corki, DragonGold, Jinx, Lulu, Nami, Sona, TrainerDragon, Tristana",1,1.0,28,135,5.0022031539888685
"Anivia, Corki, DragonGreen, Gnar, Lulu, Neeko, Sona, TrainerDragon, Tristana",1,1.0,29,1,1.0
"AoShin, Bard, Ornn, Ryze, Sejuani, Sylas, Talon, Twitch, Zoe",1,1.0,1,172,2.2430460164835164
"Anivia, Hecarim, Karma, LeeSin, Ornn, Sejuani, Soraka, Volibear",1,1.0,30,26,4.780701754385965
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Sona, Sylas, TrainerDragon, Varus, Zoe",1,1.0,0,871,3.726982040944807
"Braum, Corki, DragonGold, Lulu, Shen, Soraka, TahmKench, TrainerDragon, Tristana",1,1.0,28,135,5.0022031539888685
"Braum, Corki, DragonGold, Lulu, Neeko, Ryze, Sona, TrainerDragon, Tristana",1,1.0,28,135,5.0022031539888685
"Bard, DragonGreen, Gnar, Neeko, Nidalee, Soraka",1,1.0,26,102,3.1233870967741937
"Bard, DragonGreen, Gnar, Neeko, Nidalee, Soraka, Swain",1,1.0,26,102,3.1233870967741937
"Bard, Diana, Lillia, Olaf, Pyke, Sejuani, Sylas, Talon, Yasuo",1,1.0,31,33,3.144230769230769
"Heimerdinger, Illaoi, Lulu, Nami, Pyke, Ryze, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,3,761,4.723195717984592
"Heimerdinger, Illaoi, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,3,761,4.723195717984592
"Anivia, Hecarim, LeeSin, Lulu, Nunu, Ornn, Sejuani, Volibear",1,1.0,30,26,4.780701754385965
"AoShin, Bard, DragonGold, DragonPurple, Ornn, Pyke",1,1.0,32,5,3.111111111111111
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Ryze, Sona, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,0,871,3.726982040944807
"Heimerdinger, Illaoi, Lulu, Nami, Pyke, Ryze, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,3,761,4.723195717984592
"Bard, Corki, DragonBlue, Jinx, Lulu, Shen, Sona, TahmKench, TrainerDragon, Tristana",1,1.0,0,871,3.726982040944807
"Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka",1,1.0,26,102,3.1233870967741937
"Bard, Heimerdinger, Illaoi, Lulu, Nami, Ryze, Soraka, Sylas, TrainerDragon, Vladimir",1,1.0,0,871,3.726982040944807
"Heimerdinger, Illaoi, Lulu, Nami, Ornn, Qiyana, Talon, TrainerDragon, Twitch, Varus, Zoe",1,1.0,33,93,4.6217460317460315
"AoShin, Bard, DragonGold, DragonPurple, Olaf, Ornn, Sylas, Thresh",1,1.0,34,1,1.0
"AoShin, Bard, Ornn, Shen, Soraka, Yasuo, Zoe",1,1.0,1,172,2.2430460164835164
"Anivia, DragonGold, LeeSin, Nunu, Ornn, Sejuani, Volibear, Yasuo",1,1.0,35,1,1.0
"Bard, Illaoi, Ornn, Sejuani, Shen, Talon, Twitch, Varus, Xayah",1,1.0,5,425,3.5767944052854963
"Bard, Diana, Hecarim, Lillia, Nami, Nunu, Soraka, Yasuo, Zoe",1,1.0,36,1,1.0
