placement,group,comp,grp_count,grp_placement,mode
7,-1,"AoShin, Bard, Illaoi, Ornn, Shen, Sylas, Zoe",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
8,-1,"AoShin, Illaoi, Lulu, Ornn, Shen, Sona, TahmKench",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"AoShin, Hecarim, LeeSin, Neeko, Ornn, Soraka, Yasuo",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"Bard, Corki, DragonPurple, Heimerdinger, Lulu, Nami, Sylas, TrainerDragon",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
8,-1,"Elise, Gnar, Neeko, Swain, Taric, Thresh",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"AurelionSol, Bard, Hecarim, Lulu, Ornn, Sejuani, Soraka",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
2,-1,"AoShin, Bard, Illaoi, Lulu, Nami, Sylas, Yasuo, Zoe",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
8,-1,"Braum, Diana, Lillia, Olaf, Ryze, Sejuani, Twitch",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
8,-1,"Anivia, Bard, DragonGreen, Elise, Gnar, Neeko",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"Corki, DragonGold, Jinx, Shen, Sona, Soraka, TahmKench",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"AoShin, Ashe, Bard, Heimerdinger, Lillia, Lulu, Ornn, Sylas, TrainerDragon",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"DragonGreen, Elise, Gnar, Nami, Neeko, Nidalee, Shen, Soraka",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"Corki, DragonGold, Lulu, Shen, Sona, Talon, TrainerDragon, Tristana",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"Kayn, LeeSin, Ornn, Senna, Sett, Shen, Swain, Talon, Xayah",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
2,-1,"Bard, DragonGold, Pyke, Talon, Thresh, Xayah, Yasuo, Zoe",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"DragonPurple, Olaf, Ornn, Shen, Sylas, Yone",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
2,-1,"Corki, DragonBlue, Jinx, Ornn, Qiyana, Sona, Sylas",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"AoShin, Bard, DragonGold, Leona, Lulu, Ornn",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"DragonPurple, Lulu, Ornn, Shen, Sylas, TrainerDragon, Tristana",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
8,-1,"Illaoi, Nunu, Sett",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"Bard, Corki, DragonGold, Lulu, Sona, TahmKench, TrainerDragon, Tristana",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"Bard, Diana, DragonGold, Kayn, Pyke, Talon, Thresh",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
2,-1,"DragonGold, DragonPurple, Pyke, Sylas, Talon, Thresh, Yasuo",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"AoShin, DragonGold, Lulu, Ornn, Sona, Soraka, Zoe",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
2,-1,"Diana, DragonGold, Ornn, Pyke, Qiyana, Talon, Thresh",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
5,-1,"Anivia, DragonPurple, Elise, Gnar, Neeko, Sylas, Yasuo",,4.860018581604212,"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Xayah"
