unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",10308,4.497671711292201
TFT7_Anivia,"None, None, None",10079,4.49806528425439
TFT7_Anivia,"ArchangelsStaff, None, None",13,5.3076923076923075
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",21,2.4761904761904763
TFT7_AoShin,"ArchangelsStaff, RabadonsDeathcap, SpearOfShojin",21,2.9047619047619047
TFT7_AoShin,"ArchangelsStaff, GuinsoosRageblade, SpearOfShojin",27,2.925925925925926
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",79,2.9873417721518987
TFT7_AoShin,"ArchangelsStaff, SpearOfShojin, UnstableConcoction",22,3.0454545454545454
TFT7_Ashe,"None, None, Shroud",12,4.333333333333333
TFT7_Ashe,"None, None, None",10106,4.500395804472591
TFT7_Ashe,"None, None, StatikkShiv",25,5.0
TFT7_AurelionSol,"None, None, None",10243,4.498682026749975
TFT7_Bard,"None, None, Zephyr",51,2.4705882352941178
TFT7_Bard,"None, None, TitanicHydra",13,2.923076923076923
TFT7_Bard,"None, None, StatikkShiv",48,3.0
TFT7_Bard,"None, None, RapidFireCannon",12,3.0
TFT7_Bard,"Chalice, None, None",22,3.090909090909091
TFT7_Braum,"None, None, None",9866,4.492803567808636
TFT7_Braum,"GargoyleStoneplate, None, None",18,4.555555555555555
TFT7_Braum,"None, None, TitanicHydra",25,4.68
TFT7_Braum,"ChainVest, None, None",16,4.9375
TFT7_Braum,"None, None, WarmogsArmor",18,5.222222222222222
TFT7_Corki,"GuinsoosRageblade, MadredsBloodrazor, MadredsBloodrazor",12,3.5833333333333335
TFT7_Corki,"InfinityEdge, LastWhisper, UnstableConcoction",14,3.642857142857143
TFT7_Corki,"GuinsoosRageblade, RunaansHurricane, UnstableConcoction",12,3.6666666666666665
TFT7_Corki,"GuinsoosRageblade, MadredsBloodrazor, RunaansHurricane",12,3.6666666666666665
TFT7_Corki,"GuinsoosRageblade, InfinityEdge, ShimmerscaleDravensAxe",16,4.0
TFT7_Diana,"FrozenHeart, InfinityEdge, IonicSpark",12,3.5833333333333335
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",37,3.72972972972973
TFT7_Diana,"None, None, None",9702,4.531024531024531
TFT7_Diana,"FrozenHeart, None, None",31,4.870967741935484
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, RevelEmblemItem",40,2.4
TFT7_DragonBlue,"Quicksilver, RevelEmblemItem, StatikkShiv",12,3.0833333333333335
TFT7_DragonBlue,"ArchangelsStaff, JeweledGauntlet, MadredsBloodrazor",19,3.473684210526316
TFT7_DragonBlue,"GuinsoosRageblade, RevelEmblemItem, StatikkShiv",25,3.76
TFT7_DragonBlue,"ArchangelsStaff, InfinityEdge, JeweledGauntlet",27,3.7777777777777777
TFT7_DragonGold,"DragonsClaw, GargoyleStoneplate, WarmogsArmor",25,3.16
TFT7_DragonGold,"BrambleVest, GargoyleStoneplate, WarmogsArmor",13,3.6153846153846154
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, Redemption",24,3.7916666666666665
TFT7_DragonGold,"BrambleVest, GargoyleStoneplate, RedBuff",22,3.909090909090909
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, ShimmerscaleDiamondHands",18,3.9444444444444446
TFT7_DragonGreen,"Bloodthirster, InfinityEdge, TitansResolve",15,3.8666666666666667
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, TitansResolve",13,3.923076923076923
TFT7_DragonGreen,"None, None, None",9756,4.499589995899959
TFT7_DragonGreen,"Bloodthirster, MadredsBloodrazor, TitansResolve",13,4.615384615384615
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, MadredsBloodrazor",21,3.3333333333333335
TFT7_DragonPurple,"Bloodthirster, MadredsBloodrazor, TitansResolve",17,3.3529411764705883
TFT7_DragonPurple,"AssassinEmblemItem, InfinityEdge, UnstableConcoction",29,3.413793103448276
TFT7_DragonPurple,"Bloodthirster, MadredsBloodrazor, Quicksilver",13,3.4615384615384617
TFT7_DragonPurple,"GuinsoosRageblade, Quicksilver, UnstableConcoction",12,3.5833333333333335
TFT7_Elise,"None, None, None",9940,4.500704225352113
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",40,4.8
TFT7_Elise,"ArchangelsStaff, Bloodthirster, GuinsoosRageblade",16,4.875
TFT7_Ezreal,"None, None, None",10245,4.500829673011225
TFT7_Gnar,"None, None, Shroud",16,3.125
TFT7_Gnar,"None, None, TitanicHydra",14,3.2142857142857144
TFT7_Gnar,"None, None, Zephyr",18,3.2222222222222223
TFT7_Gnar,"None, None, SparringGloves",15,3.6
TFT7_Gnar,"FrozenHeart, None, None",15,4.0
TFT7_Hecarim,"None, None, RabadonsDeathcap",13,3.6923076923076925
TFT7_Hecarim,"LocketOfTheIronSolari, None, None",16,3.75
TFT7_Hecarim,"None, None, Zephyr",14,3.857142857142857
TFT7_Hecarim,"None, None, Redemption",21,4.142857142857143
TFT7_Hecarim,"IonicSpark, None, None",15,4.2
TFT7_Heimerdinger,"None, None, PowerGauntlet",12,3.0833333333333335
TFT7_Heimerdinger,"NeedlesslyLargeRod, None, None",19,3.3157894736842106
TFT7_Heimerdinger,"BFSword, None, None",13,3.5384615384615383
TFT7_Heimerdinger,"None, None, RecurveBow",23,3.5652173913043477
TFT7_Heimerdinger,"None, None, StatikkShiv",26,3.6538461538461537
TFT7_Illaoi,"RedBuff, Redemption, WarmogsArmor",21,3.1904761904761907
TFT7_Illaoi,"GargoyleStoneplate, RedBuff, Redemption",22,3.5
TFT7_Illaoi,"GargoyleStoneplate, RedBuff, WarmogsArmor",24,3.7083333333333335
TFT7_Illaoi,"GargoyleStoneplate, RedBuff, TitansResolve",12,3.75
TFT7_Illaoi,"None, None, Shroud",14,3.857142857142857
TFT7_Jinx,"None, None, Shroud",14,4.0
TFT7_Jinx,"None, None, StatikkShiv",16,4.0
TFT7_Jinx,"None, None, None",10013,4.500249675421951
TFT7_Jinx,"None, None, ZekesHerald",12,4.75
TFT7_Jinx,"LocketOfTheIronSolari, None, None",15,4.866666666666666
TFT7_Karma,"None, None, None",10229,4.499657835565549
TFT7_Karma,"InfinityEdge, JeweledGauntlet, SeraphsEmbrace",30,4.7
TFT7_Kayn,"FrozenHeart, None, None",26,4.230769230769231
TFT7_Kayn,"None, None, None",10172,4.493413291388125
TFT7_LeeSin,"None, None, TitanicHydra",12,3.3333333333333335
TFT7_LeeSin,"None, None, None",10075,4.4979652605459055
TFT7_Leona,"None, None, RedBuff",13,4.153846153846154
TFT7_Leona,"None, None, None",10120,4.496837944664032
TFT7_Leona,"None, None, Shroud",12,4.583333333333333
TFT7_Lillia,"ArchangelsStaff, Bloodthirster, TitansResolve",12,4.416666666666667
TFT7_Lillia,"None, None, None",9918,4.497176850171406
TFT7_Lillia,"ArchangelsStaff, Bloodthirster, IonicSpark",17,5.647058823529412
TFT7_Lulu,"None, PowerGauntlet, ZekesHerald",17,2.8823529411764706
TFT7_Lulu,"None, None, Redemption",23,3.1739130434782608
TFT7_Lulu,"ChainVest, None, None",16,3.1875
TFT7_Lulu,"ForceOfNature, None, None",14,3.357142857142857
TFT7_Lulu,"FrozenHeart, None, None",19,3.4210526315789473
TFT7_Nami,"JeweledGauntlet, None, None",16,3.6875
TFT7_Nami,"None, None, Zephyr",18,3.7777777777777777
TFT7_Nami,"None, None, Shroud",23,3.782608695652174
TFT7_Nami,"None, None, PowerGauntlet",23,3.8260869565217392
TFT7_Nami,"GuinsoosRageblade, None, None",14,4.071428571428571
TFT7_Neeko,"RedBuff, Redemption, WarmogsArmor",20,2.25
TFT7_Neeko,"IonicSpark, RedBuff, WarmogsArmor",14,2.7857142857142856
TFT7_Neeko,"GargoyleStoneplate, IonicSpark, RedBuff",16,3.0625
TFT7_Neeko,"DragonsClaw, RedBuff, Redemption",12,3.6666666666666665
TFT7_Neeko,"DragonsClaw, GargoyleStoneplate, RedBuff",13,3.6923076923076925
TFT7_Nidalee,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",66,4.0606060606060606
TFT7_Nidalee,"Deathblade, GuinsoosRageblade, Quicksilver",112,4.080357142857143
TFT7_Nidalee,"GuinsoosRageblade, InfinityEdge, Quicksilver",12,4.333333333333333
TFT7_Nidalee,"None, None, None",9979,4.507866519691352
TFT7_Nidalee,"GuinsoosRageblade, Quicksilver, UnstableConcoction",12,4.833333333333333
TFT7_Nunu,"IonicSpark, RedBuff, WarmogsArmor",19,3.1052631578947367
TFT7_Nunu,"RedBuff, Redemption, WarmogsArmor",13,4.0
TFT7_Nunu,"DragonsClaw, RedBuff, WarmogsArmor",13,4.230769230769231
TFT7_Nunu,"IonicSpark, None, RedBuff",13,4.384615384615385
TFT7_Nunu,"None, None, None",9625,4.507532467532467
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, UnstableConcoction",15,3.1333333333333333
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, RunaansHurricane",134,3.3358208955223883
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, RapidFireCannon",65,3.3846153846153846
TFT7_Olaf,"AssassinEmblemItem, Bloodthirster, InfinityEdge",22,3.6818181818181817
TFT7_Olaf,"None, None, None",9676,4.5267672591980155
TFT7_Ornn,"GargoyleStoneplate, RedBuff, WarmogsArmor",20,2.95
TFT7_Ornn,"DragonsClaw, GargoyleStoneplate, None",15,3.3333333333333335
TFT7_Ornn,"None, None, Zephyr",27,3.3703703703703702
TFT7_Ornn,"DragonsClaw, RedBuff, WarmogsArmor",13,3.4615384615384617
TFT7_Ornn,"FrozenHeart, None, None",32,3.46875
TFT7_Pyke,"FrozenHeart, None, None",27,3.037037037037037
TFT7_Pyke,"InfinityEdge, None, None",17,3.235294117647059
TFT7_Pyke,"HextechGunblade, None, None",16,3.3125
TFT7_Pyke,"IonicSpark, None, None",15,4.4
TFT7_Pyke,"None, None, None",9522,4.601029195547154
TFT7_Qiyana,"LocketOfTheIronSolari, None, None",24,2.7916666666666665
TFT7_Qiyana,"None, None, Shroud",34,3.235294117647059
TFT7_Qiyana,"None, None, StatikkShiv",18,3.4444444444444446
TFT7_Qiyana,"IonicSpark, None, None",31,3.5806451612903225
TFT7_Qiyana,"None, None, Zephyr",38,3.6842105263157894
TFT7_Ryze,"ArchangelsStaff, Bloodthirster, SpearOfShojin",12,3.4166666666666665
TFT7_Ryze,"None, None, None",9060,4.451103752759382
TFT7_Ryze,"ArchangelsStaff, HextechGunblade, SpearOfShojin",92,4.489130434782608
TFT7_Ryze,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",51,4.549019607843137
TFT7_Ryze,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",24,4.625
TFT7_Sejuani,"None, None, TitanicHydra",36,3.3333333333333335
TFT7_Sejuani,"LocketOfTheIronSolari, None, None",31,3.4838709677419355
TFT7_Sejuani,"None, None, Zephyr",43,3.744186046511628
TFT7_Sejuani,"None, None, Shroud",41,3.8292682926829267
TFT7_Sejuani,"None, None, RedBuff",31,3.903225806451613
TFT7_Senna,"None, None, None",10351,4.496763597720027
TFT7_Sett,"None, None, None",10273,4.495473571498102
TFT7_Shen,"IonicSpark, None, None",12,2.8333333333333335
TFT7_Shen,"Chalice, None, None",13,3.1538461538461537
TFT7_Shen,"None, None, Zephyr",55,3.5272727272727273
TFT7_Shen,"None, None, ZekesHerald",29,3.5517241379310347
TFT7_Shen,"DragonsClaw, None, None",14,3.7857142857142856
TFT7_Shyvana,"None, None, None",10019,4.52929434075257
TFT7_Skarner,"None, None, None",10247,4.495852444617937
TFT7_Sona,"MageEmblemItem, Morellonomicon, None",13,3.3846153846153846
TFT7_Sona,"Morellonomicon, None, None",55,4.0181818181818185
TFT7_Sona,"ArchangelsStaff, None, None",34,4.205882352941177
TFT7_Sona,"JeweledGauntlet, None, None",18,4.444444444444445
TFT7_Sona,"None, None, None",8837,4.542491795858323
TFT7_Soraka,"ArchangelsStaff, None, None",21,2.761904761904762
TFT7_Soraka,"None, None, StatikkShiv",23,3.0869565217391304
TFT7_Soraka,"Chalice, None, None",18,3.111111111111111
TFT7_Soraka,"None, None, ZekesHerald",12,3.25
TFT7_Soraka,"None, None, SpearOfShojin",38,3.3157894736842106
TFT7_Swain,"GuinsoosRageblade, Quicksilver, StatikkShiv",84,4.059523809523809
TFT7_Swain,"None, None, None",9917,4.485731572047999
TFT7_Swain,"ArchangelsStaff, GuinsoosRageblade, StatikkShiv",17,4.647058823529412
TFT7_Swain,"ArchangelsStaff, GuinsoosRageblade, Quicksilver",53,5.0
TFT7_Swain,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",14,5.857142857142857
TFT7_Sylas,"GargoyleStoneplate, Quicksilver, RedBuff",15,2.6
TFT7_Sylas,"BrambleVest, None, RedBuff",17,3.1176470588235294
TFT7_Sylas,"IonicSpark, RedBuff, TitanicHydra",13,3.3076923076923075
TFT7_Sylas,"IonicSpark, RedBuff, WarmogsArmor",29,3.3793103448275863
TFT7_Sylas,"None, None, Shroud",46,3.391304347826087
TFT7_TahmKench,"None, None, TitanicHydra",18,3.3333333333333335
TFT7_TahmKench,"None, None, None",10173,4.502211736950752
TFT7_TahmKench,"None, None, RedBuff",17,4.823529411764706
TFT7_Talon,"Deathblade, None, None",13,3.230769230769231
TFT7_Talon,"FrozenHeart, InfinityEdge, UnstableConcoction",21,3.380952380952381
TFT7_Talon,"FrozenHeart, InfinityEdge, RedBuff",18,3.5555555555555554
TFT7_Talon,"None, None, RedBuff",27,3.6296296296296298
TFT7_Talon,"None, None, RunaansHurricane",17,3.6470588235294117
TFT7_Taric,"None, None, None",10263,4.498587157751145
TFT7_Thresh,"None, None, TitanicHydra",23,3.391304347826087
TFT7_Thresh,"None, None, Redemption",12,3.5833333333333335
TFT7_Thresh,"None, None, Zephyr",21,4.142857142857143
TFT7_Thresh,"None, None, ShimmerscaleEmblemItem",12,4.166666666666667
TFT7_Thresh,"None, None, None",9932,4.520136931131695
TFT7_TrainerDragon,"None, None, None",7197,4.495623176323468
TFT7_TrainerDragon,"None, None, TrainerSnax",3195,4.509859154929577
TFT7_Tristana,"LastWhisper, None, None",26,3.769230769230769
TFT7_Tristana,"None, None, Shroud",24,3.8333333333333335
TFT7_Tristana,"BFSword, None, None",16,3.9375
TFT7_Tristana,"None, None, None",9506,4.493267410056807
TFT7_Tristana,"None, None, StatikkShiv",31,4.548387096774194
TFT7_Twitch,"None, ZekesHerald, ZekesHerald",15,3.0
TFT7_Twitch,"None, None, RunaansHurricane",16,3.375
TFT7_Twitch,"LastWhisper, None, None",23,3.5652173913043477
TFT7_Twitch,"None, PowerGauntlet, ZekesHerald",21,3.619047619047619
TFT7_Twitch,"None, None, Shroud",31,3.6451612903225805
TFT7_Varus,"Deathblade, MadredsBloodrazor, RunaansHurricane",12,3.4166666666666665
TFT7_Varus,"GuinsoosRageblade, RunaansHurricane, UnstableConcoction",38,3.9473684210526314
TFT7_Varus,"Deathblade, GuinsoosRageblade, InfinityEdge",23,3.9565217391304346
TFT7_Varus,"GuinsoosRageblade, Quicksilver, RunaansHurricane",12,4.0
TFT7_Varus,"Deathblade, GuinsoosRageblade, Quicksilver",33,4.121212121212121
TFT7_Vladimir,"None, None, Shroud",22,3.5454545454545454
TFT7_Vladimir,"None, None, None",10087,4.4991573312184
TFT7_Vladimir,"None, None, TitanicHydra",26,5.576923076923077
TFT7_Volibear,"None, None, None",10133,4.4865291621434915
TFT7_Volibear,"Bloodthirster, GuinsoosRageblade, Quicksilver",41,4.926829268292683
TFT7_Xayah,"GuildEmblemItem, GuinsoosRageblade, Quicksilver",16,3.5
TFT7_Xayah,"Deathblade, GuinsoosRageblade, RunaansHurricane",12,3.75
TFT7_Xayah,"GuinsoosRageblade, InfinityEdge, UnstableConcoction",19,3.8947368421052633
TFT7_Xayah,"GuinsoosRageblade, Quicksilver, RunaansHurricane",13,3.923076923076923
TFT7_Xayah,"GuinsoosRageblade, MadredsBloodrazor, MadredsBloodrazor",19,4.0
TFT7_Yasuo,"None, None, Zephyr",13,2.230769230769231
TFT7_Yasuo,"AssassinEmblemItem, None, None",20,3.25
TFT7_Yasuo,"FrozenHeart, None, None",14,3.5714285714285716
TFT7_Yasuo,"None, None, SeraphsEmbrace",40,3.675
TFT7_Yasuo,"Bloodthirster, None, None",18,3.7222222222222223
TFT7_Yone,"None, None, None",10083,4.501140533571358
TFT7_Yone,"None, None, StatikkShiv",14,4.642857142857143
TFT7_Yone,"Bloodthirster, GuinsoosRageblade, Quicksilver",19,4.684210526315789
TFT7_Zoe,"None, None, Quicksilver",15,2.8666666666666667
TFT7_Zoe,"ArchangelsStaff, None, None",25,3.12
TFT7_Zoe,"None, None, UnstableConcoction",13,3.3076923076923075
TFT7_Zoe,"HextechGunblade, None, None",13,3.4615384615384617
TFT7_Zoe,"None, None, SeraphsEmbrace",18,3.5
