augment2,Value_Count,average_placement
TFT6_Augment_Featherweights1,1,1.0
TFT7_Augment_TempestEmblem2,1,1.0
TFT6_Augment_Traitless2,3,2.0
TFT6_Augment_Traitless1,1,2.0
TFT6_Augment_TheGoldenEggHR,1,2.0
TFT7_Augment_WarriorEmblem2,2,2.5
TFT7_Augment_ShapeshifterTrait,10,2.6
TFT6_Augment_Featherweights2,3,2.6666666666666665
TFT7_Augment_RagewingEmblem,5,2.8
TFT7_Augment_ShimmerscaleTrait2,1,3.0
TFT7_Augment_ShimmerscaleEmblem,6,3.1666666666666665
TFT6_Augment_TriForce3,3,3.3333333333333335
TFT7_Augment_TempestTrait,5,3.4
TFT7_Augment_DragonmancerEmblem2,2,3.5
TFT7_Augment_AssassinEmblem2,13,3.5384615384615383
TFT7_Augment_MysticTrait,12,3.5833333333333335
TFT7_Augment_RevelEmblem2,12,3.6666666666666665
TFT6_Augment_CyberneticImplants1,23,3.6956521739130435
TFT7_Augment_JadeEmblem,7,3.7142857142857144
TFT6_Augment_Meditation3,22,3.727272727272727
TFT6_Augment_CyberneticShell3,23,3.782608695652174
TFT6_Augment_Distancing,22,3.8181818181818183
TFT7_Augment_JadeEternalProtection,11,3.8181818181818183
TFT6_Augment_CyberneticUplink1,34,3.8823529411764706
TFT7_Augment_CavalierEmblem2,9,3.888888888888889
TFT7_Augment_BruiserTrait,15,3.933333333333333
TFT6_Augment_CyberneticUplink2,176,3.9488636363636362
TFT6_Augment_Diversify1,61,3.9672131147540983
TFT7_Augment_GuildEmblem2,13,4.0
TFT7_Augment_MirageEmblem2,7,4.0
TFT7_Augment_ShapeshifterTrait2,9,4.0
TFT6_Augment_Diversify2,359,4.011142061281337
TFT6_Augment_VerdantVeil,63,4.015873015873016
TFT7_Augment_BruiserTitanicStrength,60,4.033333333333333
TFT7_Augment_MirageEmblem,31,4.064516129032258
TFT6_Augment_CyberneticShell1,23,4.086956521739131
TFT7_Augment_JadeTrait,22,4.090909090909091
TFT6_Augment_FuturePeepers2,16,4.125
TFT6_Augment_CelestialBlessing3,68,4.147058823529412
TFT7_Augment_GuildEmblem,61,4.147540983606557
TFT6_Augment_SecondWind1,81,4.148148148148148
TFT6_Augment_SunfireBoard,177,4.175141242937853
TFT6_Augment_Meditation2,145,4.186206896551724
TFT7_Augment_DragonmancerInspire,19,4.2105263157894735
TFT6_Augment_PortableForge,494,4.220647773279352
TFT6_Augment_Weakspot,67,4.223880597014926
TFT6_Augment_CyberneticUplink3,35,4.228571428571429
TFT7_Augment_ScalescornEmblem2,8,4.25
TFT7_Augment_ScalescornTrait,4,4.25
TFT7_Augment_BestFriends2,414,4.251207729468599
TFT7_Augment_TomeOfTraits2,35,4.257142857142857
TFT7_Augment_MageEmblem2,25,4.32
TFT6_Augment_MaxLevel10,53,4.320754716981132
TFT7_Augment_RagewingTrait,3,4.333333333333333
TFT7_Augment_RagewingTantrum,18,4.333333333333333
TFT6_Augment_Distancing2,164,4.341463414634147
TFT6_Augment_CyberneticImplants3,35,4.3428571428571425
TFT6_Augment_BlueBattery2,117,4.35042735042735
TFT6_Augment_ThrillOfTheHunt2,274,4.354014598540146
TFT7_Augment_UrfsGrabBag2,70,4.357142857142857
TFT6_Augment_Diversify3,75,4.36
TFT7_Augment_RevelPartyFavors,33,4.363636363636363
TFT7_Augment_GuildTrait,11,4.363636363636363
TFT6_Augment_CelestialBlessing2,336,4.372023809523809
TFT6_Augment_Ascension,368,4.372282608695652
TFT6_Augment_CelestialBlessing1,46,4.391304347826087
TFT7_Augment_MirageHallucinate,20,4.4
TFT6_Augment_GrandGambler,35,4.4
TFT6_Augment_TriForce2,5,4.4
TFT7_Augment_SwiftshotEmblem,31,4.419354838709677
TFT7_Augment_MikaelsGift,82,4.426829268292683
TFT7_Augment_ScalescornEmblem,37,4.4324324324324325
TFT6_Augment_BandOfThieves2,23,4.434782608695652
TFT7_Augment_AssassinEmblem,47,4.446808510638298
TFT7_Augment_ShapeshifterBeastsDen,49,4.448979591836735
TFT6_Augment_CyberneticImplants2,153,4.4640522875816995
TFT7_Augment_TempestEyeOfTheStorm,16,4.5
TFT7_Augment_CavalierForAllUnits,10,4.5
TFT7_Augment_CannoneerEmblem2,12,4.5
TFT7_Augment_JadeTrait2,6,4.5
TFT7_Augment_WarriorTrait,2,4.5
TFT7_Augment_BigFriend2,90,4.5
TFT6_Augment_RadiantRelics,102,4.519607843137255
TFT7_Augment_BestFriends3,102,4.519607843137255
TFT7_Augment_ShimmerscaleTrait,19,4.526315789473684
TFT7_Augment_CavalierTrait,15,4.533333333333333
TFT7_Augment_GadgetExpert,233,4.536480686695279
TFT6_Augment_ComponentGrabBag,510,4.53921568627451
TFT6_Augment_MakeshiftArmor1,11,4.545454545454546
TFT7_Augment_MageEmblem,137,4.547445255474453
TFT7_Augment_UrfsGrabBag1,283,4.551236749116608
TFT7_Augment_CavalierEmblem,73,4.561643835616438
TFT6_Augment_CyberneticShell2,157,4.56687898089172
TFT6_Augment_Recombobulator,28,4.571428571428571
TFT7_Augment_AxiomArc1,12,4.583333333333333
TFT7_Augment_DragonHorde,55,4.6
TFT7_Augment_PandorasBench,135,4.6
TFT6_Augment_SecondWind2,373,4.619302949061662
TFT7_Augment_GuardianHeroicPresence,11,4.636363636363637
TFT7_Augment_SwiftshotPressTheAttack,102,4.637254901960785
TFT6_Augment_JeweledLotus,166,4.644578313253012
TFT7_Augment_RagewingScorch,37,4.648648648648648
TFT7_Augment_AssassinCutthroat,39,4.666666666666667
TFT7_Augment_BestFriends1,50,4.68
TFT6_Augment_ItemGrabBag1,55,4.6909090909090905
TFT7_Augment_AxiomArc2,55,4.6909090909090905
TFT6_Augment_SalvageBin,158,4.69620253164557
TFT7_Augment_CursedCrown,21,4.714285714285714
TFT7_Augment_CannoneerEmblem,36,4.722222222222222
TFT6_Augment_Meditation1,26,4.730769230769231
TFT7_Augment_DragonmancerEmblem,23,4.739130434782608
TFT6_Augment_Distancing3,22,4.7727272727272725
TFT7_Augment_ThinkFast,71,4.774647887323944
TFT6_Augment_WindfallPlusPlus,50,4.78
TFT6_Augment_ForceOfNature,72,4.819444444444445
TFT6_Augment_FirstAidKit,35,4.828571428571428
TFT6_Augment_MakeshiftArmor2,90,4.833333333333333
TFT7_Augment_TempestEmblem,7,4.857142857142857
TFT7_Augment_CannoneerHotShot,57,4.859649122807017
TFT7_Augment_BruiserEmblem,67,4.865671641791045
TFT7_Augment_BandOfThieves1,39,4.897435897435898
TFT7_Augment_MysticTrait2,10,4.9
TFT6_Augment_TargetDummies,175,4.902857142857143
TFT7_Augment_FirstAidKit2,111,4.918918918918919
TFT6_Augment_HighEndShopping,70,4.928571428571429
TFT7_Augment_WarriorTiamat,15,4.933333333333334
TFT6_Augment_FuturePeepers,65,4.938461538461539
TFT6_Augment_TheGoldenEgg,35,4.942857142857143
TFT6_Augment_PandorasItems,50,4.96
TFT6_Augment_ThrillOfTheHunt1,57,4.982456140350878
TFT7_Augment_WhispersEmblem2,5,5.0
TFT7_Augment_EvokerEmblem2,1,5.0
TFT7_Augment_MageTrait,23,5.0
TFT7_Augment_GuardianEmblem2,3,5.0
TFT6_Augment_TomeOfTraits1,159,5.012578616352202
TFT6_Augment_ItemGrabBag2,45,5.022222222222222
TFT7_Augment_GuildGearUpgrades,24,5.125
TFT6_Augment_BinaryAirdrop,17,5.176470588235294
TFT7_Augment_BruiserEmblem2,10,5.2
TFT7_Augment_WhispersTrait,12,5.25
TFT7_Augment_RevelPartyTime,29,5.310344827586207
TFT7_Augment_JadePenitence,9,5.333333333333333
TFT7_Augment_SwiftshotTrait,7,5.428571428571429
TFT7_Augment_SwiftshotEmblem2,11,5.454545454545454
TFT7_Augment_CannoneerRicochet,46,5.5
TFT7_Augment_EvokerEmblem,14,5.5
TFT7_Augment_CavalierDevastatingCharge,25,5.52
TFT6_Augment_MakeshiftArmor3,19,5.526315789473684
TFT7_Augment_GuardianEmblem,21,5.619047619047619
TFT7_Augment_DragonAlliance,56,5.625
TFT7_Augment_CannoneerTrait,16,5.75
TFT7_Augment_BigFriend,7,5.857142857142857
TFT7_Augment_AstralIntercosmicGifts,19,5.947368421052632
TFT7_Augment_MirageTrait,9,6.0
TFT7_Augment_AssassinTrait,6,6.0
TFT7_Augment_RevelTrait,4,6.25
TFT7_Augment_ShimmerscaleSpending,3,6.333333333333333
TFT7_Augment_EvokerTrait,2,6.5
TFT7_Augment_AstralTrait,2,6.5
TFT7_Augment_WarriorEmblem,8,6.75
