augment1_grp,Value_Count,average_placement
TFT6_Augment_Traitless1,7,1.8571428571428572
TFT7_Augment_TempestEmblem,1,2.0
TFT7_Augment_MysticTrait2,4,2.25
TFT7_Augment_TempestTrait,3,2.3333333333333335
TFT7_Augment_EvokerTrait,3,2.3333333333333335
TFT7_Augment_RagewingTrait,4,2.75
TFT7_Augment_RagewingTantrum,4,2.75
TFT7_Augment_ShimmerscaleTrait,3,3.0
TFT7_Augment_ShimmerscaleSpending,1,3.0
TFT7_Augment_EvokerEmblem2,1,3.0
TFT6_Augment_Traitless2,3,3.0
TFT6_Augment_TriForce2,19,3.0526315789473686
TFT7_Augment_WhispersEmblem2,12,3.25
TFT6_Augment_CyberneticUplink3,10,3.3
TFT6_Augment_Twins3,51,3.450980392156863
TFT7_Augment_RevelEmblem2,14,3.5714285714285716
TFT7_Augment_GuildEmblem,11,3.6363636363636362
TFT7_Augment_ScalescornTrait,45,3.6444444444444444
TFT6_Augment_TriForce1,36,3.75
TFT7_Augment_ShimmerscaleEmblem,17,3.764705882352941
TFT7_Augment_JadeEternalProtection,5,3.8
TFT6_Augment_CyberneticUplink1,53,3.811320754716981
TFT7_Augment_RagewingScorch,7,3.857142857142857
TFT6_Augment_LudensEcho1,170,3.8705882352941177
TFT6_Augment_Distancing,158,3.8987341772151898
TFT7_Augment_ShapeshifterTrait,32,3.90625
TFT7_Augment_MirageHallucinate,12,3.9166666666666665
TFT7_Augment_RevelPartyFavors,13,3.923076923076923
TFT7_Augment_MirageEmblem,17,3.9411764705882355
TFT6_Augment_Traitless3,3,4.0
TFT7_Augment_CavalierEmblem2,11,4.0
TFT7_Augment_Preparation3HR,1,4.0
TFT7_Augment_JadeTrait2,4,4.0
TFT6_Augment_Diversify2,135,4.029629629629629
TFT7_Augment_BestFriends2,226,4.053097345132743
TFT6_Augment_PortableForge,264,4.056818181818182
TFT7_Augment_ShapeshifterTrait2,15,4.066666666666666
TFT6_Augment_Meditation3,25,4.08
TFT7_Augment_LategameSpecialist,48,4.083333333333333
TFT6_Augment_Twins2,83,4.096385542168675
TFT7_Augment_AssassinCutthroat,10,4.1
TFT6_Augment_Distancing2,93,4.10752688172043
TFT6_Augment_LudensEcho3,70,4.128571428571429
TFT6_Augment_Diversify3,93,4.129032258064516
TFT7_Augment_BigFriend2,15,4.133333333333334
TFT6_Augment_Electrocharge2,116,4.137931034482759
TFT7_Augment_MirageEmblem2,14,4.214285714285714
TFT7_Augment_BestFriends3,120,4.241666666666666
TFT7_Augment_MysticTrait,15,4.266666666666667
TFT6_Augment_LudensEcho2,112,4.276785714285714
TFT7_Augment_Preparation3,21,4.285714285714286
TFT7_Augment_SwiftshotEmblem,7,4.285714285714286
TFT6_Augment_CyberneticImplants3,14,4.285714285714286
TFT7_Augment_ShimmerscaleTrait2,7,4.285714285714286
TFT7_Augment_CannoneerHotShot,24,4.291666666666667
TFT6_Augment_Diversify1,219,4.310502283105023
TFT6_Augment_ThriftShop,67,4.313432835820896
TFT7_Augment_DragonAlliance,51,4.313725490196078
TFT6_Augment_RichGetRicherPlus,51,4.313725490196078
TFT7_Augment_GadgetExpert,193,4.316062176165803
TFT6_Augment_Weakspot,262,4.316793893129771
TFT6_Augment_CelestialBlessing3,81,4.320987654320987
TFT7_Augment_AssassinEmblem,18,4.333333333333333
TFT7_Augment_WarriorTiamat,6,4.333333333333333
TFT7_Augment_SwiftshotPressTheAttack,30,4.333333333333333
TFT6_Augment_CyberneticUplink2,36,4.333333333333333
TFT7_Augment_BruiserTrait,47,4.340425531914893
TFT7_Augment_JadeEmblem,14,4.357142857142857
TFT7_Augment_CursedCrown,41,4.365853658536586
TFT6_Augment_ComponentGrabBag,253,4.383399209486166
TFT6_Augment_CelestialBlessing2,173,4.410404624277457
TFT7_Augment_CavalierForAllUnits,12,4.416666666666667
TFT6_Augment_BinaryAirdrop,19,4.421052631578948
TFT7_Augment_RevelTrait,14,4.428571428571429
TFT7_Augment_MikaelsGift,49,4.428571428571429
TFT7_Augment_GuildEmblem2,9,4.444444444444445
TFT6_Augment_Meditation1,76,4.447368421052632
TFT7_Augment_MirageTrait,26,4.461538461538462
TFT7_Augment_BandOfThieves1,234,4.465811965811966
TFT7_Augment_CavalierEmblem,30,4.466666666666667
TFT7_Augment_ShapeshifterBeastsDen,19,4.473684210526316
TFT6_Augment_TinyTitans,333,4.48048048048048
TFT6_Augment_Ascension,185,4.486486486486487
TFT6_Augment_GrandGambler,34,4.5
TFT7_Augment_BigFriend,12,4.5
TFT7_Augment_UrfsGrabBag2,97,4.515463917525773
TFT6_Augment_HighEndShopping,71,4.52112676056338
TFT7_Augment_AssassinTrait,23,4.521739130434782
TFT6_Augment_CyberneticShell2,21,4.523809523809524
TFT6_Augment_JeweledLotus,57,4.526315789473684
TFT7_Augment_AssassinEmblem2,15,4.533333333333333
TFT7_Augment_ScalescornEmblem,30,4.533333333333333
TFT6_Augment_FirstAidKit,129,4.550387596899225
TFT6_Augment_ThrillOfTheHunt1,254,4.559055118110236
TFT6_Augment_PandorasItems,290,4.56551724137931
TFT7_Augment_Preparation,58,4.568965517241379
TFT6_Augment_FuturePeepers2,7,4.571428571428571
TFT7_Augment_BestFriends1,268,4.58955223880597
TFT6_Augment_RadiantRelics,117,4.589743589743589
TFT6_Augment_CelestialBlessing1,210,4.595238095238095
TFT7_Augment_MageEmblem,67,4.597014925373134
TFT6_Augment_Electrocharge3,45,4.6
TFT6_Augment_SecondWind2,200,4.62
