placement,group,comp,grp_count,grp_placement,mode
6,0,"Illaoi, Lulu, Nami, Ornn, Qiyana, Talon, Twitch, Varus",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
2,0,"Bard, Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
2,0,"Illaoi, Lulu, Nami, Soraka, Sylas, Twitch, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
2,0,"Illaoi, Lulu, Nami, Sona, Sylas, Twitch, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
1,0,"DragonPurple, Illaoi, Nami, Ornn, Sylas, Twitch, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
5,0,"Illaoi, Lulu, Nami, Ryze, Sylas, Twitch, Varus",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
5,0,"Illaoi, Lulu, Nami, Sona, Sylas, Twitch, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
5,0,"Ashe, Bard, Illaoi, Lulu, Nami, Sylas, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
2,0,"Ezreal, Illaoi, Lulu, Nami, Ornn, Soraka, Sylas, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
2,0,"Illaoi, Nami, Sylas, Twitch, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
5,0,"Illaoi, Lulu, Nami, Soraka, Sylas, Twitch, Varus, Zoe",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
5,0,"Illaoi, Nami, Ornn, Shen, Sylas, Twitch, Varus, Vladimir",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
5,0,"Bard, Illaoi, Nami, Twitch, Varus",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
7,0,"Illaoi, Nami, Ryze, Twitch, Varus",553,4.562386980108499,"Illaoi, Lulu, Nami, Sylas, Twitch, Varus, Zoe"
