placement,group,comp,grp_count,grp_placement,mode
4,0,"Aatrox, DragonBlue, Nunu, Olaf, Shen, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
4,0,"Braum, DragonGold, Leona, Shen, Thresh, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
6,0,"Aatrox, Lillia, Nunu, Olaf, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
7,0,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
5,0,"DragonBlue, Leona, Nunu, Olaf, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
1,0,"Braum, DragonBlue, Leona, Pyke, Soraka, Thresh, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
6,0,"Leona, Lillia, Nunu, Olaf, Shen, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
6,0,"DragonBlue, Leona, Nunu, Olaf, Talon, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
1,0,"Bard, Braum, DragonBlue, Leona, Olaf, Shen, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Bard, DragonBlue, Leona, Nunu, Olaf, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
4,0,"Aatrox, Hecarim, Nunu, Olaf, Sejuani, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Braum, DragonBlue, Leona, Nunu, Thresh, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Braum, Leona, Shen, Taric, Thresh, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
3,0,"Bard, Braum, DragonBlue, Leona, Nunu, Shen, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
2,0,"Bard, Braum, DragonBlue, Lulu, Nami, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Diana, Nunu, Olaf, Qiyana, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
7,0,"DragonBlue, Leona, Nunu, Olaf, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Bard, Braum, Leona, Nunu, Olaf, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
4,0,"Bard, Braum, DragonBlue, Leona, Ornn, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
6,0,"Braum, Leona, Nunu, Taric, Thresh, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
4,0,"Aatrox, Braum, Leona, Olaf, Shen, Soraka, Talon, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
5,0,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
7,0,"Aatrox, DragonBlue, Nunu, Olaf, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Leona, Nunu, Olaf, Shen, Thresh, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
7,0,"DragonBlue, Leona, Nunu, Sejuani, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Braum, Leona, Lillia, Nunu, Shen, Yone, Zoe",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
3,0,"Braum, Leona, Lillia, Nunu, Olaf, Shen, Talon, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Braum, Leona, Shen, Taric, Thresh, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
8,0,"Leona, Nunu, Olaf, Shen, Thresh, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
5,0,"Braum, DragonBlue, Leona, Shen, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
7,0,"Braum, DragonGold, Leona, Shen, Taric, Thresh, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
5,0,"DragonBlue, Elise, Nunu, Sylas, Thresh, Yasuo, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
3,0,"Hecarim, Nunu, Olaf, Pyke, Shen, Thresh, Yone",33,5.58,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yone"
3,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
3,1,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
4,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
5,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
8,1,"AoShin, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Yasuo, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Vladimir, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
5,1,"AoShin, Heimerdinger, Lulu, Ornn, Ryze, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
5,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
7,1,"AoShin, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Heimerdinger, Lulu, Ornn, Pyke, Soraka, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
6,1,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
2,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Soraka, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
7,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
3,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sona, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
2,1,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Yasuo, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Vladimir, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
4,1,"AoShin, Heimerdinger, Illaoi, Lulu, Nami, Ornn, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Soraka, Sylas, TrainerDragon, Tristana, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
7,1,"DragonGold, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
4,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sona, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
2,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Pyke, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
8,1,"AoShin, Heimerdinger, Lulu, Nami, Skarner, Sona, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
8,1,"AoShin, Heimerdinger, Lulu, Nami, Neeko, Taric, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
3,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
4,1,"AoShin, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Vladimir",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
4,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
8,1,"AoShin, Heimerdinger, Illaoi, Nami, Ornn, Sylas, TrainerDragon, Tristana",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
4,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
1,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Pyke, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
3,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Ryze, Sylas, TrainerDragon",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
2,1,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
3,1,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
8,1,"AoShin, LeeSin, Lulu, Nami, Ryze, Sylas, TrainerDragon, Tristana",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
6,1,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
3,1,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",40,3.78,"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe"
5,2,"Anivia, Ashe, AurelionSol, Gnar, Neeko, Soraka, Taric",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
5,2,"Anivia, AurelionSol, Gnar, Heimerdinger, Lulu, Neeko, Sona, TrainerDragon",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
5,2,"Anivia, AurelionSol, Gnar, Lulu, Neeko, Sona, Soraka",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
7,2,"Anivia, Ashe, DragonPurple, Gnar, Lulu, Neeko, Soraka, Sylas",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
5,2,"Anivia, AurelionSol, Gnar, Lulu, Neeko, Sona, Yasuo",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
6,2,"Anivia, AurelionSol, Elise, Gnar, Neeko, Nidalee, Sona",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
5,2,"Anivia, AurelionSol, Gnar, Heimerdinger, Lulu, Neeko, Sona, Soraka, TrainerDragon",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
8,2,"Anivia, Ashe, Gnar, Lulu, Neeko, Ornn, Shen",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
1,2,"Anivia, DragonGreen, Gnar, Heimerdinger, Lulu, Neeko, Sona, TrainerDragon",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
8,2,"Anivia, Bard, Elise, Gnar, Heimerdinger, Lulu, Neeko, TrainerDragon",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
7,2,"Anivia, DragonGreen, Gnar, Heimerdinger, Lulu, Sylas, TrainerDragon",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
2,2,"Anivia, AurelionSol, Gnar, Lulu, Neeko, Sona, TrainerDragon, Tristana",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
1,2,"Anivia, AurelionSol, Elise, Gnar, Neeko, Soraka, Swain",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
8,2,"AoShin, Gnar, Lulu, Neeko, Ornn, Taric",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
1,2,"AoShin, AurelionSol, DragonPurple, Hecarim, Neeko, Yasuo",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
6,2,"Anivia, AurelionSol, Gnar, Karma, Lulu, Neeko, Soraka, Taric",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
1,2,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
4,2,"Anivia, Ashe, AurelionSol, Gnar, Lulu, Neeko, Soraka",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
6,2,"Anivia, Ashe, AurelionSol, Gnar, Nami, Neeko, Ryze, Sona",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
4,2,"Elise, Gnar, Lulu, Neeko, Shyvana, Soraka, TrainerDragon, Tristana",20,4.75,"Anivia, Ashe, AurelionSol, Bard, Gnar, Neeko, Soraka, Taric"
6,3,"Corki, DragonGold, Jinx, Lulu, Ornn, Sona, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, DragonGold, Lulu, Sona, Thresh, TrainerDragon, Tristana, Yasuo",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, DragonGold, Lulu, Sona, TrainerDragon, Tristana, Yasuo, Zoe",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, DragonGold, Lulu, Ryze, Sona, TrainerDragon, Tristana, Zoe",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Corki, DragonGold, Jinx, Sona, Soraka, Thresh, Tristana, Yasuo",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Braum, Corki, DragonGold, Lulu, Sona, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Corki, Jinx, Lulu, Ornn, Shen, Sona, Soraka, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Braum, Corki, Heimerdinger, Jinx, Lulu, Senna, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Bard, Corki, DragonGold, Karma, Lulu, Sona, Thresh",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, DragonPurple, Jinx, Lulu, Ornn, Sona, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Corki, DragonGold, Lulu, Pyke, Sona, Talon, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Corki, DragonGold, Jinx, Lulu, Senna, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Bard, Corki, DragonGold, Lulu, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Bard, Corki, DragonGold, Lulu, Thresh, TrainerDragon, Tristana, Yasuo",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, Jinx, Lulu, Ornn, Sona, TahmKench, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, DragonGold, Lulu, Sona, Thresh, TrainerDragon, Tristana, Yasuo",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, DragonGold, Lulu, Sona, Taric, TrainerDragon, Tristana, Zoe",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, DragonGold, Jinx, Lulu, Senna, Sona, TrainerDragon, Tristana, Yasuo",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Bard, Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, DragonGold, Jinx, Lulu, Nami, Sona, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, DragonPurple, Lulu, Sona, Sylas, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
6,3,"Corki, Jinx, Lulu, Neeko, Shyvana, Sona, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Bard, Corki, DragonGold, Lulu, Sona, Talon, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
2,3,"Braum, Corki, Heimerdinger, Jinx, Lulu, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
5,3,"Braum, Corki, DragonGold, Heimerdinger, Jinx, Senna, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
4,3,"Bard, Braum, Corki, DragonGold, Lulu, Sona, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
4,3,"Braum, Corki, Heimerdinger, Jinx, Lulu, Thresh, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
4,3,"Bard, Corki, DragonGold, Jinx, Lulu, Sona, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
3,3,"Bard, Corki, DragonGold, Lulu, Sona, Soraka, TrainerDragon, Tristana, Yasuo",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
4,3,"Bard, Braum, Corki, DragonGold, Lulu, Sona, TrainerDragon, Tristana",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
3,3,"Bard, Corki, DragonGold, Lulu, Sona, Soraka, TrainerDragon, Tristana, Yasuo",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
3,3,"Braum, Corki, DragonGold, Lulu, Sona, Soraka, TrainerDragon, Tristana, Twitch",122,4.46,"Corki, DragonGold, Jinx, Lulu, Sona, Thresh, TrainerDragon, Tristana"
