comp,value_count,average_placement,group,grp_count,grp_placement
"Bard, Corki, DragonGold, Jinx, Lulu, Sona, Taric, TrainerDragon, Tristana",1,1.0,0,96,3.6256410256410256
"Aatrox, DragonGold, Kayn, Pyke, Thresh, Volibear, Yasuo, Zoe",1,1.0,1,40,4.544444444444443
"Aatrox, DragonGold, Kayn, Pyke, Volibear, Xayah, Yasuo, Zoe",1,1.0,1,40,4.544444444444443
"Aatrox, DragonGold, Kayn, Pyke, Swain, Volibear, Yasuo, Zoe",1,1.0,1,40,4.544444444444443
"Bard, Corki, Jinx, Lulu, Shen, Sona, TahmKench, Thresh, TrainerDragon, Tristana",1,1.0,0,96,3.6256410256410256
"Anivia, DragonGold, Kayn, LeeSin, Ornn, Sett, Swain, Volibear, Yasuo",1,1.0,2,1,1.0
"Bard, Corki, DragonBlue, Lulu, Ornn, Sona, TahmKench, TrainerDragon, Tristana",2,1.0,0,96,3.6256410256410256
"Bard, Corki, DragonBlue, Jinx, Lulu, Sona, TahmKench, TrainerDragon, Tristana",1,1.0,0,96,3.6256410256410256
"Bard, Corki, DragonBlue, Hecarim, Lulu, Ornn, Sona, Yasuo",1,1.0,3,1,1.0
"Bard, Corki, DragonBlue, Hecarim, Jinx, Nunu, Yasuo, Yone",1,1.0,4,2,3.0
"Anivia, AoShin, Ashe, LeeSin, Ornn, Soraka, Volibear, Yasuo",1,1.0,5,1,1.0
"Bard, Corki, DragonGreen, Gnar, Neeko, Sona, Soraka, Yasuo",1,1.0,6,3,3.6666666666666665
"Aatrox, DragonGold, Kayn, Thresh, Volibear, Xayah, Yasuo, Zoe",2,1.0,1,40,4.544444444444443
"Ashe, Bard, DragonGreen, Neeko, Pyke, Swain, Talon, Yasuo",1,1.0,7,268,4.559649122807018
"Bard, Hecarim, Pyke, Shen, Shyvana, Talon, Twitch, Xayah",1,1.0,8,157,3.984284532671629
"Aatrox, DragonGold, Kayn, Soraka, Swain, Volibear, Yasuo, Zoe",1,1.0,1,40,4.544444444444443
"Bard, Hecarim, Pyke, Ryze, Sejuani, Soraka, Talon, Twitch, Xayah",1,1.0,8,157,3.984284532671629
"Anivia, DragonPurple, Heimerdinger, Lulu, Ryze, Sona, Sylas, TrainerDragon",1,1.0,9,1,1.0
"Aatrox, DragonGold, Hecarim, Kayn, Swain, Volibear, Xayah, Yasuo, Zoe",1,1.0,1,40,4.544444444444443
"Bard, Hecarim, Ornn, Pyke, Qiyana, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,8,157,3.984284532671629
"Ashe, Bard, DragonGreen, Ezreal, Karma, Leona, Taric, Yasuo",1,1.0,7,268,4.559649122807018
"Bard, Hecarim, Ornn, Qiyana, Shen, Soraka, Talon, Xayah, Yasuo",1,1.0,8,157,3.984284532671629
"Ashe, Bard, Gnar, Neeko, Sett, Shyvana, Swain, Thresh, Xayah",1,1.0,10,14,3.8125
"Aatrox, DragonBlue, Hecarim, Olaf, Sejuani, Shen, Yasuo, Yone",1,1.0,11,4,4.25
"Bard, Hecarim, Ornn, Qiyana, Sejuani, Shen, Soraka, Talon, Twitch, Xayah",1,1.0,8,157,3.984284532671629
"Aatrox, DragonGold, Kayn, Shen, Soraka, Volibear, Yasuo, Zoe",1,1.0,1,40,4.544444444444443
"Bard, Corki, DragonGold, Neeko, Sona, Sylas, Taric, Zoe",1,1.0,12,1,1.0
"Bard, Corki, DragonGold, Kayn, Soraka, Volibear, Yasuo, Zoe",1,1.0,13,15,2.3076923076923075
"Bard, Corki, DragonGold, Kayn, Pyke, Thresh, Volibear, Yasuo, Zoe",1,1.0,13,15,2.3076923076923075
"AoShin, Bard, DragonGreen, DragonPurple, Ornn, Pyke",1,1.0,14,5,2.5
"Ashe, Gnar, LeeSin, Neeko, Ornn, Sett, Shen, Swain, Yasuo",1,1.0,15,1,1.0
"AoShin, Bard, DragonGreen, Gnar, Lulu, Neeko, Ornn, Soraka",1,1.0,16,1,1.0
"Bard, Corki, DragonPurple, Ryze, Sona, Soraka, Sylas, Zoe",1,1.0,17,1,1.0
