,0
TFT7_Ryze_item0_TFT_Item_RecurveBow,0.0
TFT7_Zoe_item0_TFT_Item_SpearOfShojin,0.0
TFT7_Zoe_item0_TFT_Item_Spatula,0.0
TFT7_Zoe_item0_TFT_Item_Shroud,0.0
TFT7_Zoe_item0_TFT_Item_SeraphsEmbrace,0.0
TFT7_Zoe_item0_TFT_Item_RunaansHurricane,0.0
TFT7_Zoe_item0_TFT_Item_Redemption,0.0
TFT7_Zoe_item0_TFT_Item_RedBuff,0.0
TFT7_Zoe_item0_TFT_Item_RapidFireCannon,0.0
TFT7_Zoe_item0_TFT_Item_RabadonsDeathcap,0.0
TFT7_Zoe_item0_TFT_Item_Quicksilver,0.0
TFT7_Vladimir_item2_TFT_Item_RedBuff,0.0
TFT7_Zoe_item0_TFT_Item_NegatronCloak,0.0
TFT7_Zoe_item0_TFT_Item_NeedlesslyLargeRod,0.0
TFT7_Zoe_item0_TFT_Item_Morellonomicon,0.0
TFT7_Zoe_item0_TFT_Item_LocketOfTheIronSolari,0.0
TFT7_Zoe_item0_TFT_Item_LastWhisper,0.0
TFT7_Zoe_item0_TFT_Item_InfinityEdge,0.0
TFT7_Zoe_item0_TFT_Item_HextechGunblade,0.0
TFT7_Zoe_item0_TFT_Item_GuinsoosRageblade,0.0
TFT7_Zoe_item0_TFT_Item_GiantsBelt,0.0
TFT7_Zoe_item0_TFT_Item_FrozenHeart,0.0
TFT7_Zoe_item0_TFT_Item_DragonsClaw,0.0
TFT7_Zoe_item0_TFT_Item_Deathblade,0.0
TFT7_Zoe_item0_TFT_Item_Chalice,0.0
TFT7_Zoe_item0_TFT_Item_ChainVest,0.0
TFT7_Zoe_item0_TFT_Item_Bloodthirster,0.0
TFT7_Zoe_item0_TFT_Item_BFSword,0.0
TFT7_Zoe_item0_TFT_Item_ArchangelsStaff,0.0
TFT7_Zoe_item0_TFT7_Item_WhispersEmblemItem,0.0
TFT7_Zoe_item0_TFT_Item_StatikkShiv,0.0
TFT7_Zoe_item0_TFT7_Item_TempestEmblemItem,0.0
TFT7_Zoe_item0_TFT_Item_TearOfTheGoddess,0.0
TFT7_Zoe_item0_TFT_Item_TitanicHydra,0.0
TFT7_Zoe_item1_TFT_Item_FrozenHeart,0.0
TFT7_Zoe_item1_TFT_Item_EmptyBag,0.0
TFT7_Zoe_item1_TFT_Item_DragonsClaw,0.0
TFT7_Zoe_item1_TFT_Item_Deathblade,0.0
TFT7_Vladimir_item2_TFT_Item_PowerGauntlet,0.0
TFT7_Zoe_item1_TFT_Item_ChainVest,0.0
TFT7_Zoe_item1_TFT_Item_Bloodthirster,0.0
TFT7_Zoe_item1_TFT_Item_BFSword,0.0
TFT7_Zoe_item1_TFT_Item_ArchangelsStaff,0.0
TFT7_Zoe_item1_TFT7_Item_SwiftshotEmblemItem,0.0
TFT7_Zoe_item1_TFT7_Item_ShimmerscaleMogulsMail,0.0
TFT7_Zoe_item1_TFT7_Item_ShimmerscaleHeartOfGold,0.0
TFT7_Zoe_item1_TFT7_Item_ShimmerscaleGamblersBlade,0.0
TFT7_Zoe_item1_TFT7_Item_ShimmerscaleDravensAxe,0.0
TFT7_Zoe_item1_TFT7_Item_ShimmerscaleDiamondHands,0.0
TFT7_Zoe_item1_TFT7_Item_MysticEmblemItem,0.0
TFT7_Zoe_item1_TFT7_Item_MirageEmblemItem,0.0
TFT7_Zoe_item1_TFT7_Item_GuildEmblemItem,0.0
TFT7_Zoe_item1_TFT7_Item_EvokerEmblemItem,0.0
TFT7_Zoe_item1_TFT7_Item_DragonmancerEmblemItem,0.0
TFT7_Zoe_item1_TFT7_Item_CannoneerEmblemItem,0.0
TFT7_Zoe_item1_TFT7_Item_BruiserEmblemItem,0.0
TFT7_Zoe_item1_TFT5_Item_GuardianAngelRadiant,0.0
