augment2,Value_Count,average_placement
TFT7_Augment_TempestEmblem2,1,1.0
TFT6_Augment_Featherweights3,1,1.0
TFT6_Augment_TriForce3,3,1.3333333333333333
TFT6_Augment_TriForce1,3,2.0
TFT6_Augment_Traitless2,2,2.5
TFT7_Augment_BruiserEmblem2,8,2.75
TFT6_Augment_Featherweights2,4,2.75
TFT7_Augment_AssassinTrait,6,3.1666666666666665
TFT7_Augment_TempestEyeOfTheStorm,8,3.25
TFT7_Augment_ShapeshifterTrait2,12,3.3333333333333335
TFT6_Augment_CyberneticUplink2,199,3.7035175879396984
TFT7_Augment_CavalierForAllUnits,16,3.75
TFT7_Augment_BruiserTrait,8,3.75
TFT6_Augment_CyberneticUplink1,33,3.757575757575758
TFT7_Augment_ShimmerscaleTrait2,9,3.7777777777777777
TFT7_Augment_BigFriend2,155,3.8129032258064517
TFT6_Augment_Diversify1,69,3.8405797101449277
TFT7_Augment_ShapeshifterBeastsDen,95,3.8421052631578947
TFT7_Augment_MysticTrait,20,3.85
TFT7_Augment_JadePenitence,20,3.85
TFT7_Augment_ShapeshifterTrait,22,3.8636363636363638
TFT7_Augment_AssassinEmblem,38,3.8684210526315788
TFT7_Augment_CavalierEmblem2,25,3.88
TFT7_Augment_CavalierDevastatingCharge,38,3.9210526315789473
TFT7_Augment_GuildEmblem2,14,3.9285714285714284
TFT7_Augment_AssassinEmblem2,15,4.0
TFT6_Augment_Meditation1,36,4.0
TFT6_Augment_CelestialBlessing3,105,4.0095238095238095
TFT7_Augment_BestFriends2,445,4.013483146067416
TFT7_Augment_ThinkFast,114,4.017543859649122
TFT6_Augment_CyberneticUplink3,47,4.0212765957446805
TFT6_Augment_HighEndShopping,155,4.04516129032258
TFT6_Augment_Diversify2,396,4.055555555555555
TFT6_Augment_Diversify3,66,4.0606060606060606
TFT6_Augment_CelestialBlessing2,545,4.0715596330275226
TFT6_Augment_ThrillOfTheHunt1,110,4.081818181818182
TFT7_Augment_MirageEmblem2,18,4.111111111111111
TFT6_Augment_Weakspot,73,4.136986301369863
TFT6_Augment_TheGoldenEgg,103,4.165048543689321
TFT7_Augment_JadeEmblem,6,4.166666666666667
TFT7_Augment_MageEmblem2,36,4.194444444444445
TFT7_Augment_RevelEmblem2,20,4.2
TFT6_Augment_CyberneticShell2,116,4.206896551724138
TFT7_Augment_ScalescornEmblem,28,4.214285714285714
TFT7_Augment_SwiftshotEmblem2,4,4.25
TFT7_Augment_BestFriends3,112,4.258928571428571
TFT7_Augment_GuildGearUpgrades,27,4.2592592592592595
TFT7_Augment_CavalierTrait,19,4.2631578947368425
TFT6_Augment_FirstAidKit,37,4.27027027027027
TFT7_Augment_GadgetExpert,260,4.288461538461538
TFT7_Augment_RagewingTantrum,38,4.2894736842105265
TFT7_Augment_RevelPartyFavors,44,4.295454545454546
TFT6_Augment_Distancing2,115,4.2956521739130435
TFT7_Augment_CavalierEmblem,107,4.299065420560748
TFT6_Augment_CyberneticImplants2,123,4.300813008130081
TFT7_Augment_EvokerEmblem,26,4.3076923076923075
TFT7_Augment_GuardianEmblem,24,4.333333333333333
TFT7_Augment_SwiftshotTrait,3,4.333333333333333
TFT7_Augment_AstralIntercosmicGifts,40,4.375
