comp,value_count,average_placement,group,grp_count,grp_placement
"Elise, Sylas",1,1.0,0,1,1.0
"Bard, Hecarim, Ornn, Shyvana, Talon, Twitch, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"Bard, Hecarim, Ornn, Shyvana, Swain, Twitch, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"Hecarim, Lillia, Qiyana, Ryze, Sejuani, Talon, Twitch, Zoe",1,1.0,2,1,1.0
"Bard, Hecarim, Ornn, Qiyana, Sejuani, Shen, Soraka, Talon, Twitch, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"AoShin, Bard, Ornn, Pyke, Shen, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"AoShin, Bard, LeeSin, Nami, Pyke, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"Bard, Hecarim, Ornn, Pyke, Sejuani, Shen, Soraka, Talon, Twitch, Xayah",1,1.0,1,499,4.315287164626008
"Bard, Hecarim, Ornn, Pyke, Shen, Soraka, Talon, Twitch, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"AoShin, Bard, LeeSin, Ornn, Ryze, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"AoShin, Bard, LeeSin, Lulu, Nami, Soraka, Volibear, Yasuo",1,1.0,4,1,1.0
"Bard, Hecarim, LeeSin, Ornn, Shen, Shyvana, Talon, Twitch, Xayah",1,1.0,1,499,4.315287164626008
"AoShin, Bard, LeeSin, Lulu, Ornn, Qiyana, Yasuo",1,1.0,5,1,1.0
"Bard, Hecarim, Lulu, Nami, Ornn, Shen, Talon, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"Bard, Hecarim, Lulu, Nami, Ornn, Qiyana, Shen, Talon, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"Hecarim, Kayn, Sett, Shen, Shyvana, Swain, Twitch, Xayah",1,1.0,6,993,4.8572329253510675
"Bard, Hecarim, Pyke, Ryze, Sejuani, Talon, Twitch, Yasuo, Zoe",1,1.0,7,1,1.0
"Bard, Hecarim, Pyke, Shen, Sylas, Talon, Twitch, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"Hecarim, Kayn, Senna, Sett, Shen, Shyvana, Swain",1,1.0,8,44,4.939723320158103
"AoShin, Bard, Ezreal, Lulu, Ornn, Soraka, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"DragonPurple, Heimerdinger, Lulu, Pyke, Sylas, Thresh, TrainerDragon, Yasuo, Zoe",1,1.0,9,47,4.8217948717948715
"Bard, Corki, DragonGreen, Gnar, Neeko, Pyke, Soraka, Yasuo",1,1.0,10,264,3.624245595674167
"Bard, Corki, DragonGreen, Gnar, Lulu, Neeko, Soraka",2,1.0,10,264,3.624245595674167
"Bard, Corki, DragonGreen, Jinx, Lulu, Nami, Sona, TrainerDragon, Tristana",1,1.0,11,910,3.7609500773702473
"AoShin, Bard, Heimerdinger, Illaoi, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",1,1.0,12,1698,4.752369864049532
"Bard, Corki, DragonBlue, Hecarim, Nunu, Sejuani, Sona, Yasuo",1,1.0,13,2,1.5
"AoShin, Bard, Ornn, Pyke, Ryze, Soraka, Sylas, Zoe",4,1.0,3,551,3.258195157254249
"AoShin, Bard, Ornn, Sona, Soraka, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"DragonPurple, Elise, Illaoi, Ornn, Pyke, Qiyana, Sylas, Thresh",1,1.0,14,1037,4.867178381364635
"AoShin, Bard, Ornn, Ryze, Sejuani, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"Bard, DragonBlue, Lulu, Nami, Yasuo, Yone",1,1.0,15,1,1.0
"Bard, DragonBlue, Lulu, Pyke, Sona, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,11,910,3.7609500773702473
"AoShin, Bard, Kayn, Ornn, Soraka, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"AoShin, Bard, Corki, Lulu, Ornn, Sona, TrainerDragon, Tristana, Yasuo",1,1.0,16,1,1.0
"DragonPurple, Elise, Gnar, Neeko, Nidalee, Pyke, Soraka, Sylas",1,1.0,14,1037,4.867178381364635
"DragonPurple, Elise, Gnar, Neeko, Nidalee, Pyke, Soraka, Thresh",2,1.0,14,1037,4.867178381364635
"AoShin, Bard, Lillia, Nami, Neeko, Ornn, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"AoShin, Bard, Lillia, Nami, Ornn, Ryze, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"AoShin, Bard, Lillia, Nami, Ornn, Pyke, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"AoShin, Bard, Lillia, Nami, Ornn, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"AoShin, Bard, Lillia, Ornn, Soraka, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"Bard, Hecarim, Sejuani, Shen, Shyvana, Twitch, Xayah, Zoe",1,1.0,17,1,1.0
"Hecarim, Senna, Shen, Shyvana, Swain, Sylas, Twitch, Xayah",1,1.0,6,993,4.8572329253510675
"DragonPurple, Elise, Gnar, Neeko, Nidalee, Shen, Soraka, Sylas",1,1.0,14,1037,4.867178381364635
"AoShin, Bard, Braum, Hecarim, Nunu, Ornn, Shen, Thresh, Yone",1,1.0,18,1,1.0
"AoShin, Bard, Braum, Ornn, Soraka, Taric, Thresh",1,1.0,19,1,1.0
"Bard, Hecarim, Neeko, Pyke, Shyvana, Soraka, Talon, Xayah",1,1.0,20,2,1.5
"AoShin, Bard, DragonGold, Nami, Ornn, Sylas, Zoe",1,1.0,21,1,1.0
"Bard, Hecarim, Shen, Shyvana, Talon, Twitch, Xayah, Yasuo",1,1.0,1,499,4.315287164626008
"Hecarim, Ornn, Pyke, Shen, Talon, Twitch, Varus, Xayah, Yasuo",1,1.0,6,993,4.8572329253510675
"Hecarim, Ornn, Pyke, Sejuani, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,6,993,4.8572329253510675
"Bard, Hecarim, Kayn, Neeko, Shyvana, Talon, Xayah, Yasuo",1,1.0,22,1,1.0
"Hecarim, Ornn, Qiyana, Shyvana, Swain, Talon, Twitch, Xayah",1,1.0,6,993,4.8572329253510675
"AoShin, Bard, DragonGold, Ornn, Pyke, Yasuo, Zoe",1,1.0,23,3,2.3333333333333335
"AoShin, Bard, DragonGold, Ornn, Sylas, Thresh, Yasuo",1,1.0,24,3,4.666666666666667
"AoShin, Bard, DragonGold, DragonPurple, Ornn, Soraka",1,1.0,25,2,2.5
"Hecarim, Heimerdinger, Lillia, Lulu, Nami, Ryze, Sylas, TrainerDragon, Zoe",1,1.0,26,1,1.0
"AoShin, Bard, Heimerdinger, Illaoi, Lulu, Nami, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,12,1698,4.752369864049532
"Bard, Corki, DragonBlue, Jinx, Ornn, Sona, Sylas, TahmKench",1,1.0,27,26,2.416666666666667
"Bard, Corki, DragonBlue, Jinx, LeeSin, Ornn, Sona, TahmKench, Yasuo",1,1.0,27,26,2.416666666666667
"DragonBlue, DragonGold, DragonPurple, Ryze, Sylas, Yasuo, Zoe",1,1.0,28,5,2.2
"Bard, Corki, DragonGold, Lulu, Pyke, Sona, Soraka, TrainerDragon, Tristana, Yasuo",1,1.0,11,910,3.7609500773702473
"Bard, Corki, DragonGold, Lulu, Pyke, Sona, Soraka, Thresh, TrainerDragon, Tristana",1,1.0,11,910,3.7609500773702473
"Bard, Corki, DragonGold, Pyke, Sona, Thresh, Yasuo",1,1.0,29,9,3.9166666666666665
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Soraka, Sylas, TrainerDragon, Yasuo, Zoe",4,1.0,12,1698,4.752369864049532
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sona, Soraka, Sylas, TrainerDragon",1,1.0,12,1698,4.752369864049532
"Bard, Corki, Heimerdinger, Jinx, Lulu, Senna, Shen, TahmKench, TrainerDragon, Tristana",1,1.0,11,910,3.7609500773702473
"Bard, Corki, Heimerdinger, Jinx, Lulu, Ornn, Qiyana, Sona, Sylas, TrainerDragon, Zoe",1,1.0,11,910,3.7609500773702473
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Pyke, Sylas, TrainerDragon, Yasuo",1,1.0,12,1698,4.752369864049532
"DragonBlue, DragonGold, Leona, Nunu, Sejuani, Yasuo, Yone",1,1.0,30,4,3.5
"AoShin, Bard, Heimerdinger, Lulu, Ornn, Pyke, Sylas, TrainerDragon, Yasuo, Zoe",3,1.0,12,1698,4.752369864049532
"AoShin, Bard, Heimerdinger, Lulu, Pyke, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,12,1698,4.752369864049532
"DragonBlue, DragonGold, DragonPurple, Nunu, Sylas, Thresh",1,1.0,31,20,4.72962962962963
"Bard, Corki, Lulu, Neeko, Ornn, Shyvana, Sona, TrainerDragon, Tristana",1,1.0,11,910,3.7609500773702473
"AoShin, Bard, Lulu, Nami, Soraka, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"Bard, Corki, Lulu, Ornn, Sona, TrainerDragon, Tristana, Yasuo, Zoe",1,1.0,11,910,3.7609500773702473
"DragonBlue, DragonGold, DragonGreen, Nami, Ornn",1,1.0,32,1,1.0
"AoShin, Bard, Lulu, Nami, Ornn, Ryze, Soraka, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"DragonBlue, Lillia, Nunu, Olaf, Shen, Yasuo, Yone",1,1.0,33,30,3.8518518518518525
"DragonBlue, Lillia, Nunu, Olaf, Sejuani, Shen, Yasuo, Yone",1,1.0,33,30,3.8518518518518525
"Bard, Corki, Lulu, Ornn, Pyke, Sona, Soraka, Sylas, TrainerDragon, Tristana",1,1.0,11,910,3.7609500773702473
"DragonPurple, LeeSin, Olaf, Ornn, Ryze, Shen, Sylas, Zoe",1,1.0,34,1,1.0
"AoShin, Bard, Lulu, Nami, Ornn, Pyke, Soraka, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"Bard, Corki, DragonPurple, Heimerdinger, Lulu, Soraka, Sylas, TrainerDragon, Zoe",1,1.0,11,910,3.7609500773702473
"Bard, Corki, DragonPurple, Heimerdinger, Lulu, Sona, Soraka, Sylas, TrainerDragon",1,1.0,11,910,3.7609500773702473
"Bard, Corki, DragonPurple, Heimerdinger, Lulu, Sona, Sylas, TrainerDragon, Yasuo",1,1.0,11,910,3.7609500773702473
"Bard, Corki, Lulu, Ornn, Ryze, Sylas, TrainerDragon, Tristana, Yasuo, Zoe",1,1.0,11,910,3.7609500773702473
"Bard, DragonBlue, Lulu, Nami, Nunu, Twitch, Yasuo, Yone",1,1.0,35,1,1.0
"Bard, Corki, DragonGold, Lulu, Sona, Soraka, Thresh, TrainerDragon, Tristana, Yasuo",1,1.0,11,910,3.7609500773702473
"DragonBlue, DragonGold, DragonPurple, Thresh, Yasuo, Zoe",1,1.0,28,5,2.2
"Bard, Corki, DragonBlue, Jinx, Lulu, Ornn, Qiyana, Sona, TahmKench",1,1.0,27,26,2.416666666666667
"Hecarim, Leona, Nunu, Yasuo, Yone",1,1.0,36,1,1.0
"Bard, Corki, DragonBlue, Lulu, Sona, TahmKench, TrainerDragon, Tristana, Yasuo",1,1.0,11,910,3.7609500773702473
"AoShin, Bard, Heimerdinger, Nami, Ornn, Pyke, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"Bard, Corki, DragonBlue, Lulu, Ornn, Sona, TahmKench, TrainerDragon, Tristana, Yasuo",1,1.0,11,910,3.7609500773702473
"DragonPurple, Heimerdinger, Lulu, Ryze, Sona, Soraka, Sylas, TrainerDragon, Zoe",1,1.0,9,47,4.8217948717948715
"AoShin, Bard, Heimerdinger, Nunu, Ornn, Soraka, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"Hecarim, Nunu, Sejuani, Swain, Talon, Twitch, Varus, Xayah",1,1.0,37,2,4.5
"Bard, Corki, Jinx, Lulu, Shen, Sona, TrainerDragon, Tristana, Yasuo, Zoe",1,1.0,38,1,1.0
"AoShin, Bard, Heimerdinger, Ornn, Ryze, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"Hecarim, Neeko, Ornn, Shen, Shyvana, Soraka, Twitch, Xayah, Yasuo",1,1.0,6,993,4.8572329253510675
"Bard, Corki, Jinx, Lulu, Ornn, Sona, TahmKench, TrainerDragon, Tristana, Yasuo",1,1.0,11,910,3.7609500773702473
"Bard, Corki, DragonGold, Lulu, Neeko, Sona, Thresh, TrainerDragon, Tristana",1,1.0,11,910,3.7609500773702473
"Hecarim, Neeko, Sejuani, Shen, Shyvana, Talon, Twitch, Xayah",1,1.0,6,993,4.8572329253510675
"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Soraka, Sylas, TrainerDragon, Zoe",2,1.0,12,1698,4.752369864049532
"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sona, Sylas, TrainerDragon, Zoe",1,1.0,12,1698,4.752369864049532
"Bard, Corki, DragonGold, Jinx, Lulu, Senna, Sona, TrainerDragon, Tristana, Zoe",1,1.0,11,910,3.7609500773702473
"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,12,1698,4.752369864049532
"Bard, Corki, DragonGold, Jinx, Lulu, Sona, Thresh, Zoe",1,1.0,39,2,4.5
"AoShin, Bard, Heimerdinger, Lulu, Nami, Ornn, Sylas, Thresh, TrainerDragon, Zoe",1,1.0,12,1698,4.752369864049532
"AoShin, Bard, Heimerdinger, Lulu, Neeko, Ornn, Sylas, TrainerDragon, Zoe",1,1.0,12,1698,4.752369864049532
"Bard, Corki, DragonGold, Heimerdinger, Jinx, Lulu, Sona, TrainerDragon, Tristana, Yasuo",1,1.0,11,910,3.7609500773702473
"AoShin, Bard, Heimerdinger, Lulu, Sona, Soraka, Sylas, TrainerDragon, Yasuo",1,1.0,12,1698,4.752369864049532
"AoShin, Bard, Heimerdinger, Lulu, Sona, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,12,1698,4.752369864049532
"Bard, Corki, DragonGold, Heimerdinger, Sona, TrainerDragon, Tristana, Yasuo, Zoe",1,1.0,11,910,3.7609500773702473
"DragonBlue, DragonGold, DragonPurple, Sylas, Thresh, Yasuo",1,1.0,31,20,4.72962962962963
"Hecarim, Illaoi, LeeSin, Ornn, Shen, Skarner, Twitch, Varus, Xayah",1,1.0,40,1,1.0
"Bard, DragonBlue, Ornn, Pyke, Qiyana, Talon, Thresh, Yasuo",1,1.0,10,264,3.624245595674167
"AoShin, Bard, Hecarim, Lulu, Ornn, Sejuani, Soraka, Talon",1,1.0,41,1,1.0
"DragonPurple, Elise, Gnar, Neeko, Ryze, Swain, Sylas, Zoe",1,1.0,42,46,4.097916666666666
"Corki, DragonGold, Jinx, Leona, Lulu, Pyke, Senna, TrainerDragon, Tristana, Yasuo",1,1.0,43,1,1.0
"AoShin, Bard, Nami, Ornn, Shen, Sylas, Yasuo, Zoe",2,1.0,3,551,3.258195157254249
"Corki, DragonGold, Kayn, Pyke, Thresh, Volibear, Zoe",1,1.0,44,2,4.5
"Corki, DragonGold, Hecarim, Ornn, Pyke, Soraka, Thresh, Yasuo",1,1.0,45,1,1.0
"AoShin, Bard, Nami, Ornn, Pyke, Soraka, Sylas, Zoe",1,1.0,3,551,3.258195157254249
"Bard, DragonGreen, Gnar, Neeko, Pyke, Soraka, Talon, Xayah, Yasuo",1,1.0,10,264,3.624245595674167
"Bard, DragonGreen, Gnar, Neeko, Pyke, Soraka, Twitch, Yasuo",1,1.0,46,4,3.5
"Bard, DragonGreen, Gnar, Hecarim, Neeko, Nunu, Soraka, Yasuo",1,1.0,47,1,1.0
"DragonPurple, Elise, Gnar, Neeko, Pyke, Sona, Soraka, Swain",1,1.0,14,1037,4.867178381364635
"Bard, DragonGreen, Gnar, Lulu, Neeko, Ryze, Soraka, Zoe",1,1.0,48,5,1.6
"AoShin, Bard, Ryze, Sylas, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"Corki, Jinx, Lulu, Ornn, Sona, Soraka, TahmKench, TrainerDragon, Tristana",1,1.0,49,217,5.1494723443829695
"AoShin, Bard, Nami, Ornn, Soraka, Sylas, Talon, Yasuo, Zoe",1,1.0,3,551,3.258195157254249
"Corki, Jinx, Lulu, Ornn, TahmKench, TrainerDragon, Tristana",1,1.0,49,217,5.1494723443829695
"Bard, DragonGreen, Gnar, Lulu, Neeko, Pyke, Soraka, Yasuo, Zoe",1,1.0,48,5,1.6
"DragonPurple, Elise, Gnar, Neeko, Pyke, Swain, Sylas, Talon",1,1.0,14,1037,4.867178381364635
"AoShin, Bard, DragonGreen, Gnar, Neeko, Ornn, Soraka",1,1.0,50,2,2.0
"AoShin, Bard, DragonGreen, Neeko, Shyvana, Soraka, Yasuo",1,1.0,51,1,1.0
"Bard, DragonGreen, DragonPurple, Gnar, Neeko, Soraka, Yasuo",1,1.0,10,264,3.624245595674167
"AoShin, Bard, DragonGreen, DragonPurple, Ornn, Pyke",3,1.0,52,8,3.0
