placement,group,comp,grp_count,grp_placement,mode
1,0,"Bard, Braum, Lulu, Olaf, Pyke, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Leona, Nunu, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, DragonBlue, Leona, Nunu, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Aatrox, Braum, Leona, Olaf, Shen, Talon, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, DragonBlue, Olaf, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, Hecarim, Leona, Nunu, Olaf, Sejuani, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, DragonBlue, Leona, Lillia, Nunu, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, Leona, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Nunu, Pyke, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, DragonGold, Leona, Nunu, Pyke, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, Leona, Taric, Thresh, Twitch, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Aatrox, Braum, Leona, Nunu, Olaf, Shen, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"AoShin, Bard, Braum, Hecarim, Nunu, Ornn, Shen, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Bard, Braum, Leona, Olaf, Shen, Talon, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Bard, Braum, DragonBlue, Leona, Nami, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, Leona, Olaf, Shen, Soraka, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Bard, Braum, DragonBlue, Leona, Nami, Soraka, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"AoShin, Bard, Braum, Hecarim, Leona, Nunu, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Nunu, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Nunu, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Aatrox, Braum, Leona, Lillia, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonBlue, Leona, Nunu, Olaf, Soraka, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, DragonBlue, Leona, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Aatrox, Braum, Leona, Sylas, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"DragonBlue, Leona, Soraka, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, DragonBlue, Leona, Nunu, Sylas, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, Elise, Leona, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonBlue, Leona, Olaf, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, DragonBlue, Leona, Nunu, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Leona, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, DragonBlue, Leona, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Bard, Braum, Leona, Lulu, Nami, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, Diana, DragonBlue, Leona, Nunu, Taric, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Aatrox, Braum, Leona, Lillia, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, Heimerdinger, Olaf, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Braum, DragonBlue, Leona, Nunu, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Aatrox, Braum, Leona, Olaf, Shen, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Leona, Nunu, Taric, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Aatrox, Braum, Olaf, Shen, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, Corki, Hecarim, Neeko, Ornn, Xayah, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, DragonBlue, Leona, Nunu, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, Leona, Nunu, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Aatrox, Braum, Leona, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Nunu, Olaf, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Leona, Nunu, Taric, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Leona, Nunu, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Leona, Soraka, Sylas, Taric, Thresh",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Aatrox, Braum, Leona, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Nunu, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, Twitch, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonPurple, Leona, Shen, Soraka, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonBlue, Leona, Nunu, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, DragonGold, Leona, Lillia, Taric, Thresh",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, Olaf, Ornn, Shen, Skarner, Sylas, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, Leona, Nunu, Sylas, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Aatrox, Braum, Leona, Olaf, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, DragonBlue, Leona, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonGold, Leona, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Aatrox, Braum, Leona, Nunu, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, Leona, Shen, Sylas, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, DragonBlue, Leona, Nunu, Sejuani, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, Diana, Olaf, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, Leona, Olaf, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Bard, Braum, DragonBlue, Leona, Nunu, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonBlue, Leona, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Aatrox, Braum, Diana, Lillia, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, DragonBlue, Leona, Nunu, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, Diana, DragonBlue, Leona, Nunu, Olaf, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, Diana, Leona, Nunu, Olaf, Shen, Talon, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, Leona, Olaf, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonPurple, Leona, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, DragonBlue, Hecarim, Leona, Nunu, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonBlue, Elise, Leona, Pyke, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonBlue, Leona, Nunu, Soraka, Taric, Thresh, Yasuo",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"AoShin, Braum, Leona, Ornn, Sylas, Taric, Thresh",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, Leona, Ryze, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Aatrox, Braum, DragonBlue, Leona, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, DragonBlue, Leona, Nunu, Soraka, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, DragonBlue, Leona, Olaf, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
6,0,"Braum, DragonGold, Leona, Olaf, Shen, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"DragonBlue, Leona, Pyke, Soraka, Sylas, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, DragonBlue, Leona, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, Leona, Shen, Sylas, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Braum, DragonGold, Leona, Nunu, Pyke, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Braum, DragonBlue, Leona, Olaf, Shen, Talon, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, DragonBlue, Leona, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, DragonBlue, Leona, Nunu, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, Leona, Shen, Twitch, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, Leona, Nunu, Olaf, Shen, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, Leona, Olaf, Ornn, Qiyana, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Aatrox, Bard, Braum, Olaf, Shen, Yasuo, Yone, Zoe",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonBlue, Hecarim, Leona, Nunu, Taric, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, DragonBlue, Leona, Olaf, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Aatrox, Braum, Leona, Olaf, Pyke, Shen, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, Hecarim, Leona, Nunu, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, Leona, Shen, Taric, Thresh, Yone, Zoe",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Aatrox, Braum, Leona, Nunu, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Braum, DragonBlue, Leona, Nunu, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Aatrox, Bard, Braum, Leona, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, Leona, Nunu, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Aatrox, Braum, Leona, Nunu, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Braum, Leona, Olaf, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"DragonGold, Leona, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Braum, Leona, Nunu, Olaf, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"DragonBlue, Leona, Nunu, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, DragonPurple, Leona, Olaf, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, Leona, Nunu, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, DragonBlue, Leona, Nunu, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Braum, Hecarim, Leona, Nunu, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Bard, Braum, DragonGold, Leona, Shen, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
2,0,"Aatrox, Braum, Leona, Olaf, Shen, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
7,0,"Aatrox, Braum, Leona, Olaf, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
4,0,"Braum, DragonBlue, Leona, Nunu, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, DragonBlue, Leona, Nunu, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Bard, Braum, Leona, Olaf, Shen, Taric, Thresh, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
1,0,"Braum, DragonBlue, Leona, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
8,0,"Aatrox, Braum, Diana, Leona, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, DragonGold, Leona, Shen, Taric, Thresh, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
3,0,"Braum, Leona, Nunu, Olaf, Shen, Yasuo, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
5,0,"Braum, DragonBlue, Leona, Shen, Yone",141,4.581560283687943,"Braum, DragonBlue, Leona, Nunu, Shen, Yone"
