placement,group,comp,grp_count,grp_placement,mode
6,0,"Bard, DragonGreen, Gnar, Lulu, Neeko, Pyke, Soraka, Talon",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
2,0,"Bard, DragonGreen, Gnar, Neeko, Soraka, Xayah, Yasuo",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
7,0,"Elise, Gnar, Neeko, Nidalee, Shyvana, Soraka, Swain",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
8,0,"DragonGreen, Gnar, Karma, Lulu, Neeko, Shen, Yone",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
4,0,"DragonGreen, Gnar, Nami, Neeko, Nidalee, Soraka, Swain",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
4,0,"Anivia, DragonGreen, Gnar, Lulu, Neeko, Yasuo, Zoe",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
1,0,"Ashe, Bard, DragonGreen, Gnar, Neeko, Twitch, Xayah, Yasuo",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
4,0,"Anivia, Ashe, DragonGreen, Gnar, Karma, Lulu, Neeko, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
5,0,"DragonGreen, Elise, Gnar, Neeko, Nidalee, Soraka, Yasuo",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
5,0,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Sona",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
1,0,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
8,0,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
1,0,"Bard, DragonGreen, Elise, Lulu, Neeko, Pyke, Soraka, Talon, Yasuo",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
8,0,"Ashe, DragonGreen, Gnar, Neeko, Nidalee, Swain, Twitch",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
1,0,"Anivia, DragonGreen, Gnar, Karma, Neeko, Sona, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
5,0,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
5,0,"Anivia, Bard, DragonGreen, Elise, Lulu, Neeko, Pyke, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
8,0,"Anivia, Ashe, DragonGreen, Gnar, Neeko, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
6,0,"Anivia, Ashe, DragonGreen, Gnar, Lulu, Neeko, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
4,0,"Ashe, Bard, DragonGreen, Karma, Neeko, Twitch, Yasuo, Zoe",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
5,0,"Anivia, Ashe, Bard, DragonGreen, Gnar, Neeko, Soraka, Yasuo",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
8,0,"Anivia, DragonGreen, Lulu, Neeko, Sona, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
4,0,"Anivia, DragonGreen, Gnar, Karma, Neeko, Taric",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
6,0,"DragonGreen, Gnar, Lulu, Neeko, Sona, Soraka, Talon",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
7,0,"DragonGreen, Gnar, Lulu, Nami, Neeko, Sona",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
6,0,"DragonGreen, Gnar, Kayn, Lulu, Neeko, Pyke, Soraka",476,4.573529411764706,"Anivia, Bard, DragonGreen, Gnar, Lulu, Neeko, Soraka"
