unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",13245,4.5
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, SpearOfShojin",18,3.72
TFT7_Anivia,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",12,4.25
TFT7_Anivia,"None, None, None",12774,4.49
TFT7_Anivia,"ArchangelsStaff, Bloodthirster, HextechGunblade",23,4.91
TFT7_Anivia,"None, None, SpearOfShojin",12,5.67
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",38,2.5
TFT7_AoShin,"MadredsBloodrazor, SpearOfShojin, UnstableConcoction",21,2.71
TFT7_AoShin,"ArchangelsStaff, GuardianAngel, SpearOfShojin",22,2.73
TFT7_AoShin,"MageEmblemItem, RabadonsDeathcap, SpearOfShojin",19,2.89
TFT7_AoShin,"HextechGunblade, RabadonsDeathcap, SpearOfShojin",22,2.91
TFT7_Ashe,"None, None, Zephyr",13,4.08
TFT7_Ashe,"None, None, None",13119,4.5
TFT7_Ashe,"None, None, StatikkShiv",29,4.59
TFT7_AurelionSol,"HextechGunblade, MageEmblemItem, SpearOfShojin",16,3.88
TFT7_AurelionSol,"JeweledGauntlet, MageEmblemItem, SpearOfShojin",18,4.44
TFT7_AurelionSol,"None, None, None",13122,4.5
TFT7_AurelionSol,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",27,5.15
TFT7_Bard,"None, None, SparringGloves",18,2.78
TFT7_Bard,"GuinsoosRageblade, None, None",17,2.88
TFT7_Bard,"None, None, Shroud",78,2.99
TFT7_Bard,"LastWhisper, None, None",16,3.12
TFT7_Bard,"None, None, ZekesHerald",34,3.24
TFT7_Braum,"None, None, Shroud",20,2.85
TFT7_Braum,"None, None, Zephyr",27,4.11
TFT7_Braum,"None, None, TitanicHydra",31,4.32
TFT7_Braum,"None, None, None",12323,4.49
TFT7_Braum,"BrambleVest, None, None",24,4.71
TFT7_Corki,"GuinsoosRageblade, SpearOfShojin, StatikkShiv",13,3.62
TFT7_Corki,"InfinityEdge, LastWhisper, MadredsBloodrazor",13,4.08
TFT7_Corki,"GuinsoosRageblade, MadredsBloodrazor, StatikkShiv",21,4.1
TFT7_Corki,"None, None, StatikkShiv",12,4.17
TFT7_Corki,"GuinsoosRageblade, LastWhisper, MadredsBloodrazor",22,4.36
TFT7_Diana,"CavalierEmblemItem, IonicSpark, RedBuff",13,3.46
TFT7_Diana,"FrozenHeart, RedBuff, TitansResolve",14,3.64
TFT7_Diana,"ArchangelsStaff, FrozenHeart, IonicSpark",13,3.69
TFT7_Diana,"IonicSpark, RedBuff, TitansResolve",12,3.75
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",220,3.95
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, WhispersEmblemItem",18,3.06
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, RevelEmblemItem",95,3.29
TFT7_DragonBlue,"ArchangelsStaff, HextechGunblade, MadredsBloodrazor",14,3.64
TFT7_DragonBlue,"GuinsoosRageblade, RevelEmblemItem, StatikkShiv",25,3.72
TFT7_DragonBlue,"InfinityEdge, JeweledGauntlet, UnstableConcoction",15,3.73
TFT7_DragonGold,"GargoyleStoneplate, ShimmerscaleMogulsMail, WarmogsArmor",19,4.37
TFT7_DragonGold,"None, None, None",12413,4.46
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, ShimmerscaleMogulsMail",25,4.48
TFT7_DragonGold,"DragonsClaw, GargoyleStoneplate, WarmogsArmor",13,4.54
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, WarmogsArmor",27,4.78
TFT7_DragonGreen,"Bloodthirster, GuinsoosRageblade, TitansResolve",20,3.75
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, TitansResolve",21,3.86
TFT7_DragonGreen,"Bloodthirster, TitansResolve, TitansResolve",22,4.27
TFT7_DragonGreen,"Bloodthirster, TitansResolve, UnstableConcoction",21,4.48
TFT7_DragonGreen,"None, None, None",12628,4.49
TFT7_DragonPurple,"GuinsoosRageblade, Quicksilver, TitansResolve",13,3.23
TFT7_DragonPurple,"Bloodthirster, TitansResolve, UnstableConcoction",24,3.29
TFT7_DragonPurple,"Bloodthirster, FrozenHeart, GuinsoosRageblade",20,3.45
TFT7_DragonPurple,"Quicksilver, TitansResolve, UnstableConcoction",12,3.5
TFT7_DragonPurple,"InfinityEdge, TitansResolve, UnstableConcoction",20,3.55
TFT7_Elise,"GuinsoosRageblade, OrnnDeathsDefiance, Quicksilver",16,3.38
TFT7_Elise,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",14,3.57
TFT7_Elise,"GuinsoosRageblade, Quicksilver, UnstableConcoction",66,3.76
TFT7_Elise,"GuinsoosRageblade, HextechGunblade, Quicksilver",62,3.87
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",672,3.98
TFT7_Ezreal,"None, None, None",13257,4.5
TFT7_Gnar,"None, None, Zephyr",13,2.77
TFT7_Gnar,"LocketOfTheIronSolari, None, None",13,3.54
TFT7_Gnar,"None, None, RedBuff",14,4.21
TFT7_Gnar,"None, None, ZekesHerald",17,4.24
TFT7_Gnar,"None, None, None",12938,4.52
TFT7_Hecarim,"None, None, TearOfTheGoddess",13,3.54
TFT7_Hecarim,"Morellonomicon, None, SeraphsEmbrace",14,3.57
TFT7_Hecarim,"Morellonomicon, None, None",45,3.87
TFT7_Hecarim,"None, None, Redemption",18,3.94
TFT7_Hecarim,"None, None, TitanicHydra",25,4.0
TFT7_Heimerdinger,"None, None, SparringGloves",14,3.36
TFT7_Heimerdinger,"None, None, Shroud",74,3.47
TFT7_Heimerdinger,"None, None, PowerGauntlet",18,3.61
TFT7_Heimerdinger,"LocketOfTheIronSolari, None, None",21,3.67
TFT7_Heimerdinger,"None, None, Zephyr",78,3.79
TFT7_Illaoi,"BrambleVest, DragonsClaw, RedBuff",13,2.69
TFT7_Illaoi,"BrambleVest, RedBuff, Redemption",16,2.81
TFT7_Illaoi,"RedBuff, Redemption, WarmogsArmor",12,3.67
