augment2_grp,Value_Count,average_placement
TFT7_Augment_SwiftshotTrait,1,1.0
TFT6_Augment_TriForce2,2,2.5
TFT7_Augment_AstralTrait,2,2.5
TFT7_Augment_RevelPartyFavors,15,2.87
TFT7_Augment_WarriorEmblem2,3,3.0
TFT7_Augment_AssassinTrait,2,3.0
TFT7_Augment_BruiserEmblem,12,3.25
TFT7_Augment_ShimmerscaleEmblem,2,3.5
TFT6_Augment_Featherweights2,4,3.5
TFT6_Augment_Featherweights1,2,3.5
TFT7_Augment_MysticTrait2,11,3.55
TFT6_Augment_CelestialBlessing1,36,3.58
TFT7_Augment_BestFriends3,19,3.68
TFT6_Augment_Diversify2,264,3.7
TFT6_Augment_Meditation1,28,3.71
TFT7_Augment_RevelPartyTime,15,3.73
TFT7_Augment_RevelTrait,4,3.75
TFT6_Augment_CyberneticImplants2,41,3.76
TFT7_Augment_MysticTrait,29,3.76
TFT6_Augment_CyberneticShell2,49,3.8
TFT6_Augment_CyberneticImplants3,10,3.9
TFT7_Augment_RagewingTantrum,12,3.92
TFT7_Augment_EvokerTrait,13,3.92
TFT6_Augment_Diversify3,61,3.98
TFT7_Augment_GuardianEmblem2,2,4.0
TFT7_Augment_AxiomArc1,33,4.0
TFT7_Augment_ShimmerscaleTrait2,3,4.0
TFT7_Augment_WhispersEmblem2,14,4.0
TFT6_Augment_FirstAidKit,29,4.03
TFT7_Augment_DragonAlliance,97,4.05
TFT7_Augment_CavalierForAllUnits,14,4.07
TFT7_Augment_JadeTrait,59,4.08
TFT7_Augment_DragonHorde,81,4.09
TFT6_Augment_CyberneticImplants1,10,4.1
TFT6_Augment_PandorasItems,44,4.11
TFT6_Augment_CyberneticUplink3,36,4.14
TFT6_Augment_CelestialBlessing2,306,4.16
TFT6_Augment_MaxLevel10,88,4.19
TFT6_Augment_CelestialBlessing3,62,4.19
TFT7_Augment_ShapeshifterBeastsDen,56,4.2
TFT6_Augment_Distancing3,5,4.2
TFT6_Augment_HighEndShopping,114,4.22
TFT6_Augment_FuturePeepers2,4,4.25
TFT6_Augment_CyberneticUplink2,161,4.27
TFT6_Augment_BlueBattery2,203,4.28
TFT7_Augment_WarriorTiamat,10,4.3
TFT6_Augment_CyberneticShell3,10,4.3
TFT7_Augment_JadeEmblem,13,4.31
TFT6_Augment_Meditation2,163,4.32
TFT7_Augment_ShimmerscaleTrait,12,4.33
TFT7_Augment_MageTrait,21,4.33
TFT7_Augment_BestFriends2,88,4.33
TFT7_Augment_BestFriends1,12,4.33
TFT7_Augment_FirstAidKit2,114,4.33
TFT7_Augment_ShapeshifterTrait,9,4.33
TFT7_Augment_CannoneerHotShot,49,4.33
TFT6_Augment_Meditation3,24,4.33
TFT6_Augment_MakeshiftArmor2,42,4.33
TFT6_Augment_Ascension,350,4.36
TFT6_Augment_ForceOfNature,71,4.37
TFT7_Augment_EvokerEmblem,38,4.37
TFT7_Augment_JadeEternalProtection,57,4.37
TFT6_Augment_MakeshiftArmor1,8,4.38
TFT6_Augment_Diversify1,37,4.38
TFT7_Augment_RagewingEmblem,8,4.38
TFT7_Augment_EvokerEssenceTheft,24,4.38
TFT7_Augment_AssassinEmblem2,5,4.4
TFT7_Augment_AssassinEmblem,25,4.4
TFT7_Augment_CannoneerEmblem,22,4.41
TFT6_Augment_Weakspot,39,4.41
TFT6_Augment_BinaryAirdrop,14,4.43
TFT6_Augment_TomeOfTraits1,152,4.43
TFT6_Augment_WindfallPlusPlus,60,4.43
TFT7_Augment_GuildEmblem2,7,4.43
TFT7_Augment_CavalierDevastatingCharge,16,4.44
TFT7_Augment_CannoneerEmblem2,9,4.44
TFT7_Augment_MirageTrait,9,4.44
TFT7_Augment_CavalierEmblem,53,4.45
TFT7_Augment_UrfsGrabBag2,59,4.46
TFT7_Augment_GuardianEmblem,17,4.47
TFT6_Augment_RadiantRelics,92,4.48
TFT7_Augment_ShapeshifterTrait2,10,4.5
TFT7_Augment_ScalescornEmblem2,4,4.5
TFT7_Augment_RagewingEmblem2,4,4.5
TFT7_Augment_SwiftshotEmblem2,2,4.5
TFT6_Augment_ComponentGrabBag,375,4.5
TFT6_Augment_SalvageBin,134,4.54
TFT7_Augment_UrfsGrabBag1,259,4.54
TFT6_Augment_CyberneticUplink1,16,4.56
TFT7_Augment_MirageEmblem,43,4.56
TFT6_Augment_TheGoldenEgg,48,4.56
TFT7_Augment_CannoneerRicochet,37,4.57
TFT7_Augment_TomeOfTraits2,42,4.57
TFT6_Augment_SecondWind2,314,4.57
TFT6_Augment_PortableForge,446,4.57
TFT6_Augment_JeweledLotus,269,4.58
TFT6_Augment_SecondWind1,88,4.59
TFT6_Augment_Recombobulator,25,4.6
TFT6_Augment_ThrillOfTheHunt2,365,4.6
TFT7_Augment_CursedCrown,21,4.62
TFT7_Augment_RagewingScorch,27,4.63
TFT6_Augment_CyberneticShell1,11,4.64
TFT7_Augment_BigFriend2,44,4.64
TFT7_Augment_GadgetExpert,105,4.65
TFT7_Augment_SwiftshotEmblem,3,4.67
TFT7_Augment_SwiftshotPressTheAttack,22,4.68
TFT7_Augment_MirageHallucinate,42,4.69
TFT7_Augment_GuardianHeroicPresence,23,4.7
TFT7_Augment_TempestEyeOfTheStorm,11,4.73
TFT7_Augment_AstralIntercosmicGifts,22,4.73
TFT7_Augment_DragonmancerEmblem2,4,4.75
TFT7_Augment_CavalierEmblem2,8,4.75
TFT7_Augment_ShimmerscaleSpending,12,4.75
TFT7_Augment_ThinkFast,41,4.78
TFT6_Augment_SunfireBoard,134,4.78
TFT6_Augment_VerdantVeil,64,4.8
TFT7_Augment_MirageEmblem2,17,4.82
TFT7_Augment_BandOfThieves1,41,4.83
TFT7_Augment_ScalescornEmblem,23,4.83
TFT7_Augment_JadePenitence,32,4.84
TFT7_Augment_MageEmblem,125,4.85
TFT7_Augment_AxiomArc2,123,4.89
TFT7_Augment_RevelEmblem2,12,4.92
TFT7_Augment_EvokerEmblem2,15,4.93
TFT7_Augment_MikaelsGift,59,4.95
TFT7_Augment_ScalescornTrait,3,5.0
TFT7_Augment_TempestEmblem2,1,5.0
TFT7_Augment_WhispersTrait,7,5.0
TFT6_Augment_ItemGrabBag2,36,5.0
TFT6_Augment_Distancing,7,5.0
TFT6_Augment_ThrillOfTheHunt1,82,5.04
TFT6_Augment_BandOfThieves2,25,5.04
TFT7_Augment_PandorasBench,139,5.04
TFT7_Augment_MageEmblem2,35,5.06
TFT7_Augment_BigFriend,12,5.08
TFT6_Augment_TargetDummies,99,5.09
TFT7_Augment_CannoneerTrait,9,5.11
TFT6_Augment_GrandGambler,43,5.12
TFT7_Augment_WarriorEmblem,24,5.12
TFT6_Augment_Distancing2,24,5.17
TFT7_Augment_AssassinCutthroat,17,5.18
TFT6_Augment_FuturePeepers,21,5.19
TFT6_Augment_MakeshiftArmor3,5,5.2
TFT6_Augment_ItemGrabBag1,32,5.22
TFT7_Augment_WarriorTrait,4,5.25
TFT7_Augment_BruiserEmblem2,4,5.25
TFT7_Augment_JadeTrait2,21,5.33
TFT7_Augment_DragonmancerInspire,35,5.34
TFT7_Augment_CavalierTrait,8,5.38
TFT7_Augment_BruiserTitanicStrength,15,5.4
