unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",4065,4.5
TFT7_Anivia,"ArchangelsStaff, HextechGunblade, Morellonomicon",12,3.92
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, SpearOfShojin",17,4.47
TFT7_Anivia,"None, None, None",3543,4.52
TFT7_AoShin,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",14,3.64
TFT7_AoShin,"ArchangelsStaff, MadredsBloodrazor, SpearOfShojin",20,3.9
TFT7_AoShin,"HextechGunblade, MageEmblemItem, SpearOfShojin",14,3.93
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",34,3.94
TFT7_AoShin,"InfinityEdge, JeweledGauntlet, SpearOfShojin",15,4.47
TFT7_Ashe,"None, None, None",3966,4.49
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, MadredsBloodrazor",19,2.84
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, JeweledGauntlet",16,2.88
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, SpearOfShojin",50,3.08
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, MageEmblemItem",21,3.52
TFT7_AurelionSol,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",15,4.0
TFT7_Bard,"None, None, SpearOfShojin",23,3.0
TFT7_Bard,"None, None, Shroud",26,3.0
TFT7_Bard,"None, None, StatikkShiv",20,3.1
TFT7_Bard,"None, None, PowerGauntlet",20,3.5
TFT7_Bard,"None, None, Zephyr",38,3.63
TFT7_Braum,"None, None, None",3891,4.49
TFT7_Braum,"None, None, RedBuff",12,4.83
TFT7_Corki,"GuinsoosRageblade, InfinityEdge, MadredsBloodrazor",16,4.5
TFT7_Corki,"None, None, None",3698,4.52
TFT7_Diana,"None, None, None",3890,4.48
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",30,4.9
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, RevelEmblemItem",19,3.42
TFT7_DragonBlue,"None, None, None",3783,4.53
TFT7_DragonGold,"None, None, None",3819,4.5
TFT7_DragonGreen,"Bloodthirster, MadredsBloodrazor, TitansResolve",15,3.47
TFT7_DragonGreen,"Bloodthirster, Quicksilver, TitansResolve",26,3.54
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, TitansResolve",26,3.92
TFT7_DragonGreen,"Bloodthirster, TitansResolve, TitansResolve",37,4.03
TFT7_DragonGreen,"Bloodthirster, InfinityEdge, TitansResolve",22,4.05
TFT7_DragonPurple,"Bloodthirster, TitansResolve, UnstableConcoction",14,2.86
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, Quicksilver",22,3.95
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, TitansResolve",13,4.0
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, TitansResolve",23,4.13
TFT7_DragonPurple,"Bloodthirster, TitansResolve, TitansResolve",12,4.17
TFT7_Elise,"None, None, None",3889,4.5
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",65,4.51
TFT7_Elise,"GuinsoosRageblade, Quicksilver, UnstableConcoction",12,4.83
TFT7_Ezreal,"None, None, None",4059,4.49
TFT7_Gnar,"None, None, Shroud",23,3.7
TFT7_Gnar,"None, None, None",3843,4.55
TFT7_Hecarim,"Morellonomicon, None, None",14,3.29
TFT7_Hecarim,"MirageEmblemItem, None, None",13,4.46
TFT7_Hecarim,"None, None, None",3773,4.52
TFT7_Heimerdinger,"None, None, Shroud",30,3.43
TFT7_Heimerdinger,"None, None, Zephyr",23,3.43
TFT7_Heimerdinger,"MysticEmblemItem, None, None",13,4.08
TFT7_Heimerdinger,"None, None, None",3915,4.54
TFT7_Illaoi,"None, None, TitanicHydra",32,4.28
TFT7_Illaoi,"None, None, None",3551,4.49
TFT7_Illaoi,"MageEmblemItem, None, None",12,6.67
TFT7_Jinx,"None, None, None",4015,4.5
TFT7_Karma,"None, None, None",4044,4.5
TFT7_Kayn,"None, None, None",4026,4.5
