,0
TFT7_Swain_item2_TFT_Item_SeraphsEmbrace,0.0
TFT7_Qiyana_item0_TFT_Item_Shroud,0.0
TFT7_Qiyana_item0_TFT_Item_SeraphsEmbrace,0.0
TFT7_Qiyana_item0_TFT_Item_RunaansHurricane,0.0
TFT7_Qiyana_item0_TFT_Item_Redemption,0.0
TFT7_Qiyana_item0_TFT_Item_RedBuff,0.0
TFT7_Qiyana_item0_TFT_Item_RecurveBow,0.0
TFT7_Qiyana_item0_TFT_Item_RapidFireCannon,0.0
TFT7_Qiyana_item0_TFT_Item_RabadonsDeathcap,0.0
TFT7_Qiyana_item0_TFT_Item_Quicksilver,0.0
TFT7_Qiyana_item0_TFT_Item_NegatronCloak,0.0
TFT7_TahmKench_item1_TFT_Item_Shroud,0.0
TFT7_Qiyana_item0_TFT_Item_Morellonomicon,0.0
TFT7_TahmKench_item1_TFT_Item_SparringGloves,0.0
TFT7_Qiyana_item0_TFT_Item_LastWhisper,0.0
TFT7_Qiyana_item0_TFT_Item_JeweledGauntlet,0.0
TFT7_TahmKench_item1_TFT_Item_StatikkShiv,0.0
TFT7_Qiyana_item0_TFT_Item_InfinityEdge,0.0
TFT7_Qiyana_item0_TFT_Item_GuinsoosRageblade,0.0
TFT7_Qiyana_item0_TFT_Item_GuardianAngel,0.0
TFT7_Qiyana_item0_TFT_Item_GiantsBelt,0.0
TFT7_TahmKench_item1_TFT_Item_TitanicHydra,0.0
TFT7_Qiyana_item0_TFT_Item_ForceOfNature,0.0
TFT7_TahmKench_item1_TFT_Item_WarmogsArmor,0.0
TFT7_Qiyana_item0_TFT_Item_ChainVest,0.0
TFT7_Qiyana_item0_TFT_Item_Bloodthirster,0.0
TFT7_Qiyana_item0_TFT_Item_SparringGloves,0.0
TFT7_Qiyana_item0_TFT_Item_BFSword,0.0
TFT7_Qiyana_item0_TFT_Item_Spatula,0.0
TFT7_Qiyana_item0_TFT_Item_StatikkShiv,0.0
TFT7_Qiyana_item1_TFT_Item_LastWhisper,0.0
TFT7_Qiyana_item1_TFT_Item_JeweledGauntlet,0.0
TFT7_Qiyana_item1_TFT_Item_IonicSpark,0.0
TFT7_Qiyana_item1_TFT_Item_InfinityEdge,0.0
TFT7_Qiyana_item1_TFT_Item_HextechGunblade,0.0
TFT7_Qiyana_item1_TFT_Item_GuinsoosRageblade,0.0
TFT7_Qiyana_item1_TFT_Item_GuardianAngel,0.0
TFT7_Qiyana_item1_TFT_Item_GiantsBelt,0.0
TFT7_Qiyana_item1_TFT_Item_FrozenHeart,0.0
TFT7_Qiyana_item1_TFT_Item_DragonsClaw,0.0
TFT7_Qiyana_item1_TFT_Item_Chalice,0.0
TFT7_Qiyana_item1_TFT_Item_ChainVest,0.0
TFT7_Qiyana_item1_TFT_Item_Bloodthirster,0.0
TFT7_TahmKench_item1_TFT_Item_Quicksilver,0.0
TFT7_Qiyana_item1_TFT7_Item_SwiftshotEmblemItem,0.0
TFT7_Qiyana_item1_TFT7_Item_ShimmerscaleHeartOfGold,0.0
TFT7_Qiyana_item1_TFT7_Item_ShimmerscaleGamblersBlade,0.0
TFT7_Qiyana_item1_TFT7_Item_GuildEmblemItem,0.0
TFT7_Qiyana_item1_TFT7_Item_BruiserEmblemItem,0.0
TFT7_TahmKench_item1_TFT_Item_RecurveBow,0.0
TFT7_TahmKench_item1_TFT_Item_Redemption,0.0
TFT7_Qiyana_item0_TFT_Item_ZekesHerald,0.0
TFT7_TahmKench_item1_TFT_Item_SeraphsEmbrace,0.0
