,0
TFT7_AoShin_item2_TFT_Item_Bloodthirster,0.0
TFT7_Shen_item2_TFT_Item_NegatronCloak,0.0
TFT7_Shen_item2_TFT_Item_PowerGauntlet,0.0
TFT7_Nunu_item1_TFT_Item_TearOfTheGoddess,0.0
TFT7_Nunu_item1_TFT_Item_StatikkShiv,0.0
TFT7_Nunu_item1_TFT_Item_Shroud,0.0
TFT7_Nunu_item1_TFT_Item_SeraphsEmbrace,0.0
TFT7_Nunu_item1_TFT_Item_RunaansHurricane,0.0
TFT7_Nunu_item1_TFT_Item_Redemption,0.0
TFT7_Shen_item2_TFT_Item_Quicksilver,0.0
TFT7_Nunu_item1_TFT_Item_RecurveBow,0.0
TFT7_Nunu_item1_TFT_Item_RapidFireCannon,0.0
TFT7_Nunu_item1_TFT_Item_RabadonsDeathcap,0.0
TFT7_Nunu_item1_TFT_Item_Quicksilver,0.0
TFT7_Nunu_item1_TFT_Item_PowerGauntlet,0.0
TFT7_Nunu_item1_TFT_Item_NegatronCloak,0.0
TFT7_Nunu_item1_TFT_Item_NeedlesslyLargeRod,0.0
TFT7_Nunu_item1_TFT_Item_Morellonomicon,0.0
TFT7_Nunu_item1_TFT_Item_MadredsBloodrazor,0.0
TFT7_Shen_item2_TFT_Item_RabadonsDeathcap,0.0
TFT7_Nunu_item1_TFT_Item_JeweledGauntlet,0.0
TFT7_Nunu_item1_TFT_Item_IonicSpark,0.0
TFT7_Nunu_item1_TFT_Item_InfinityEdge,0.0
TFT7_Nunu_item1_TFT_Item_HextechGunblade,0.0
TFT7_Nunu_item1_TFT_Item_GuinsoosRageblade,0.0
TFT7_Nunu_item1_TFT_Item_GuardianAngel,0.0
TFT7_Nunu_item1_TFT_Item_UnstableConcoction,0.0
TFT7_Shen_item2_TFT_Item_Morellonomicon,0.0
TFT7_Nunu_item1_TFT_Item_ZekesHerald,0.0
TFT7_Nunu_item1_TFT_Item_Zephyr,0.0
TFT7_Nunu_item2_TFT_Item_HextechGunblade,0.0
