comp,value_count,average_placement,group,grp_count,grp_placement
"Bard, DragonPurple, Pyke, Soraka, Sylas, Talon, Yasuo, Zoe",1,1.0,0,7,2.857142857142857
"Bard, DragonBlue, Hecarim, Sejuani, Talon, Twitch, Yasuo",1,1.0,1,619,3.6336631961532624
"Bard, DragonBlue, Hecarim, Neeko, Nunu, Sejuani, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Ornn, Pyke, Ryze, Sejuani, Talon, Twitch",1,1.0,1,619,3.6336631961532624
"Bard, DragonBlue, Hecarim, Neeko, Nunu, Yasuo, Yone",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Ornn, Pyke, Talon, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonBlue, Hecarim, Neeko, Nunu, Pyke, Yasuo, Yone",1,1.0,2,467,3.2486683455433454
"Bard, DragonBlue, Hecarim, Nunu, Sejuani, Talon, Twitch, Yasuo",1,1.0,1,619,3.6336631961532624
"Corki, DragonGold, Jinx, Leona, Lulu, Sona, Soraka, TrainerDragon, Tristana",1,1.0,3,225,5.746455302551128
"Bard, DragonBlue, Hecarim, Nunu, Sejuani, Twitch, Yasuo, Yone",1,1.0,1,619,3.6336631961532624
"DragonPurple, Ornn, Talon, Thresh",1,1.0,4,1,1.0
"AoShin, Illaoi, Lulu, Nami, Ornn, Sylas, Zoe",1,1.0,5,18,3.625
"Bard, DragonPurple, Ornn, Qiyana, Sejuani, Talon, Twitch, Yasuo",1,1.0,1,619,3.6336631961532624
"DragonPurple, Elise, Neeko, Ornn, Pyke, Qiyana, Sylas, Talon",1,1.0,6,272,4.57444498069498
"Bard, DragonBlue, Hecarim, Nunu, Ornn, Sejuani, Shen, Yasuo",1,1.0,2,467,3.2486683455433454
"AoShin, Illaoi, Nami, Ornn, Ryze, Sylas, Zoe",1,1.0,5,18,3.625
"Bard, DragonBlue, Hecarim, Nunu, Ornn, Yasuo, Yone",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Ornn, Ryze, Shen, Sylas, Twitch, Zoe",1,1.0,7,1,1.0
"Ornn, Qiyana, Shen, Shyvana, Swain, Talon, Twitch, Xayah",1,1.0,8,11,5.1
"Bard, DragonBlue, Hecarim, Nunu, Ornn, Qiyana, Talon, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonBlue, Hecarim, Nunu, Ornn, Qiyana, Talon, Yasuo, Yone",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Olaf, Ornn, Pyke, Qiyana, Talon, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonBlue, Leona, Thresh, Yasuo",1,1.0,2,467,3.2486683455433454
"Bard, DragonPurple, Hecarim, Pyke, Ryze, Sejuani, Talon, Twitch",1,1.0,1,619,3.6336631961532624
"AoShin, Nami, Neeko, Ornn, Soraka, Sylas, Yasuo, Zoe",1,1.0,9,5,2.6
"Bard, DragonBlue, Leona, Nunu, Pyke, Sylas, Thresh, Yasuo",1,1.0,10,1,1.0
"Bard, DragonBlue, Gnar, Neeko, Nunu, Sejuani, Yasuo, Yone",1,1.0,2,467,3.2486683455433454
"Bard, DragonBlue, Gnar, Hecarim, Neeko, Nunu, Soraka, Zoe",1,1.0,11,1,1.0
"AoShin, Bard, Nami, Ornn, Soraka, Sylas, Yasuo, Zoe",4,1.0,12,115,2.5420000000000003
"Corki, Diana, Hecarim, Neeko, Ornn, Volibear, Xayah, Yasuo",1,1.0,13,6,2.0
"AoShin, Bard, Nami, Ornn, Ryze, Sylas, Yasuo, Zoe",1,1.0,12,115,2.5420000000000003
"AoShin, Bard, Nami, Qiyana, Sylas, Yasuo, Zoe",1,1.0,12,115,2.5420000000000003
"DragonPurple, Ornn, Qiyana, Ryze, Soraka, Sylas, Talon, Zoe",1,1.0,14,26,4.5
"Bard, DragonBlue, Nunu, Ryze, Sejuani, Talon, Twitch, Yasuo",1,1.0,1,619,3.6336631961532624
"Corki, Diana, Hecarim, Ornn, Xayah, Yasuo",1,1.0,15,1,1.0
"AoShin, Bard, Illaoi, Lulu, Nami, Sylas, Vladimir, Zoe",1,1.0,12,115,2.5420000000000003
"Corki, Diana, Hecarim, Lulu, Neeko, Ornn, Volibear, Yasuo",1,1.0,13,6,2.0
