placement,group,comp,grp_count,grp_placement,mode
2,0,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
4,0,"DragonPurple, Hecarim, Lillia, Nunu, Pyke, Sylas, Thresh",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
7,0,"Corki, DragonGold, Lulu, Nami, Sylas, Thresh, Zoe",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
8,0,"Bard, DragonPurple, Hecarim, Lulu, Pyke, Twitch, Xayah",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
4,0,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
8,0,"DragonBlue, DragonGold, DragonPurple, Ornn, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
5,0,"DragonGreen, DragonPurple, Sylas, Zoe",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
8,0,"DragonBlue, DragonGold, DragonGreen, Thresh",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
5,0,"Corki, DragonPurple, Illaoi",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
1,0,"AoShin, DragonGold, DragonPurple, Neeko, Shyvana",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
7,0,"DragonGold, DragonPurple, Elise, Sylas, Thresh, Twitch",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
1,0,"AoShin, DragonGold, DragonPurple, Ornn, Thresh",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
3,0,"Bard, DragonBlue, DragonPurple, Lulu, Ornn, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
8,0,"DragonGold, DragonPurple, Elise, Pyke, Sylas, Talon",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
6,0,"Braum, DragonGold, Pyke, Shyvana, Taric",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
8,0,"AoShin, DragonGold, DragonPurple, Qiyana, Sylas",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
2,0,"Bard, DragonGold, Pyke, Soraka, Talon, Thresh, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
2,0,"Bard, DragonBlue, DragonGold, DragonGreen, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
6,0,"Bard, DragonBlue, DragonGold, DragonPurple, Lulu",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
3,0,"DragonBlue, DragonPurple, Lillia, Sejuani, Sylas, Yasuo, Zoe",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
7,0,"Braum, DragonGold, DragonPurple, Illaoi, Ornn, Sylas",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
7,0,"Corki, DragonPurple, Elise, Nunu, Ornn, Ryze, Sona, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
2,0,"DragonBlue, DragonGold, DragonPurple, Ornn, Thresh",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
6,0,"DragonGold, LeeSin, Leona, Ornn, Pyke, Qiyana, Shen, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
2,0,"AoShin, Bard, DragonGold, DragonPurple, Ornn, Thresh",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
1,0,"Bard, DragonBlue, DragonGold, DragonPurple, Pyke, Thresh",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
1,0,"Bard, DragonGold, Pyke, Soraka, Talon, Thresh, Yasuo, Yone",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
8,0,"DragonBlue, DragonGreen, DragonPurple, Sylas, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
3,0,"Bard, DragonGold, DragonGreen, DragonPurple, Sylas",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
1,0,"DragonBlue, DragonPurple, Illaoi, Nunu, Ornn, Sylas",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
2,0,"Corki, DragonGold, Pyke, Sona, Soraka, Talon, Thresh, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
7,0,"Braum, DragonPurple, Leona, Pyke, Sylas, Thresh, Yasuo",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
5,0,"DragonBlue, DragonGold, DragonGreen, DragonPurple, Sylas",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
8,0,"DragonGold, Lillia, Nami, Sona, Sylas, Thresh",113,4.79646017699115,"DragonBlue, DragonGold, DragonPurple, Leona, Sylas"
