augment0,Value_Count,average_placement
TFT7_Augment_MysticTrait2,8,2.375
TFT7_Augment_TempestTrait,9,2.6666666666666665
TFT6_Augment_BinaryAirdrop,3,2.6666666666666665
TFT7_Augment_RagewingEmblem2,12,3.1666666666666665
TFT7_Augment_SacrificialPact,3,3.3333333333333335
TFT6_Augment_Windfall,6,3.3333333333333335
TFT7_Augment_RevelEmblem2,78,3.41025641025641
TFT6_Augment_Traitless1,31,3.7096774193548385
TFT7_Augment_ScalescornTrait,37,3.72972972972973
TFT7_Augment_MikaelsGift,80,3.7375
TFT6_Augment_BandOfThieves2,5,3.8
TFT7_Augment_ShapeshifterTrait2,31,3.806451612903226
TFT7_Augment_AssassinEmblem,143,3.86013986013986
TFT6_Augment_LudensEcho3,28,3.892857142857143
TFT6_Augment_TriForce2,114,3.9210526315789473
TFT7_Augment_BruiserPersonalTraining,30,3.933333333333333
TFT7_Augment_GadgetExpert,220,3.9363636363636365
TFT7_Augment_WhispersEmblem2,32,3.9375
TFT7_Augment_RagewingScorch,48,3.9791666666666665
TFT6_Augment_CyberneticUplink2,186,4.021505376344086
TFT6_Augment_Weakspot,120,4.025
TFT7_Augment_ClutteredMind,206,4.058252427184466
TFT6_Augment_Meditation2,145,4.082758620689655
TFT6_Augment_PortableForge,280,4.110714285714286
TFT7_Augment_AFK,141,4.113475177304965
TFT7_Augment_BruiserTitanicStrength,44,4.113636363636363
TFT7_Augment_DragonmancerEmblem,26,4.115384615384615
TFT7_Augment_ShapeshifterBeastsDen,73,4.123287671232877
TFT7_Augment_EvokerEmblem,48,4.125
TFT6_Augment_TriForce1,46,4.1521739130434785
TFT7_Augment_BestFriends3,37,4.162162162162162
TFT6_Augment_Traitless2,98,4.173469387755102
TFT7_Augment_ThinkFast,10,4.2
TFT6_Augment_SecondWind2,186,4.204301075268817
TFT7_Augment_JadeEmblem,47,4.212765957446808
TFT6_Augment_CyberneticShell1,108,4.222222222222222
TFT6_Augment_SalvageBin,94,4.23404255319149
TFT6_Augment_LudensEcho2,132,4.234848484848484
TFT6_Augment_SecondWind1,117,4.264957264957265
TFT6_Augment_CelestialBlessing2,157,4.267515923566879
TFT6_Augment_Featherweights2,56,4.267857142857143
TFT6_Augment_SlowAndSteady,52,4.269230769230769
TFT7_Augment_BandOfThieves1,121,4.2727272727272725
TFT6_Augment_LudensEcho1,98,4.275510204081633
TFT6_Augment_CyberneticImplants3,29,4.275862068965517
TFT6_Augment_SunfireBoard,101,4.2772277227722775
TFT7_Augment_MageTrait,61,4.278688524590164
TFT7_Augment_UrfsGrabBag1,165,4.296969696969697
TFT7_Augment_CannoneerEmblem2,23,4.304347826086956
TFT7_Augment_Preparation,49,4.3061224489795915
TFT6_Augment_Twins2,142,4.309859154929577
TFT6_Augment_CyberneticUplink1,132,4.3106060606060606
TFT6_Augment_Electrocharge2,182,4.324175824175824
TFT7_Augment_DragonmancerInspire,9,4.333333333333333
TFT7_Augment_MirageEmblem,65,4.338461538461538
TFT6_Augment_TradeSector,165,4.36969696969697
TFT6_Augment_Distancing,89,4.370786516853933
TFT6_Augment_MakeshiftArmor3,8,4.375
TFT7_Augment_AssassinEmblem2,49,4.387755102040816
