augment1_grp,Value_Count,average_placement
TFT7_Augment_ShimmerscaleSpending,1,1.0
TFT6_Augment_TriForce3,14,1.9285714285714286
TFT7_Augment_RagewingEmblem2,1,2.0
TFT7_Augment_AssassinEmblem,6,2.3333333333333335
TFT7_Augment_AssassinEmblem2,9,3.2222222222222223
TFT6_Augment_TriForce2,22,3.227272727272727
TFT7_Augment_RevelEmblem2,17,3.411764705882353
TFT7_Augment_ScalescornEmblem2,18,3.4444444444444446
TFT7_Augment_MirageEmblem,15,3.466666666666667
TFT7_Augment_EvokerEssenceTheft,2,3.5
TFT7_Augment_MirageTrait,39,3.641025641025641
TFT6_Augment_CyberneticUplink2,35,3.657142857142857
TFT6_Augment_Traitless1,10,3.7
TFT7_Augment_RevelTrait,15,3.7333333333333334
TFT7_Augment_EvokerTrait,4,3.75
TFT7_Augment_MageEmblem2,48,3.7916666666666665
TFT6_Augment_CyberneticUplink3,19,3.8421052631578947
TFT7_Augment_CursedCrown,37,3.864864864864865
TFT6_Augment_LudensEcho3,62,3.8870967741935485
TFT7_Augment_ShimmerscaleEmblem,13,3.923076923076923
TFT6_Augment_Diversify2,179,3.9497206703910615
TFT7_Augment_GuildEmblem,20,3.95
TFT6_Augment_MakeshiftArmor2,32,3.96875
TFT7_Augment_MageEmblem,53,3.981132075471698
TFT7_Augment_GuardianHeroicPresence,6,4.0
TFT7_Augment_EvokerEmblem,1,4.0
TFT7_Augment_MirageEmblem2,7,4.0
TFT7_Augment_RagewingTrait,3,4.0
TFT7_Augment_TempestEyeOfTheStorm,1,4.0
TFT7_Augment_DragonmancerEmblem,3,4.0
TFT6_Augment_Traitless3,9,4.0
TFT6_Augment_Featherweights2,31,4.0
TFT6_Augment_Distancing2,124,4.024193548387097
TFT6_Augment_BinaryAirdrop,29,4.068965517241379
TFT6_Augment_Twins3,69,4.072463768115942
TFT7_Augment_CavalierForAllUnits,28,4.107142857142857
TFT6_Augment_BlueBattery2,65,4.123076923076923
TFT7_Augment_ScalescornEmblem,54,4.12962962962963
TFT6_Augment_TriForce1,30,4.133333333333334
TFT6_Augment_Diversify1,308,4.136363636363637
TFT7_Augment_JadeTrait,13,4.153846153846154
TFT6_Augment_LudensEcho2,103,4.155339805825243
TFT6_Augment_LudensEcho1,172,4.162790697674419
TFT7_Augment_JadeEmblem,25,4.2
TFT6_Augment_Meditation1,87,4.2298850574712645
TFT6_Augment_CyberneticUplink1,59,4.237288135593221
TFT7_Augment_BestFriends2,231,4.251082251082251
TFT6_Augment_ItemGrabBag1,233,4.257510729613734
