unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",9770,4.49
TFT7_Anivia,"None, None, None",9442,4.49
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",44,2.86
TFT7_AoShin,"ArchangelsStaff, Bloodthirster, SpearOfShojin",17,2.88
TFT7_AoShin,"HextechGunblade, MageEmblemItem, SpearOfShojin",20,3.0
TFT7_AoShin,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",114,3.06
TFT7_AoShin,"MadredsBloodrazor, MageEmblemItem, SpearOfShojin",12,3.17
TFT7_Ashe,"None, None, None",9690,4.5
TFT7_Ashe,"None, None, StatikkShiv",13,5.38
TFT7_AurelionSol,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",13,4.46
TFT7_AurelionSol,"None, None, None",9728,4.49
TFT7_Bard,"ForceOfNature, None, None",12,2.58
TFT7_Bard,"None, None, Zephyr",64,2.72
TFT7_Bard,"None, None, Shroud",62,2.97
TFT7_Bard,"None, None, SeraphsEmbrace",31,3.0
TFT7_Bard,"None, None, ZekesHerald",25,3.0
TFT7_Braum,"None, None, Shroud",18,3.17
TFT7_Braum,"BrambleVest, None, None",13,3.69
TFT7_Braum,"LocketOfTheIronSolari, None, None",14,3.86
TFT7_Braum,"None, None, Zephyr",23,4.09
TFT7_Braum,"None, None, RedBuff",47,4.34
TFT7_Corki,"Deathblade, GuinsoosRageblade, UnstableConcoction",15,3.07
TFT7_Corki,"GuinsoosRageblade, MadredsBloodrazor, StatikkShiv",15,3.8
TFT7_Corki,"None, None, None",8865,4.49
TFT7_Corki,"GuinsoosRageblade, MadredsBloodrazor, UnstableConcoction",26,4.62
TFT7_Corki,"GuinsoosRageblade, InfinityEdge, MadredsBloodrazor",24,4.67
TFT7_Diana,"FrozenHeart, IonicSpark, StatikkShiv",13,2.38
TFT7_Diana,"IonicSpark, RedBuff, TitansResolve",15,2.53
TFT7_Diana,"FrozenHeart, RedBuff, StatikkShiv",13,2.77
TFT7_Diana,"FrozenHeart, IonicSpark, RabadonsDeathcap",20,2.8
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",147,3.44
TFT7_DragonBlue,"ArchangelsStaff, MadredsBloodrazor, StatikkShiv",12,3.42
TFT7_DragonBlue,"ArchangelsStaff, JeweledGauntlet, MadredsBloodrazor",13,3.69
TFT7_DragonBlue,"ArchangelsStaff, InfinityEdge, JeweledGauntlet",18,4.22
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, MadredsBloodrazor",22,4.32
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, RevelEmblemItem",23,4.35
TFT7_DragonGold,"None, None, None",9256,4.47
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, WarmogsArmor",25,4.48
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, ShimmerscaleMogulsMail",17,4.76
TFT7_DragonGold,"RedBuff, ShimmerscaleMogulsMail, WarmogsArmor",15,4.8
TFT7_DragonGold,"GargoyleStoneplate, None, RedBuff",17,5.59
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, TitansResolve",22,3.14
TFT7_DragonGreen,"Bloodthirster, MadredsBloodrazor, TitansResolve",19,3.42
TFT7_DragonGreen,"None, None, None",9293,4.5
TFT7_DragonPurple,"Bloodthirster, Quicksilver, TitansResolve",27,3.44
TFT7_DragonPurple,"AssassinEmblemItem, InfinityEdge, RapidFireCannon",12,3.5
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, TitansResolve",20,3.55
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, UnstableConcoction",12,3.83
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, MadredsBloodrazor",13,3.92
TFT7_Elise,"GuinsoosRageblade, Quicksilver, UnstableConcoction",33,3.94
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",185,3.97
TFT7_Elise,"GuinsoosRageblade, Quicksilver, RapidFireCannon",19,4.0
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, RapidFireCannon",13,4.08
TFT7_Elise,"ArchangelsStaff, GuinsoosRageblade, Quicksilver",27,4.33
TFT7_Ezreal,"InfinityEdge, JeweledGauntlet, SeraphsEmbrace",12,4.42
TFT7_Ezreal,"None, None, None",9777,4.49
TFT7_Gnar,"None, None, Shroud",26,3.85
TFT7_Gnar,"None, None, TitanicHydra",16,3.94
TFT7_Gnar,"None, None, Zephyr",19,4.05
TFT7_Gnar,"GiantsBelt, None, None",13,4.15
TFT7_Gnar,"None, None, RedBuff",16,4.5
TFT7_Hecarim,"FrozenHeart, None, None",14,3.43
TFT7_Hecarim,"None, None, WarmogsArmor",19,3.89
TFT7_Hecarim,"Morellonomicon, None, None",50,4.12
TFT7_Hecarim,"None, None, TitanicHydra",24,4.12
TFT7_Hecarim,"BrambleVest, None, None",14,4.14
TFT7_Heimerdinger,"None, None, StatikkShiv",16,3.25
TFT7_Heimerdinger,"None, None, Zephyr",47,3.4
TFT7_Heimerdinger,"None, None, Shroud",52,3.5
TFT7_Heimerdinger,"None, None, RecurveBow",18,3.56
TFT7_Heimerdinger,"ForceOfNature, None, None",15,3.67
TFT7_Illaoi,"BrambleVest, RedBuff, Redemption",12,3.58
TFT7_Illaoi,"FrozenHeart, None, None",13,3.85
TFT7_Illaoi,"GargoyleStoneplate, RedBuff, Redemption",16,4.31
TFT7_Illaoi,"DragonsClaw, GargoyleStoneplate, RedBuff",12,4.42
TFT7_Illaoi,"None, None, None",8216,4.49
TFT7_Jinx,"None, None, None",9546,4.5
TFT7_Jinx,"None, None, StatikkShiv",19,4.68
TFT7_Karma,"None, None, None",9768,4.49
TFT7_Kayn,"None, None, None",9666,4.49
TFT7_Kayn,"FrozenHeart, None, None",30,4.93
TFT7_LeeSin,"None, None, None",9657,4.49
TFT7_Leona,"None, None, None",9625,4.49
TFT7_Lillia,"IonicSpark, MadredsBloodrazor, UnstableConcoction",14,3.5
TFT7_Lillia,"ArchangelsStaff, IonicSpark, UnstableConcoction",24,3.5
TFT7_Lillia,"None, None, Shroud",24,3.58
TFT7_Lillia,"AssassinEmblemItem, None, None",31,3.58
TFT7_Lillia,"LocketOfTheIronSolari, None, None",14,3.64
TFT7_Lulu,"JadeEmblemItem, None, None",17,2.82
TFT7_Lulu,"Chalice, None, PowerGauntlet",22,3.0
TFT7_Lulu,"Chalice, None, ZekesHerald",16,3.19
TFT7_Lulu,"None, None, TitanicHydra",31,3.26
TFT7_Lulu,"None, None, Shroud",59,3.56
TFT7_Nami,"None, None, Zephyr",20,3.35
TFT7_Nami,"LocketOfTheIronSolari, None, None",26,3.69
TFT7_Nami,"None, None, RabadonsDeathcap",12,4.0
TFT7_Nami,"ArchangelsStaff, SpearOfShojin, StatikkShiv",79,4.06
TFT7_Nami,"GuinsoosRageblade, None, None",21,4.24
