augment1_grp,Value_Count,average_placement
TFT6_Augment_Traitless1,2,2.0
TFT7_Augment_AssassinEmblem2,1,2.0
TFT6_Augment_CyberneticShell3,3,2.0
TFT7_Augment_RagewingTantrum,2,2.0
TFT7_Augment_GuildEmblem,1,2.0
TFT7_Augment_GuildEmblem2,1,2.0
TFT7_Augment_MysticTrait2,2,2.0
TFT7_Augment_ShimmerscaleTrait,3,2.0
TFT7_Augment_SwiftshotTrait,1,2.0
TFT7_Augment_DragonmancerEmblem2,2,2.5
TFT7_Augment_ScalescornEmblem2,7,2.86
TFT7_Augment_CursedCrown,6,3.0
TFT7_Augment_AssassinEmblem,3,3.0
TFT7_Augment_EvokerEssenceTheft,3,3.0
TFT6_Augment_TriForce1,7,3.29
TFT7_Augment_DragonHorde,30,3.33
TFT6_Augment_CyberneticShell2,14,3.36
TFT7_Augment_ShapeshifterBeastsDen,5,3.4
TFT6_Augment_CyberneticImplants1,10,3.5
TFT7_Augment_MageConference,4,3.5
TFT6_Augment_Featherweights2,12,3.5
TFT7_Augment_EvokerTrait,7,3.57
TFT7_Augment_GuardianEmblem2,8,3.62
TFT6_Augment_Diversify3,45,3.64
TFT7_Augment_CavalierEmblem,9,3.67
TFT7_Augment_GuardianHeroicPresence,3,3.67
TFT6_Augment_CyberneticImplants3,6,3.67
TFT7_Augment_JadeEmblem,65,3.69
TFT7_Augment_MysticTrait,7,3.71
TFT7_Augment_GuardianTrait,8,3.75
TFT7_Augment_CavalierForAllUnits,12,3.75
TFT7_Augment_JadeTrait2,24,3.79
TFT7_Augment_DragonAlliance,48,3.81
TFT7_Augment_RevelPartyFavors,11,3.82
TFT7_Augment_MirageTrait,24,3.83
TFT6_Augment_Distancing,41,3.85
TFT7_Augment_UrfsGrabBag2,54,3.87
TFT6_Augment_Meditation2,32,3.91
TFT6_Augment_BinaryAirdrop,12,3.92
TFT6_Augment_Diversify2,106,3.94
TFT7_Augment_WhispersEmblem2,5,4.0
TFT6_Augment_FuturePeepers,1,4.0
TFT7_Augment_GuardianEmblem,5,4.0
TFT7_Augment_MirageEmblem2,7,4.0
TFT7_Augment_RevelPartyTime,6,4.0
TFT7_Augment_MageTrait,31,4.03
TFT7_Augment_CannoneerEmblem,18,4.06
TFT6_Augment_MaxLevel10,67,4.07
TFT6_Augment_HighEndShopping,77,4.08
TFT7_Augment_JadeEternalProtection,24,4.08
TFT7_Augment_ScalescornEmblem,11,4.09
TFT6_Augment_PandorasItems,64,4.12
TFT7_Augment_MageEmblem2,16,4.12
TFT6_Augment_Diversify1,162,4.12
TFT7_Augment_CavalierEmblem2,6,4.17
TFT7_Augment_BandOfThieves1,148,4.18
TFT6_Augment_CyberneticShell1,17,4.18
TFT6_Augment_Electrocharge1,105,4.19
TFT6_Augment_Twins3,14,4.21
TFT7_Augment_CannoneerRicochet,13,4.23
TFT7_Augment_BestFriends2,38,4.24
TFT6_Augment_LudensEcho3,29,4.24
TFT7_Augment_GadgetExpert,65,4.25
TFT7_Augment_SwiftshotPressTheAttack,4,4.25
TFT6_Augment_BlueBattery2,40,4.25
TFT6_Augment_SunfireBoard,55,4.27
TFT6_Augment_ThrillOfTheHunt2,78,4.28
TFT6_Augment_CyberneticUplink1,32,4.28
TFT7_Augment_RagewingTrait,7,4.29
TFT6_Augment_CyberneticUplink2,24,4.29
TFT6_Augment_FirstAidKit,58,4.31
TFT7_Augment_MikaelsGift,15,4.33
TFT7_Augment_LategameSpecialist,24,4.33
TFT6_Augment_Traitless2,3,4.33
TFT6_Augment_ThriftShop,23,4.35
TFT6_Augment_CelestialBlessing2,113,4.35
TFT6_Augment_Featherweights1,28,4.36
TFT7_Augment_CavalierTrait,19,4.37
TFT7_Augment_CannoneerTrait,39,4.38
TFT6_Augment_LudensEcho1,103,4.38
TFT6_Augment_Recombobulator,31,4.39
TFT6_Augment_Ascension,124,4.41
TFT6_Augment_MakeshiftArmor1,46,4.43
TFT7_Augment_RagewingScorch,7,4.43
TFT6_Augment_PortableForge,144,4.46
TFT6_Augment_RadiantRelics,69,4.46
TFT6_Augment_ComponentGrabBag,127,4.48
TFT6_Augment_TradeSectorPlus,53,4.49
TFT6_Augment_Twins2,14,4.5
TFT7_Augment_TempestEyeOfTheStorm,2,4.5
TFT7_Augment_MageEmblem,27,4.52
TFT7_Augment_UrfsGrabBag1,70,4.54
TFT6_Augment_ItemGrabBag1,112,4.54
TFT7_Augment_WarriorTrait,13,4.54
