unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",5286,4.49
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, SpearOfShojin",23,3.7
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, None",13,4.46
TFT7_Anivia,"None, None, None",4450,4.53
TFT7_Anivia,"ArchangelsStaff, None, None",23,4.78
TFT7_Anivia,"ArchangelsStaff, JeweledGauntlet, Morellonomicon",14,4.86
TFT7_AoShin,"ArchangelsStaff, MadredsBloodrazor, SpearOfShojin",12,3.75
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",22,3.95
TFT7_AoShin,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",22,4.23
TFT7_AoShin,"None, None, None",4958,4.5
TFT7_Ashe,"None, None, None",5110,4.5
TFT7_Ashe,"None, None, ZekesHerald",15,4.8
TFT7_Ashe,"None, None, StatikkShiv",20,5.0
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, JeweledGauntlet",21,2.19
TFT7_AurelionSol,"ArchangelsStaff, ArchangelsStaff, HextechGunblade",13,2.62
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, Morellonomicon",17,2.82
TFT7_AurelionSol,"InfinityEdge, JeweledGauntlet, SpearOfShojin",16,3.06
TFT7_AurelionSol,"ArchangelsStaff, Bloodthirster, Morellonomicon",12,3.33
TFT7_Bard,"GuinsoosRageblade, None, None",12,2.33
TFT7_Bard,"LastWhisper, None, None",12,2.67
TFT7_Bard,"None, None, ZekesHerald",21,3.24
TFT7_Bard,"None, None, Zephyr",28,3.25
TFT7_Bard,"None, None, PowerGauntlet",23,3.26
TFT7_Braum,"None, None, TitanicHydra",17,3.41
TFT7_Braum,"None, None, Shroud",13,4.08
TFT7_Braum,"None, None, None",4959,4.49
TFT7_Braum,"None, None, RedBuff",16,5.38
TFT7_Corki,"InfinityEdge, MadredsBloodrazor, UnstableConcoction",14,3.14
TFT7_Corki,"InfinityEdge, MadredsBloodrazor, RunaansHurricane",14,3.21
TFT7_Corki,"GuinsoosRageblade, MadredsBloodrazor, UnstableConcoction",28,3.39
TFT7_Corki,"GuinsoosRageblade, LastWhisper, UnstableConcoction",12,3.92
TFT7_Corki,"InfinityEdge, RunaansHurricane, UnstableConcoction",14,3.93
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",19,4.26
TFT7_Diana,"None, None, None",5011,4.48
TFT7_Diana,"FrozenHeart, None, None",18,5.61
TFT7_DragonBlue,"GuinsoosRageblade, InfinityEdge, JeweledGauntlet",12,3.83
TFT7_DragonBlue,"None, None, None",4896,4.52
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, ShimmerscaleMogulsMail",19,3.11
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, WarmogsArmor",27,3.85
TFT7_DragonGold,"None, None, None",4737,4.52
TFT7_DragonGold,"GargoyleStoneplate, ShimmerscaleMogulsMail, WarmogsArmor",12,4.92
TFT7_DragonGold,"GargoyleStoneplate, None, RedBuff",17,5.35
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, MadredsBloodrazor",31,3.26
TFT7_DragonGreen,"Bloodthirster, TitansResolve, UnstableConcoction",21,3.38
TFT7_DragonGreen,"GuardianAngel, MadredsBloodrazor, UnstableConcoction",19,3.47
TFT7_DragonGreen,"InfinityEdge, TitansResolve, UnstableConcoction",12,3.75
TFT7_DragonGreen,"Bloodthirster, GuinsoosRageblade, TitansResolve",13,3.85
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, TitansResolve",13,3.31
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, TitansResolve",16,3.44
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, InfinityEdge",13,4.23
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, Quicksilver",17,4.47
TFT7_DragonPurple,"None, None, None",4724,4.49
TFT7_Elise,"None, None, None",5075,4.48
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",45,5.18
TFT7_Ezreal,"None, None, None",5289,4.49
TFT7_Gnar,"None, None, Zephyr",25,3.08
TFT7_Gnar,"None, None, Redemption",12,3.25
TFT7_Gnar,"None, None, Shroud",30,3.63
TFT7_Gnar,"None, None, RedBuff",14,3.86
TFT7_Gnar,"GiantsBelt, None, None",17,3.88
TFT7_Hecarim,"MirageEmblemItem, None, None",29,4.0
TFT7_Hecarim,"None, None, None",4846,4.54
TFT7_Hecarim,"Morellonomicon, None, None",23,4.61
TFT7_Hecarim,"None, None, Shroud",15,4.93
TFT7_Heimerdinger,"None, None, Zephyr",21,2.67
TFT7_Heimerdinger,"None, None, Shroud",26,3.42
TFT7_Heimerdinger,"None, None, None",5128,4.54
TFT7_Illaoi,"None, None, Shroud",12,4.0
TFT7_Illaoi,"None, None, TitanicHydra",36,4.14
TFT7_Illaoi,"None, None, None",4640,4.53
TFT7_Illaoi,"None, None, RedBuff",13,5.31
TFT7_Illaoi,"MageEmblemItem, None, None",27,6.22
TFT7_Jinx,"None, None, None",5121,4.51
TFT7_Karma,"None, None, None",5239,4.5
TFT7_Kayn,"None, None, None",5254,4.49
TFT7_LeeSin,"None, None, None",5189,4.48
TFT7_Leona,"None, None, None",5181,4.49
TFT7_Lillia,"None, None, None",5099,4.5
TFT7_Lulu,"None, None, Redemption",13,2.31
TFT7_Lulu,"None, None, Shroud",47,3.26
TFT7_Lulu,"None, PowerGauntlet, ZekesHerald",17,3.29
TFT7_Lulu,"NegatronCloak, None, None",16,3.38
TFT7_Lulu,"None, None, Zephyr",30,3.43
TFT7_Nami,"None, None, Shroud",15,3.07
TFT7_Nami,"ArchangelsStaff, None, None",13,4.15
TFT7_Nami,"None, None, None",4610,4.54
TFT7_Nami,"None, None, StatikkShiv",62,4.63
TFT7_Nami,"ArchangelsStaff, SpearOfShojin, StatikkShiv",20,5.05
TFT7_Neeko,"GargoyleStoneplate, IonicSpark, WarmogsArmor",12,3.0
TFT7_Neeko,"GargoyleStoneplate, RedBuff, WarmogsArmor",28,3.43
TFT7_Neeko,"DragonsClaw, RedBuff, WarmogsArmor",15,3.47
TFT7_Neeko,"GargoyleStoneplate, RedBuff, Redemption",13,3.62
TFT7_Neeko,"RedBuff, Redemption, WarmogsArmor",13,3.62
TFT7_Nidalee,"None, None, None",5281,4.49
TFT7_Nunu,"None, None, None",4895,4.51
TFT7_Nunu,"None, None, RedBuff",15,5.53
TFT7_Olaf,"None, None, None",4956,4.49
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, RapidFireCannon",14,4.64
TFT7_Olaf,"Bloodthirster, Quicksilver, RunaansHurricane",15,4.93
TFT7_Olaf,"AssassinEmblemItem, InfinityEdge, RunaansHurricane",38,4.97
TFT7_Ornn,"None, None, Zephyr",12,3.17
TFT7_Ornn,"IonicSpark, None, None",14,4.07
TFT7_Ornn,"Morellonomicon, None, None",25,4.08
TFT7_Ornn,"None, None, Shroud",21,4.1
TFT7_Ornn,"None, None, TitanicHydra",34,4.12
TFT7_Pyke,"None, None, None",5020,4.55
TFT7_Qiyana,"None, None, None",5182,4.49
TFT7_Qiyana,"FrozenHeart, None, None",17,4.59
TFT7_Ryze,"None, None, None",5056,4.46
TFT7_Ryze,"ArchangelsStaff, HextechGunblade, SpearOfShojin",22,5.45
TFT7_Sejuani,"None, None, Zephyr",12,3.42
TFT7_Sejuani,"None, None, TitanicHydra",16,3.5
TFT7_Sejuani,"None, None, Shroud",14,4.21
TFT7_Sejuani,"MirageEmblemItem, None, None",13,4.38
TFT7_Sejuani,"None, None, None",5172,4.51
TFT7_Senna,"None, None, None",5288,4.5
TFT7_Sett,"None, None, None",5235,4.49
TFT7_Sett,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",12,5.08
TFT7_Sett,"Deathblade, GuinsoosRageblade, Quicksilver",16,5.44
TFT7_Shen,"None, None, Shroud",16,4.44
TFT7_Shen,"None, None, None",4995,4.49
TFT7_Shen,"None, None, RedBuff",15,4.6
TFT7_Shen,"None, None, TitanicHydra",16,4.81
TFT7_Shen,"LocketOfTheIronSolari, None, None",17,5.59
TFT7_Shyvana,"None, None, None",4962,4.56
TFT7_Skarner,"None, None, None",5287,4.5
TFT7_Sona,"None, None, SpearOfShojin",28,4.25
TFT7_Sona,"None, None, StatikkShiv",23,4.3
TFT7_Sona,"Morellonomicon, None, SpearOfShojin",14,4.57
TFT7_Sona,"None, None, None",4418,4.58
TFT7_Sona,"Morellonomicon, None, None",59,4.71
TFT7_Soraka,"None, None, RabadonsDeathcap",12,3.08
TFT7_Soraka,"Chalice, None, None",13,3.08
TFT7_Soraka,"ArchangelsStaff, None, None",20,3.1
TFT7_Soraka,"None, None, Zephyr",19,3.68
TFT7_Soraka,"NeedlesslyLargeRod, None, None",17,3.94
TFT7_Swain,"GuinsoosRageblade, MadredsBloodrazor, StatikkShiv",12,3.5
