comp,value_count,average_placement,group,grp_count,grp_placement
"Hecarim, Neeko, Sejuani, Shen, Shyvana, Talon, Twitch, Xayah",1,1.0,0,977,4.713731837538063
"Ashe, DragonPurple, Gnar, Neeko, Sylas, Twitch, Yasuo",1,1.0,1,1,1.0
"DragonPurple, Ornn, Pyke, Qiyana, Ryze, Shen, Sylas, Zoe",1,1.0,2,11,4.090909090909091
"AoShin, Bard, Neeko, Ornn, Pyke, Shen, Soraka, Yasuo",1,1.0,3,19,3.0833333333333335
"Bard, Hecarim, Ornn, Qiyana, Sejuani, Shen, Soraka, Talon, Twitch, Xayah",1,1.0,4,1193,3.536269609823293
"AoShin, Bard, DragonBlue, DragonGold, Ornn, Shen",1,1.0,5,1,1.0
"AoShin, Bard, Hecarim, Neeko, Ornn, Sejuani, Sylas, Yasuo",1,1.0,6,1,1.0
"Bard, Hecarim, Ornn, Qiyana, Ryze, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,4,1193,3.536269609823293
"AoShin, Bard, Hecarim, Nunu, Ornn, Sejuani, Soraka, Yasuo",1,1.0,7,6,2.0
"AoShin, Bard, Hecarim, Nunu, Ornn, Shen, Soraka, Yasuo",1,1.0,7,6,2.0
"AoShin, Bard, Hecarim, Kayn, Soraka, Volibear, Xayah, Yasuo, Zoe",1,1.0,8,1,1.0
"AoShin, Bard, Hecarim, Ornn, Sylas, Yasuo, Zoe",1,1.0,9,7,3.5714285714285716
"Ashe, Ezreal, Gnar, Karma, LeeSin, Leona, Neeko, Soraka, Taric",1,1.0,10,759,4.657793240418274
"AoShin, Bard, Hecarim, Lulu, Ornn, Sejuani, Soraka, Yasuo",1,1.0,7,6,2.0
"Bard, Hecarim, Ornn, Qiyana, Shen, Soraka, Talon, Twitch, Xayah, Yasuo",1,1.0,4,1193,3.536269609823293
"Ashe, Ezreal, Karma, LeeSin, Leona, Swain, Taric, Volibear, Yasuo",1,1.0,10,759,4.657793240418274
"Bard, Hecarim, Ornn, Pyke, Sejuani, Shen, Shyvana, Talon, Twitch, Xayah",1,1.0,4,1193,3.536269609823293
"Ashe, Ezreal, Karma, LeeSin, Leona, Neeko, Sett, Taric, Yasuo",1,1.0,10,759,4.657793240418274
"Bard, Hecarim, Ornn, Pyke, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,4,1193,3.536269609823293
"Bard, Hecarim, Ornn, Pyke, Qiyana, Sejuani, Shen, Twitch, Xayah, Yasuo",1,1.0,4,1193,3.536269609823293
"Bard, Hecarim, Ornn, Pyke, Qiyana, Shen, Xayah, Yasuo, Zoe",1,1.0,11,1,1.0
"DragonPurple, Ornn, Pyke, Qiyana, Talon, Twitch, Xayah, Yasuo",1,1.0,12,190,3.9604078264969353
"Bard, Hecarim, LeeSin, Ornn, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,4,1193,3.536269609823293
"DragonPurple, Ornn, Pyke, Sona, Sylas, Thresh, Volibear",1,1.0,13,1,1.0
"Bard, Hecarim, Heimerdinger, Ornn, Qiyana, Sejuani, Shen, Talon, Twitch, Xayah, Yasuo",1,1.0,4,1193,3.536269609823293
"Bard, Hecarim, Lulu, Ornn, Sejuani, Shen, Talon, Twitch, Xayah",1,1.0,4,1193,3.536269609823293
"Ashe, DragonPurple, Gnar, LeeSin, Neeko, Ornn, Thresh, Yasuo",1,1.0,14,5,2.8
"AoShin, Bard, Neeko, Ornn, Pyke, Talon, Yasuo, Zoe",1,1.0,15,35,3.6666666666666665
"Bard, Hecarim, Ornn, Shen, Shyvana, Twitch, Xayah, Yasuo",1,1.0,4,1193,3.536269609823293
"Ashe, DragonPurple, Ezreal, Illaoi, Ornn, Sylas, Varus",1,1.0,16,1,1.0
"Bard, Hecarim, Illaoi, Nami, Pyke, Skarner, Soraka, Varus, Vladimir",1,1.0,17,1,1.0
"Anivia, Bard, DragonGreen, Gnar, Neeko, Nidalee, Skarner",1,1.0,18,1288,4.451359161763066
"AoShin, AurelionSol, Bard, DragonPurple, Nidalee, Soraka",1,1.0,19,1,1.0
"Anivia, Bard, DragonGreen, Gnar, Karma, Neeko, Soraka, Yasuo",1,1.0,18,1288,4.451359161763066
"AoShin, Bard, DragonGreen, Lulu, Ornn, Shen, Yasuo",1,1.0,20,1,1.0
"Ashe, Elise, Gnar, Neeko, Shyvana, Soraka, Swain, Xayah",1,1.0,10,759,4.657793240418274
"Ashe, Elise, Gnar, Neeko, Sett, Shyvana, Swain, Xayah",2,1.0,10,759,4.657793240418274
"Ashe, Elise, Gnar, Neeko, Sett, Shyvana, Swain",1,1.0,10,759,4.657793240418274
"AoShin, Bard, DragonGreen, DragonPurple, Neeko, Ornn, Yasuo",1,1.0,21,2,1.0
"Bard, Hecarim, Nunu, Pyke, Sejuani, Talon, Twitch, Yasuo",1,1.0,22,26,4.0
