augment2,Value_Count,average_placement
TFT6_Augment_Traitless3,3,2.0
TFT6_Augment_Traitless2,11,2.5454545454545454
TFT6_Augment_Traitless1,4,3.0
TFT7_Augment_ScalescornEmblem,57,3.2280701754385963
TFT6_Augment_Featherweights3,4,3.5
TFT6_Augment_TheGoldenEgg,113,3.690265486725664
TFT7_Augment_GuildTrait,24,3.7083333333333335
TFT7_Augment_MageEmblem2,74,3.7432432432432434
TFT7_Augment_WarriorEmblem2,8,3.875
TFT6_Augment_CyberneticUplink1,75,3.8933333333333335
TFT7_Augment_ShapeshifterTrait,17,3.9411764705882355
TFT7_Augment_SwiftshotTrait,6,4.0
TFT7_Augment_TempestEyeOfTheStorm,22,4.0
TFT7_Augment_TempestTrait,5,4.0
TFT7_Augment_BruiserTitanicStrength,110,4.009090909090909
TFT7_Augment_ShapeshifterBeastsDen,87,4.011494252873563
TFT6_Augment_Distancing2,361,4.019390581717452
TFT7_Augment_AssassinEmblem,111,4.063063063063063
TFT6_Augment_Diversify2,1007,4.069513406156902
TFT7_Augment_MysticTrait2,27,4.074074074074074
TFT6_Augment_Meditation1,70,4.085714285714285
TFT6_Augment_Diversify1,176,4.090909090909091
TFT7_Augment_GuardianTrait,10,4.1
TFT7_Augment_JadeEmblem,10,4.1
TFT7_Augment_AssassinEmblem2,35,4.114285714285714
TFT7_Augment_AssassinCutthroat,66,4.121212121212121
TFT7_Augment_MirageHallucinate,70,4.128571428571429
TFT6_Augment_CelestialBlessing3,218,4.13302752293578
TFT7_Augment_BestFriends3,206,4.145631067961165
TFT7_Augment_BigFriend2,187,4.18716577540107
TFT7_Augment_GuildEmblem,176,4.204545454545454
TFT6_Augment_Diversify3,222,4.211711711711712
TFT6_Augment_HighEndShopping,124,4.217741935483871
TFT7_Augment_EvokerEssenceTheft,18,4.222222222222222
TFT6_Augment_VerdantVeil,139,4.251798561151079
TFT6_Augment_CyberneticUplink2,479,4.258872651356993
TFT7_Augment_RevelPartyFavors,99,4.262626262626263
TFT7_Augment_SwiftshotPressTheAttack,255,4.2745098039215685
TFT7_Augment_RevelEmblem2,34,4.294117647058823
TFT7_Augment_ScalescornEmblem2,10,4.3
TFT7_Augment_RagewingEmblem2,10,4.3
TFT7_Augment_BestFriends2,935,4.306951871657754
TFT6_Augment_Meditation2,387,4.30749354005168
TFT7_Augment_MysticTrait,35,4.314285714285714
TFT7_Augment_RagewingScorch,112,4.321428571428571
TFT6_Augment_CyberneticShell1,72,4.333333333333333
TFT7_Augment_WarriorTrait,9,4.333333333333333
TFT7_Augment_MageEmblem,261,4.340996168582375
TFT7_Augment_JadeEternalProtection,40,4.35
TFT6_Augment_Distancing3,62,4.354838709677419
TFT6_Augment_CyberneticShell2,416,4.365384615384615
TFT7_Augment_JadeTrait,62,4.370967741935484
TFT7_Augment_GadgetExpert,517,4.373307543520309
TFT6_Augment_SecondWind1,160,4.3875
TFT6_Augment_CelestialBlessing2,980,4.389795918367347
TFT7_Augment_AssassinTrait,23,4.391304347826087
TFT6_Augment_BandOfThieves2,76,4.394736842105263
TFT6_Augment_CyberneticImplants2,438,4.399543378995434
TFT6_Augment_Weakspot,204,4.401960784313726
TFT6_Augment_ThrillOfTheHunt2,756,4.406084656084656
TFT7_Augment_MikaelsGift,180,4.411111111111111
TFT7_Augment_JadeTrait2,17,4.411764705882353
TFT7_Augment_MageTrait,46,4.413043478260869
TFT7_Augment_TempestEmblem,24,4.416666666666667
TFT6_Augment_CelestialBlessing1,129,4.426356589147287
TFT7_Augment_CannoneerEmblem2,37,4.4324324324324325
TFT6_Augment_FirstAidKit,53,4.433962264150943
TFT6_Augment_SunfireBoard,461,4.438177874186551
TFT7_Augment_BandOfThieves1,95,4.463157894736842
TFT7_Augment_CavalierForAllUnits,30,4.466666666666667
TFT6_Augment_Distancing,51,4.470588235294118
TFT7_Augment_FirstAidKit2,306,4.477124183006536
TFT7_Augment_ThinkFast,210,4.485714285714286
TFT7_Augment_GuildEmblem2,47,4.48936170212766
TFT6_Augment_CyberneticImplants1,61,4.491803278688525
TFT6_Augment_PortableForge,1096,4.499087591240876
TFT7_Augment_WhispersEmblem2,26,4.5
TFT6_Augment_TriForce2,8,4.5
TFT7_Augment_CavalierEmblem,161,4.515527950310559
TFT6_Augment_PandorasItems,93,4.516129032258065
TFT7_Augment_ShapeshifterTrait2,19,4.526315789473684
TFT6_Augment_FuturePeepers2,41,4.536585365853658
TFT6_Augment_SecondWind2,1003,4.537387836490528
TFT7_Augment_CavalierDevastatingCharge,39,4.538461538461538
TFT6_Augment_Meditation3,74,4.54054054054054
TFT6_Augment_MaxLevel10,116,4.560344827586207
TFT7_Augment_MirageTrait,16,4.5625
TFT6_Augment_Ascension,932,4.568669527896995
TFT7_Augment_SwiftshotEmblem2,28,4.571428571428571
TFT7_Augment_BruiserEmblem,99,4.575757575757576
TFT7_Augment_WarriorTiamat,33,4.575757575757576
TFT6_Augment_JeweledLotus,408,4.580882352941177
TFT7_Augment_BruiserEmblem2,12,4.583333333333333
TFT6_Augment_BlueBattery2,335,4.585074626865672
TFT6_Augment_ComponentGrabBag,967,4.589451913133402
TFT6_Augment_CyberneticShell3,89,4.595505617977528
TFT7_Augment_DragonmancerEmblem2,10,4.6
TFT7_Augment_UrfsGrabBag2,165,4.6
TFT7_Augment_CavalierEmblem2,31,4.612903225806452
TFT7_Augment_CannoneerTrait,26,4.615384615384615
TFT6_Augment_ThrillOfTheHunt1,120,4.616666666666666
