comp,value_count,average_placement,group,grp_count,grp_placement
"DragonPurple, Illaoi, Ornn, Pyke, Qiyana, Sylas, Talon, Yasuo",1,1.0,0,552,4.334967419237709
"DragonPurple, Ezreal, Illaoi, Ornn, Sylas, Varus, Yasuo, Zoe",1,1.0,1,3,2.3333333333333335
"Hecarim, Neeko, Sejuani, Shen, Shyvana, Xayah, Yasuo",1,1.0,2,5,3.0
"Diana, DragonPurple, Ornn, Pyke, Shen, Sylas, Talon, Thresh",1,1.0,3,1106,4.330442210458858
"AoShin, Bard, Heimerdinger, Illaoi, Lulu, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,4,2517,4.4410075294515465
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Vladimir, Zoe",1,1.0,5,3028,3.5136094389641306
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,5,3028,3.5136094389641306
"Bard, Nunu, Olaf, Sejuani, Shen, Talon, Twitch, Yasuo, Yone",1,1.0,6,1,1.0
"Bard, Nunu, Sejuani, Twitch, Varus, Yasuo",1,1.0,7,1,1.0
"Bard, Neeko, Pyke, Ryze, Sejuani, Shyvana, Soraka, Talon, Twitch, Xayah",1,1.0,8,1510,3.5462744438557023
"Hecarim, Nami, Neeko, Ornn, Sona, Soraka, Thresh, Varus, Zoe",1,1.0,9,1,1.0
"Bard, Gnar, Lulu, Neeko, Nidalee, Shyvana, Soraka, Yasuo",1,1.0,5,3028,3.5136094389641306
"Bard, Gnar, Lulu, Nami, Neeko, Nidalee, Shyvana, Soraka",1,1.0,5,3028,3.5136094389641306
"Bard, Gnar, LeeSin, Neeko, Shyvana, Soraka, Swain, Yasuo",1,1.0,5,3028,3.5136094389641306
"Hecarim, Illaoi, Lulu, Nami, Shen, Twitch, Varus, Xayah",1,1.0,10,1,1.0
"Bard, Gnar, Hecarim, Neeko, Shen, Shyvana, Soraka, Swain",1,1.0,8,1510,3.5462744438557023
"Bard, Heimerdinger, Lulu, Ryze, Sejuani, Talon, TrainerDragon, Twitch, Zoe",1,1.0,11,1,1.0
"Bard, Gnar, Neeko, Nidalee, Shyvana, Soraka, Swain, Xayah",1,1.0,12,1,1.0
"DragonPurple, Elise, Neeko, Soraka, Sylas, Thresh, Yasuo",1,1.0,13,537,4.605094073284372
"Hecarim, Illaoi, Ornn, Shen, Sylas, Talon, Twitch, Varus, Xayah",1,1.0,14,1963,5.259440123802412
"Bard, Heimerdinger, Lulu, Nami, Ornn, Ryze, Soraka, Sylas, TrainerDragon, Vladimir",1,1.0,5,3028,3.5136094389641306
"Bard, Heimerdinger, Lulu, Neeko, Ornn, Shyvana, Sylas, TrainerDragon, Zoe",1,1.0,5,3028,3.5136094389641306
"Bard, DragonBlue, DragonGreen, DragonPurple, Leona, Pyke",1,1.0,15,1,1.0
"Diana, DragonPurple, Ornn, Qiyana, Soraka, Talon, Thresh",1,1.0,3,1106,4.330442210458858
"Bard, DragonBlue, Leona, Nunu, Sejuani, Yasuo, Yone, Zoe",1,1.0,16,17,2.7058823529411766
"Hecarim, Nunu, Ornn, Qiyana, Sejuani, Shen, Talon, Twitch, Xayah, Yasuo",2,1.0,14,1963,5.259440123802412
"DragonPurple, Ezreal, Ornn, Pyke, Talon, Twitch, Xayah, Yasuo",1,1.0,17,1,1.0
"Diana, DragonPurple, Kayn, Pyke, Qiyana, Sylas, Talon, Yasuo",1,1.0,3,1106,4.330442210458858
"DragonPurple, Elise, Gnar, Leona, Neeko, Swain, Sylas, Thresh",1,1.0,13,537,4.605094073284372
"Bard, Heimerdinger, Lillia, Lulu, Nami, Ryze, Sylas, TrainerDragon, Yasuo, Zoe",1,1.0,5,3028,3.5136094389641306
"Diana, DragonPurple, Kayn, Pyke, Qiyana, Sylas, Talon, Thresh",1,1.0,3,1106,4.330442210458858
"Bard, Heimerdinger, Lillia, Lulu, Sejuani, Sylas, TrainerDragon, Tristana, Zoe",1,1.0,5,3028,3.5136094389641306
"AoShin, Bard, Heimerdinger, Lillia, Lulu, Nami, Ornn, Sylas, TrainerDragon",2,1.0,4,2517,4.4410075294515465
"Hecarim, Neeko, Ornn, Sona, Soraka, Talon, Xayah, Yasuo",1,1.0,18,3,3.0
"AoShin, Bard, Heimerdinger, Lillia, Lulu, Nami, Ornn, Ryze, Sylas, TrainerDragon, Vladimir",1,1.0,4,2517,4.4410075294515465
"Bard, Heimerdinger, Lillia, Lulu, Ryze, Sejuani, Sylas, TrainerDragon, Zoe",1,1.0,5,3028,3.5136094389641306
"Bard, DragonBlue, Nunu, Ryze, Sejuani, Talon, Twitch, Yasuo",1,1.0,8,1510,3.5462744438557023
"Hecarim, Neeko, Ornn, Shen, Shyvana, Talon, Twitch, Xayah",1,1.0,14,1963,5.259440123802412
"Bard, Heimerdinger, Lulu, Nami, Ryze, Sona, Soraka, Sylas, TrainerDragon, Yasuo",1,1.0,5,3028,3.5136094389641306
"Hecarim, Neeko, Shen, Shyvana, Sylas, Twitch, Xayah, Zoe",1,1.0,19,2,1.5
"Hecarim, Neeko, Shen, Shyvana, Xayah, Yasuo",1,1.0,2,5,3.0
"AoShin, Bard, Heimerdinger, Nami, Ornn, Ryze, Sylas, Zoe",2,1.0,20,222,2.842336152219873
"Bard, DragonBlue, Gnar, Hecarim, Neeko, Nunu, Soraka, Zoe",1,1.0,21,1,1.0
