placement,group,comp,grp_count,grp_placement,mode
7,18,"AurelionSol, Heimerdinger, Lulu, Nami, Ornn, Sylas, TrainerDragon, Vladimir",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"Bard, DragonBlue, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AoShin, Heimerdinger, Lulu, Nami, Sona, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AurelionSol, Bard, Heimerdinger, Lulu, Neeko, Ornn, Sylas, TrainerDragon",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AoShin, Heimerdinger, Lulu, Nami, Shen, Sona, Sylas, TrainerDragon",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Soraka, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
6,18,"AoShin, Heimerdinger, Lulu, Nami, Ornn, Sona, Sylas, TrainerDragon",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AoShin, Bard, Heimerdinger, Lulu, Pyke, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"Heimerdinger, Lulu, Ornn, Qiyana, Ryze, Sona, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"DragonGold, Heimerdinger, Lulu, Ryze, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"DragonGreen, Heimerdinger, Lulu, Ornn, Shen, Sylas, TahmKench, TrainerDragon",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"AoShin, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"Heimerdinger, Lulu, Ornn, Qiyana, Ryze, Sona, Soraka, Sylas, TrainerDragon, Vladimir",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AoShin, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"Bard, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Yasuo, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"Aatrox, DragonGold, Heimerdinger, Lulu, Ryze, TrainerDragon, Yasuo, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"AoShin, Heimerdinger, Lulu, Sona, Soraka, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"AoShin, Heimerdinger, Illaoi, Lulu, Nami, Ornn, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"AoShin, LeeSin, Lulu, Ryze, Sylas, TrainerDragon, Tristana, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
8,18,"AoShin, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Vladimir",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
7,18,"AoShin, Heimerdinger, Lulu, Ornn, Sona, Sylas, TrainerDragon, Zoe",1193,3.293378039,"AoShin, Bard, Heimerdinger, Lulu, Ornn, Sylas, TrainerDragon, Zoe"
