placement,group,comp,grp_count,grp_placement,mode
8,-1,"Corki, Jinx, Lulu, Senna, Shen, Sona, TahmKench",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Ashe, Corki, DragonGreen, Gnar, Karma, Neeko, Soraka",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"AoShin, Braum, Hecarim, Ornn, Sejuani, Soraka, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Aatrox, Diana, Hecarim, Kayn, Lillia, Nunu, Sejuani, Shen",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Bard, Corki, Hecarim, Jinx, Sejuani, Sona, TahmKench, Talon, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Braum, Hecarim, Lillia, Nunu, Sejuani, Yasuo, Yone",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Ezreal, Hecarim, Ornn, Sejuani, Shen, Talon, Xayah, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Braum, Hecarim, Lillia, Olaf, Shen, Twitch, Xayah",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"DragonBlue, Leona, Lulu, Nunu, Ornn, Sylas, Yone",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Neeko, Shen, Shyvana, Swain, Sylas, Twitch, Xayah",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Anivia, Ashe, Illaoi, Karma, LeeSin, Ornn, Swain, Volibear",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Braum, Diana, Hecarim, Lillia, Olaf, Shen, Yasuo, Yone",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Bard, DragonPurple, Hecarim, Sejuani, Shen, Talon, Xayah",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Anivia, DragonGreen, Gnar, Neeko, Ornn, Qiyana, Talon",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Aatrox, Braum, Leona, Lillia, Nunu, Olaf, Shen, Yasuo, Yone",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Diana, Hecarim, Lillia, Nunu, Ryze, Sylas, Talon, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"DragonGold, Heimerdinger, Lulu, Ryze, Sona, Sylas, TrainerDragon, Zoe",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"DragonBlue, Gnar, Neeko, Ornn, Soraka, Sylas, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"DragonPurple, Heimerdinger, Lulu, Olaf, Ornn, Ryze, Sylas, TrainerDragon",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Corki, Jinx, LeeSin, Lulu, Ornn, Sona, TahmKench, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"AoShin, Bard, Lulu, Neeko, Ornn, Soraka, Sylas, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Hecarim, Olaf, Ornn, Qiyana, Shen, Talon, Twitch, Xayah",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Ashe, DragonGold, Karma, LeeSin, Sett, Taric, Volibear",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Bard, Heimerdinger, Lulu, Pyke, Ryze, Sylas, Talon, TrainerDragon, Tristana",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Braum, Diana, Lillia, Olaf, Ornn, Qiyana, Shen, Soraka",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Hecarim, Neeko, Sejuani, Shyvana, Swain, Twitch, Xayah",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Elise, Gnar, Neeko, Nidalee, Shen, Sylas, Taric",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Diana, Hecarim, Ornn, Pyke, Qiyana, Shen, Talon, Xayah",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"DragonGold, Hecarim, Kayn, Talon, Twitch, Volibear, Xayah, Zoe",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"AoShin, Gnar, Neeko, Ornn, Ryze, Sylas, Zoe",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Ashe, Diana, Elise, Gnar, Hecarim, Neeko, Sett, Swain",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Bard, Diana, Olaf, Pyke, Qiyana, Talon, Twitch, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Bard, Corki, DragonPurple, Ornn, Shen, Sona, TahmKench",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Aatrox, Braum, DragonGold, Kayn, Leona, Thresh, Volibear, Zoe",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"AoShin, Hecarim, Karma, LeeSin, Neeko, Shen, Swain",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Corki, DragonGold, Heimerdinger, Lulu, Sona, Thresh, TrainerDragon, Twitch, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Bard, Gnar, LeeSin, Neeko, Sejuani, Talon, Twitch, Xayah",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"AoShin, Bard, Lulu, Ornn, Shen, Sylas, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"Ashe, Elise, Gnar, Neeko, Shyvana, Soraka, Swain, Thresh, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"DragonBlue, DragonGold, Heimerdinger, Lulu, Nami, Sylas, TrainerDragon",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
5,-1,"DragonBlue, Hecarim, Lillia, Nunu, Pyke, Talon, Yasuo",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
2,-1,"Corki, Diana, Hecarim, Neeko",,4.984764749813293,"Bard, DragonPurple, Ornn, Pyke, Qiyana, Shen, Yasuo"
