unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",23136,4.495634508990318
TFT7_Aatrox,"None, None, ShimmerscaleDeterminedInvestor",13,7.230769230769231
TFT7_Anivia,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",13,3.6923076923076925
TFT7_Anivia,"Morellonomicon, None, None",14,4.285714285714286
TFT7_Anivia,"None, None, None",22536,4.495518281860135
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, SpearOfShojin",12,4.75
TFT7_Anivia,"None, None, StatikkShiv",20,4.85
TFT7_AoShin,"ArchangelsStaff, SpearOfShojin, SpearOfShojin",16,2.3125
TFT7_AoShin,"ArchangelsStaff, GuardianAngel, SpearOfShojin",21,2.380952380952381
TFT7_AoShin,"JeweledGauntlet, MadredsBloodrazor, SpearOfShojin",26,2.769230769230769
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",62,2.870967741935484
TFT7_AoShin,"HextechGunblade, RabadonsDeathcap, SpearOfShojin",27,2.962962962962963
TFT7_Ashe,"None, None, Zephyr",26,3.230769230769231
TFT7_Ashe,"Morellonomicon, None, None",14,3.5
TFT7_Ashe,"None, None, StatikkShiv",33,4.454545454545454
TFT7_Ashe,"None, None, None",22875,4.50351912568306
TFT7_Ashe,"None, None, RagewingEmblemItem",17,4.588235294117647
TFT7_AurelionSol,"HextechGunblade, MageEmblemItem, SpearOfShojin",14,4.071428571428571
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, MageEmblemItem",14,4.357142857142857
TFT7_AurelionSol,"None, None, None",22959,4.500326669280021
TFT7_AurelionSol,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",17,4.764705882352941
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, SpearOfShojin",12,4.833333333333333
TFT7_Bard,"InfinityEdge, None, None",13,2.4615384615384617
TFT7_Bard,"LastWhisper, None, None",17,2.6470588235294117
TFT7_Bard,"FrozenHeart, None, None",15,2.7333333333333334
TFT7_Bard,"EvokerEmblemItem, None, None",15,2.7333333333333334
TFT7_Bard,"None, None, ShimmerscaleEmblemItem",16,2.75
TFT7_Braum,"IonicSpark, None, None",21,3.4285714285714284
TFT7_Braum,"DragonsClaw, RedBuff, WarmogsArmor",14,3.4285714285714284
TFT7_Braum,"GargoyleStoneplate, RedBuff, WarmogsArmor",22,3.727272727272727
TFT7_Braum,"None, None, Zephyr",40,3.775
TFT7_Braum,"None, None, TitanicHydra",104,4.028846153846154
TFT7_Corki,"InfinityEdge, RunaansHurricane, UnstableConcoction",15,3.2666666666666666
TFT7_Corki,"GuinsoosRageblade, InfinityEdge, RunaansHurricane",28,3.6785714285714284
TFT7_Corki,"None, None, StatikkShiv",15,3.7333333333333334
TFT7_Corki,"MadredsBloodrazor, RunaansHurricane, UnstableConcoction",16,3.75
TFT7_Corki,"GuinsoosRageblade, LastWhisper, RunaansHurricane",15,3.8
TFT7_Diana,"FrozenHeart, IonicSpark, MadredsBloodrazor",26,2.730769230769231
TFT7_Diana,"FrozenHeart, IonicSpark, RabadonsDeathcap",27,2.7777777777777777
TFT7_Diana,"FrozenHeart, IonicSpark, IonicSpark",19,2.8421052631578947
TFT7_Diana,"ArchangelsStaff, FrozenHeart, IonicSpark",31,2.967741935483871
TFT7_Diana,"FrozenHeart, IonicSpark, StatikkShiv",17,3.1176470588235294
TFT7_DragonBlue,"Quicksilver, RevelEmblemItem, StatikkShiv",22,3.3181818181818183
TFT7_DragonBlue,"GuinsoosRageblade, MadredsBloodrazor, UnstableConcoction",13,3.4615384615384617
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, HextechGunblade",12,3.5833333333333335
TFT7_DragonBlue,"InfinityEdge, JeweledGauntlet, UnstableConcoction",30,3.6666666666666665
TFT7_DragonBlue,"GuinsoosRageblade, RevelEmblemItem, StatikkShiv",47,3.6808510638297873
TFT7_DragonGold,"BrambleVest, GargoyleStoneplate, RedBuff",14,3.2857142857142856
TFT7_DragonGold,"DragonsClaw, RedBuff, Redemption",12,3.3333333333333335
TFT7_DragonGold,"BrambleVest, RedBuff, ShimmerscaleMogulsMail",12,3.5833333333333335
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, Redemption",25,3.6
TFT7_DragonGold,"BrambleVest, DragonsClaw, RedBuff",18,4.166666666666667
