augment0_grp,Value_Count,average_placement
TFT7_Augment_GuildLootHR,3,3.33
TFT7_Augment_RevelEmblem2,137,3.45
TFT7_Augment_MageConferenceHR,4,3.5
TFT7_Augment_BruiserEmblem2,19,3.63
TFT7_Augment_JadeTrait2,29,3.69
TFT6_Augment_TriForce1,108,3.77
TFT7_Augment_AssassinEmblem2,128,3.88
TFT7_Augment_CursedCrown,45,3.93
TFT7_Augment_ShapeshifterBeastsDen,176,3.95
TFT6_Augment_PortableForge,563,3.97
TFT7_Augment_GadgetExpert,481,3.97
TFT7_Augment_ScalescornEmblem2,91,3.98
TFT6_Augment_SlowAndSteady,120,4.03
TFT7_Augment_MageConference,308,4.04
TFT7_Augment_BestFriends2,415,4.05
TFT6_Augment_Traitless3,64,4.06
TFT6_Augment_TriForce2,257,4.09
TFT7_Augment_AssassinEmblem,302,4.09
TFT7_Augment_MageTrait,155,4.09
TFT7_Augment_MysticTrait,151,4.11
TFT7_Augment_CannoneerEmblem2,45,4.13
TFT7_Augment_BandOfThieves1,239,4.13
TFT6_Augment_CyberneticUplink2,368,4.15
TFT6_Augment_LudensEcho1,205,4.15
TFT7_Augment_MageEmblem2,101,4.16
TFT7_Augment_CavalierEmblem2,121,4.18
TFT6_Augment_Meditation1,173,4.19
TFT7_Augment_ThinkFast,24,4.21
TFT6_Augment_Electrocharge1,231,4.22
TFT6_Augment_Twins2,269,4.23
TFT6_Augment_Twins1,118,4.27
TFT6_Augment_Meditation3,59,4.27
TFT7_Augment_AFK,400,4.32
TFT7_Augment_LivingForge,104,4.32
TFT6_Augment_MetabolicAccelerator,254,4.32
TFT7_Augment_MikaelsGift,157,4.33
TFT7_Augment_JadeEmblem,82,4.33
TFT6_Augment_Traitless2,199,4.33
TFT7_Augment_BestFriends3,85,4.33
TFT6_Augment_Electrocharge2,365,4.34
TFT6_Augment_CelestialBlessing1,180,4.34
TFT7_Augment_EvokerTrait,67,4.34
TFT6_Augment_LudensEcho2,262,4.35
TFT6_Augment_ItemGrabBag1,234,4.35
TFT6_Augment_Meditation2,277,4.36
TFT7_Augment_SwiftshotPressTheAttack,162,4.36
TFT7_Augment_ScalescornTrait,103,4.36
TFT7_Augment_ScalescornEmblem,228,4.36
TFT6_Augment_CyberneticUplink1,220,4.38
TFT6_Augment_CyberneticUplink3,87,4.39
TFT6_Augment_CyberneticShell1,191,4.39
TFT7_Augment_MirageHallucinate,45,4.4
TFT6_Augment_SecondWind2,347,4.41
TFT6_Augment_CyberneticImplants2,323,4.41
TFT6_Augment_CyberneticShell2,302,4.41
TFT6_Augment_ForceOfNature,71,4.41
TFT6_Augment_SalvageBin,224,4.43
TFT6_Augment_Distancing2,270,4.43
TFT7_Augment_Preparation2,115,4.43
TFT6_Augment_TradeSector,427,4.43
TFT7_Augment_CannoneerTrait,120,4.47
TFT6_Augment_CalculatedLoss,334,4.47
TFT7_Augment_WarriorEmblem,47,4.47
TFT7_Augment_ClutteredMind,398,4.48
TFT7_Augment_MirageTrait,78,4.5
TFT7_Augment_BestFriends1,243,4.51
TFT6_Augment_LudensEcho3,66,4.52
TFT7_Augment_ShapeshifterTrait2,69,4.52
TFT6_Augment_ThrillOfTheHunt2,321,4.53
TFT6_Augment_CelestialBlessing2,390,4.53
TFT7_Augment_SwiftshotEmblem2,61,4.54
TFT6_Augment_PandorasItems,231,4.54
TFT7_Augment_WhispersEmblem2,71,4.54
TFT7_Augment_CavalierEmblem,220,4.55
TFT6_Augment_Weakspot,290,4.55
TFT6_Augment_Ascension,316,4.56
TFT6_Augment_TinyTitans,154,4.56
TFT6_Augment_Distancing,205,4.56
TFT6_Augment_Twins3,74,4.57
TFT6_Augment_JeweledLotus,119,4.58
TFT6_Augment_ClearMind,313,4.6
TFT6_Augment_SecondWind1,275,4.6
TFT6_Augment_TargetDummies,203,4.6
