unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, TitanicHydra",26,3.88
TFT7_Aatrox,"None, None, Zephyr",25,4.0
TFT7_Aatrox,"None, None, Shroud",24,4.0
TFT7_Aatrox,"LocketOfTheIronSolari, None, None",14,4.29
TFT7_Aatrox,"NegatronCloak, None, None",13,4.31
TFT7_Anivia,"None, RabadonsDeathcap, SpearOfShojin",13,3.08
TFT7_Anivia,"Chalice, None, None",13,3.23
TFT7_Anivia,"ArchangelsStaff, JeweledGauntlet, StatikkShiv",20,3.65
TFT7_Anivia,"ArchangelsStaff, SpearOfShojin, StatikkShiv",31,3.68
TFT7_Anivia,"ArchangelsStaff, ArchangelsStaff, StatikkShiv",14,3.71
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, GuinsoosRageblade",18,2.61
TFT7_AoShin,"GuinsoosRageblade, JeweledGauntlet, UnstableConcoction",12,2.67
TFT7_AoShin,"ArchangelsStaff, Bloodthirster, MadredsBloodrazor",19,2.68
TFT7_AoShin,"MadredsBloodrazor, MageEmblemItem, RabadonsDeathcap",13,2.69
TFT7_AoShin,"GuinsoosRageblade, RabadonsDeathcap, SpearOfShojin",28,2.82
TFT7_Ashe,"LastWhisper, None, None",38,3.26
TFT7_Ashe,"None, None, SpearOfShojin",28,3.54
TFT7_Ashe,"None, None, Zephyr",84,3.71
TFT7_Ashe,"Chalice, None, ZekesHerald",16,3.75
TFT7_Ashe,"None, None, Shroud",57,3.75
TFT7_AurelionSol,"HextechGunblade, MadredsBloodrazor, MageEmblemItem",13,4.0
TFT7_AurelionSol,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",25,4.08
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, MageEmblemItem",38,4.13
TFT7_AurelionSol,"MageEmblemItem, RabadonsDeathcap, SpearOfShojin",17,4.18
TFT7_AurelionSol,"JeweledGauntlet, MageEmblemItem, SpearOfShojin",25,4.32
TFT7_Bard,"None, None, ThiefsGloves",22,1.68
TFT7_Bard,"None, None, RagewingEmblemItem",25,2.44
TFT7_Bard,"IonicSpark, None, None",34,2.53
TFT7_Bard,"GargoyleStoneplate, None, None",20,2.55
TFT7_Bard,"HextechGunblade, None, None",18,2.56
TFT7_Braum,"None, None, ThiefsGloves",12,1.17
TFT7_Braum,"None, Shroud, TitanicHydra",15,3.07
TFT7_Braum,"BrambleVest, RedBuff, Redemption",14,3.07
TFT7_Braum,"RedBuff, WarmogsArmor, WarmogsArmor",14,3.21
TFT7_Braum,"None, None, PowerGauntlet",28,3.36
TFT7_Corki,"None, None, ThiefsGloves",12,1.83
TFT7_Corki,"StatikkShiv, StatikkShiv, UnstableConcoction",13,2.77
TFT7_Corki,"StatikkShiv, StatikkShiv, StatikkShiv",18,2.89
TFT7_Corki,"Deathblade, LastWhisper, RunaansHurricane",25,3.04
TFT7_Corki,"LastWhisper, RunaansHurricane, UnstableConcoction",18,3.44
TFT7_Diana,"None, None, ThiefsGloves",20,1.25
TFT7_Diana,"IonicSpark, IonicSpark, RedBuff",14,2.64
TFT7_Diana,"FrozenHeart, ZekesHerald, ZekesHerald",13,2.92
