augment0_grp,Value_Count,average_placement
TFT7_Augment_AFKHR,1,1.0
TFT7_Augment_SwiftshotEmblem2,1,2.0
TFT7_Augment_SacrificialPact,8,2.62
TFT7_Augment_MirageHallucinate,12,2.75
TFT7_Augment_Preparation2HR,1,3.0
TFT7_Augment_CavalierEmblem2,16,3.06
TFT7_Augment_ShimmerscaleTrait2,9,3.11
TFT6_Augment_CyberneticImplants3,13,3.15
TFT7_Augment_MysticTrait2,6,3.17
TFT6_Augment_Twins3,6,3.17
TFT7_Augment_MirageEmblem2,3,3.33
TFT7_Augment_CavalierForAllUnits,9,3.33
TFT6_Augment_Traitless3,10,3.5
TFT6_Augment_CyberneticImplants2,35,3.57
TFT7_Augment_ShapeshifterTrait,12,3.58
TFT7_Augment_CursedCrown,5,3.6
TFT7_Augment_MysticTrait,26,3.62
TFT7_Augment_BruiserTitanicStrength,11,3.73
TFT7_Augment_GadgetExpert,82,3.74
TFT7_Augment_CannoneerHotShot,41,3.8
TFT7_Augment_ShapeshifterTrait2,6,3.83
TFT6_Augment_Meditation2,32,3.84
TFT6_Augment_PortableForge,245,3.87
TFT7_Augment_WhispersEmblem2,10,3.9
TFT7_Augment_JadeEmblem,47,3.96
TFT6_Augment_CyberneticUplink2,59,3.97
TFT6_Augment_ThriftShop,6,4.0
TFT7_Augment_JadeTrait2,20,4.0
TFT7_Augment_EvokerEmblem2,16,4.0
TFT7_Augment_CannoneerEmblem2,13,4.0
TFT7_Augment_BruiserEmblem2,1,4.0
TFT7_Augment_Preparation1HR,1,4.0
TFT6_Augment_FuturePeepers2,2,4.0
TFT7_Augment_RevelEmblem2,16,4.0
TFT7_Augment_GuildEmblem,14,4.07
TFT7_Augment_WarriorTiamat,10,4.1
TFT7_Augment_BandOfThieves1,121,4.13
TFT6_Augment_MakeshiftArmor1,14,4.14
TFT7_Augment_ScalescornEmblem,21,4.14
TFT6_Augment_Featherweights1,7,4.14
TFT7_Augment_BruiserTrait,16,4.19
TFT7_Augment_GuardianEmblem2,10,4.2
TFT7_Augment_EvokerTrait,33,4.21
TFT7_Augment_MageTrait,24,4.21
TFT6_Augment_Electrocharge2,136,4.23
TFT6_Augment_SecondWind2,143,4.24
TFT7_Augment_ClutteredMind,72,4.26
TFT7_Augment_CannoneerTrait,27,4.26
TFT6_Augment_ItemGrabBag1,105,4.27
TFT7_Augment_CavalierTrait,14,4.29
TFT7_Augment_EvokerEmblem,41,4.29
TFT6_Augment_JeweledLotus,92,4.29
TFT7_Augment_BestFriends1,28,4.29
TFT7_Augment_BestFriends2,63,4.29
TFT7_Augment_WarriorTrait,7,4.29
TFT7_Augment_MikaelsGift,80,4.3
TFT6_Augment_MetabolicAccelerator,135,4.31
TFT6_Augment_Weakspot,130,4.31
TFT6_Augment_ClearMind,57,4.32
TFT7_Augment_UrfsGrabBag2,25,4.32
TFT7_Augment_UrfsGrabBag1,136,4.32
TFT6_Augment_FirstAidKit,12,4.33
TFT7_Augment_SwiftshotPressTheAttack,9,4.33
TFT6_Augment_LudensEcho2,106,4.35
TFT6_Augment_Electrocharge1,95,4.35
TFT6_Augment_Traitless2,51,4.37
TFT7_Augment_JadePenitence,8,4.38
TFT7_Augment_CavalierDevastatingCharge,13,4.38
TFT6_Augment_CyberneticUplink1,32,4.38
TFT7_Augment_GuardianEmblem,10,4.4
TFT6_Augment_ForceOfNature,30,4.4
TFT7_Augment_JadeEternalProtection,15,4.4
TFT6_Augment_TradeSector,187,4.41
TFT6_Augment_ItemGrabBag2,19,4.42
TFT7_Augment_AFK,62,4.42
TFT7_Augment_ShapeshifterBeastsDen,19,4.42
TFT6_Augment_TargetDummies,93,4.42
TFT6_Augment_CelestialBlessing2,150,4.43
TFT7_Augment_CannoneerEmblem,27,4.44
TFT6_Augment_SalvageBin,41,4.44
TFT6_Augment_HyperRoll,42,4.45
TFT7_Augment_MageConference,46,4.46
TFT7_Augment_MirageTrait,17,4.47
TFT7_Augment_JadeTrait,58,4.48
TFT7_Augment_MageEmblem,31,4.48
TFT6_Augment_Electrocharge3,22,4.5
TFT6_Augment_Meditation3,16,4.5
TFT7_Augment_AssassinTrait,2,4.5
TFT7_Augment_TempestTrait,8,4.5
TFT6_Augment_CyberneticShell3,8,4.5
TFT6_Augment_LudensEcho1,86,4.51
TFT7_Augment_LivingForge,58,4.53
TFT6_Augment_Ascension,186,4.53
TFT7_Augment_GuardianHeroicPresence,13,4.54
TFT6_Augment_CelestialBlessing1,75,4.55
TFT6_Augment_SecondWind1,114,4.57
TFT7_Augment_BestFriends3,12,4.58
TFT6_Augment_Distancing2,22,4.59
TFT6_Augment_CalculatedLoss,56,4.59
TFT6_Augment_Distancing,15,4.6
TFT7_Augment_TomeOfTraits2,15,4.6
TFT6_Augment_CelestialBlessing3,36,4.61
TFT7_Augment_Preparation,24,4.62
TFT7_Augment_GuardianTrait,8,4.62
TFT6_Augment_ThrillOfTheHunt2,150,4.65
TFT6_Augment_CyberneticShell2,36,4.67
TFT6_Augment_Featherweights3,6,4.67
TFT6_Augment_TriForce2,13,4.69
TFT6_Augment_Twins2,20,4.7
TFT6_Augment_LudensEcho3,20,4.7
TFT7_Augment_AstralTrait,11,4.73
TFT6_Augment_CyberneticImplants1,20,4.75
TFT6_Augment_SunfireBoard,111,4.75
TFT7_Augment_ShimmerscaleEmblem,20,4.75
TFT6_Augment_MaxLevel10,52,4.75
TFT6_Augment_CyberneticShell1,15,4.8
