placement,group,comp,grp_count,grp_placement,mode
2,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Soraka, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
1,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Soraka, Swain, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"Bard, DragonPurple, Elise, Gnar, Neeko, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
2,0,"Anivia, DragonPurple, Gnar, Lulu, Neeko, Soraka, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"Anivia, DragonPurple, Elise, Gnar, Neeko, Pyke, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
2,0,"DragonPurple, Elise, Neeko, Pyke, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"Anivia, DragonPurple, Elise, Gnar, Neeko, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"DragonPurple, Elise, Gnar, Neeko, Nidalee, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
5,0,"DragonPurple, Elise, Gnar, Neeko, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
5,0,"DragonPurple, Elise, Gnar, Neeko, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Thresh, Yasuo",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
4,0,"Anivia, DragonPurple, Elise, Gnar, Neeko, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
4,0,"Bard, DragonPurple, Elise, Neeko, Soraka, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
1,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh, Zoe",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Sylas, Zoe",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Thresh, Yasuo",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
2,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Soraka, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"Anivia, DragonPurple, Elise, Gnar, Neeko, Swain, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
4,0,"Anivia, DragonPurple, Elise, Neeko, Pyke, Soraka, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"DragonPurple, Elise, Gnar, Soraka, Sylas, Talon",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
5,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"Anivia, DragonPurple, Gnar, Neeko, Sona, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
2,0,"Bard, DragonPurple, Elise, Gnar, Neeko, Pyke, Soraka, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"Anivia, DragonPurple, Elise, Neeko, Soraka, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"Anivia, DragonPurple, Elise, Gnar, Neeko, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"DragonPurple, Elise, Gnar, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
1,0,"DragonPurple, Elise, Gnar, Neeko, Soraka, Swain, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
5,0,"DragonPurple, Elise, Gnar, Karma, Neeko, Swain",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"DragonPurple, Elise, Gnar, Neeko, Swain, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"Anivia, DragonPurple, Elise, Neeko, Soraka, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"Anivia, DragonPurple, Elise, Gnar, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
2,0,"Elise, Gnar, Neeko, Nidalee, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"DragonPurple, Elise, Gnar, Neeko, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Swain, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"DragonPurple, Elise, Gnar, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"Anivia, DragonPurple, Gnar, Neeko, Sona, Sylas, Yasuo",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"Bard, DragonPurple, Elise, Gnar, Neeko, Swain, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
2,0,"DragonPurple, Elise, Gnar, Neeko, Ryze, Sylas, Thresh, Zoe",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
4,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Swain, Sylas, Talon",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"DragonPurple, Elise, Gnar, Neeko, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"Ashe, DragonPurple, Elise, Gnar, Neeko, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"Anivia, DragonPurple, Elise, Gnar, Sylas, Taric, Thresh, Yasuo",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"Anivia, DragonPurple, Elise, Gnar, Neeko, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
5,0,"DragonPurple, Elise, Gnar, Neeko, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"Anivia, DragonPurple, Elise, Gnar, Neeko, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"Elise, Gnar, Karma, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"DragonPurple, Elise, Gnar, Neeko, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
4,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
6,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh, Yasuo",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
5,0,"DragonPurple, Elise, Gnar, Neeko, Ryze, Soraka, Sylas, Zoe",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"DragonPurple, Elise, Gnar, Neeko, Soraka, Sylas",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
4,0,"DragonPurple, Elise, Gnar, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"DragonPurple, Elise, Gnar, Neeko, Soraka, Sylas, Yasuo",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
2,0,"DragonPurple, Elise, Gnar, Neeko, Soraka, Swain, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
4,0,"DragonPurple, Elise, Gnar, Neeko, Soraka, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
3,0,"DragonPurple, Elise, Neeko, Soraka, Swain, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
7,0,"DragonPurple, Elise, Gnar, Neeko, Soraka, Sylas, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
8,0,"DragonPurple, Elise, Gnar, Neeko, Pyke, Sylas, Taric, Thresh",146,4.54,"DragonPurple, Elise, Neeko, Soraka, Sylas, Taric, Thresh"
