unit,items,value_count,average_placement
TFT7_Aatrox,None,9115,4.50016456390565
TFT7_Aatrox,"None, None, None",3028,4.500660501981506
TFT7_Anivia,MadredsBloodrazor,16,3.5625
TFT7_Anivia,Morellonomicon,55,3.963636363636364
TFT7_Anivia,GuinsoosRageblade,18,4.111111111111111
TFT7_Anivia,DragonmancerEmblemItem,24,4.208333333333333
TFT7_Anivia,StatikkShiv,50,4.36
TFT7_AoShin,HextechGunblade,37,3.4594594594594597
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",17,3.4705882352941178
TFT7_AoShin,UnstableConcoction,14,3.5
TFT7_AoShin,RabadonsDeathcap,21,3.619047619047619
TFT7_AoShin,ArchangelsStaff,67,3.791044776119403
TFT7_Ashe,"None, None, RagewingEmblemItem",14,3.4285714285714284
TFT7_Ashe,Zephyr,16,3.4375
TFT7_Ashe,RunaansHurricane,12,3.5833333333333335
TFT7_Ashe,Chalice,44,3.6363636363636362
TFT7_Ashe,RagewingEmblemItem,18,3.7222222222222223
TFT7_AurelionSol,None,9070,4.491289966923925
TFT7_AurelionSol,"None, None, None",3022,4.491396426207809
TFT7_AurelionSol,ArchangelsStaff,15,4.933333333333334
TFT7_AurelionSol,MageEmblemItem,21,5.761904761904762
TFT7_AurelionSol,SpearOfShojin,13,6.3076923076923075
TFT7_Bard,GuinsoosRageblade,15,2.2
TFT7_Bard,Chalice,22,2.5
TFT7_Bard,Shroud,16,2.6875
TFT7_Bard,"None, None, Shroud",16,2.6875
TFT7_Bard,"None, None, SeraphsEmbrace",12,2.75
TFT7_Braum,ThiefsGloves,13,3.0
TFT7_Braum,Shroud,12,3.0
TFT7_Braum,DragonsClaw,19,3.4210526315789473
TFT7_Braum,BrambleVest,15,4.0
TFT7_Braum,GargoyleStoneplate,20,4.05
TFT7_Corki,RunaansHurricane,40,3.6
TFT7_Corki,OrnnInfinityForce,15,3.8666666666666667
TFT7_Corki,Bloodthirster,25,4.08
TFT7_Corki,LastWhisper,114,4.12280701754386
TFT7_Corki,UnstableConcoction,124,4.137096774193548
TFT7_Diana,HextechGunblade,25,3.92
TFT7_Diana,ArchangelsStaff,19,4.0
TFT7_Diana,MadredsBloodrazor,21,4.095238095238095
TFT7_Diana,RedBuff,41,4.097560975609756
TFT7_Diana,InfinityEdge,51,4.294117647058823
TFT7_DragonBlue,RevelEmblemItem,22,3.1818181818181817
TFT7_DragonBlue,RapidFireCannon,13,3.923076923076923
TFT7_DragonBlue,MadredsBloodrazor,71,4.352112676056338
TFT7_DragonBlue,InfinityEdge,15,4.4
TFT7_DragonBlue,ArchangelsStaff,50,4.46
TFT7_DragonGold,OrnnEternalWinter,12,3.5833333333333335
TFT7_DragonGold,Quicksilver,25,3.6
TFT7_DragonGold,TitansResolve,22,3.772727272727273
TFT7_DragonGold,ShimmerscaleDiamondHands,49,3.979591836734694
TFT7_DragonGold,DragonsClaw,142,4.211267605633803
TFT7_DragonGreen,BrambleVest,14,3.2857142857142856
TFT7_DragonGreen,RunaansHurricane,12,3.4166666666666665
TFT7_DragonGreen,GuinsoosRageblade,30,3.933333333333333
TFT7_DragonGreen,MadredsBloodrazor,58,4.017241379310345
TFT7_DragonGreen,GargoyleStoneplate,16,4.0625
TFT7_DragonPurple,Quicksilver,20,4.2
TFT7_DragonPurple,TitansResolve,26,4.269230769230769
TFT7_DragonPurple,GuinsoosRageblade,44,4.386363636363637
TFT7_DragonPurple,Bloodthirster,55,4.472727272727273
TFT7_DragonPurple,"None, None, None",2940,4.493877551020408
TFT7_Elise,MadredsBloodrazor,16,4.4375
TFT7_Elise,None,8969,4.494480990076932
TFT7_Elise,"None, None, None",2976,4.494623655913978
TFT7_Elise,Quicksilver,14,4.714285714285714
TFT7_Elise,GuinsoosRageblade,18,5.0
TFT7_Ezreal,JeweledGauntlet,12,4.25
TFT7_Ezreal,"None, None, None",2994,4.4926519706078825
TFT7_Ezreal,None,9019,4.497948774808737
TFT7_Ezreal,MadredsBloodrazor,18,4.611111111111111
TFT7_Ezreal,SeraphsEmbrace,23,4.739130434782608
TFT7_Gnar,Shroud,15,3.6666666666666665
TFT7_Gnar,None,8956,4.5020098258150965
TFT7_Gnar,"None, None, None",2933,4.505966587112172
TFT7_Gnar,ThiefsGloves,13,4.846153846153846
