,0
TFT7_DragonGold_item1_TFT7_Item_ShimmerscaleHeartOfGold,0.0
TFT7_Nami_item0_TFT_Item_ThiefsGloves,0.0
TFT7_Nami_item0_TFT_Item_ZekesHerald,0.0
TFT7_Nami_item0_TFT_Item_Zephyr,0.0
TFT7_Bard_item1_TFT_Item_SeraphsEmbrace,0.0
TFT7_Ryze_item0_TFT4_Item_OrnnMuramana,0.0
TFT7_Ryze_item0_TFT7_Item_EvokerEmblemItem,0.0
TFT7_Ryze_item0_TFT7_Item_SwiftshotEmblemItem,0.0
TFT7_Ryze_item0_TFT_Item_ArchangelsStaff,0.0
TFT7_Ryze_item0_TFT_Item_Chalice,0.0
TFT7_Ryze_item0_TFT_Item_GuardianAngel,0.0
TFT7_Ryze_item0_TFT_Item_GuinsoosRageblade,0.0
TFT7_Ryze_item0_TFT_Item_HextechGunblade,0.0
TFT7_Ryze_item0_TFT_Item_InfinityEdge,0.0
TFT7_Ryze_item0_TFT_Item_JeweledGauntlet,0.0
TFT7_Ryze_item0_TFT_Item_LocketOfTheIronSolari,0.0
TFT7_Ryze_item0_TFT_Item_PowerGauntlet,0.0
TFT7_Ryze_item0_TFT_Item_Quicksilver,0.0
TFT7_Ryze_item1_TFT_Item_GiantsBelt,0.0
TFT7_Ryze_item1_TFT_Item_BFSword,0.0
TFT7_Ryze_item1_TFT_Item_ArchangelsStaff,0.0
TFT7_Ryze_item1_TFT7_Item_WhispersEmblemItem,0.0
TFT7_Ryze_item1_TFT7_Item_EvokerEmblemItem,0.0
TFT7_Ryze_item1_TFT7_Item_CavalierEmblemItem,0.0
TFT7_Bard_item1_TFT_Item_SparringGloves,0.0
TFT7_Ryze_item1_TFT4_Item_OrnnMuramana,0.0
TFT7_Bard_item1_TFT_Item_Redemption,0.0
TFT7_Ryze_item0_TFT_Item_UnstableConcoction,0.0
TFT7_Ryze_item0_TFT_Item_StatikkShiv,0.0
TFT7_Ryze_item0_TFT_Item_SparringGloves,0.0
TFT7_Ryze_item0_TFT_Item_SeraphsEmbrace,0.0
TFT7_Ryze_item0_TFT_Item_RabadonsDeathcap,0.0
TFT7_Ryze_item1_TFT4_Item_OrnnDeathsDefiance,0.0
TFT7_Ryze_item1_TFT_Item_GuinsoosRageblade,0.0
TFT7_Nami_item0_TFT_Item_SpearOfShojin,0.0
TFT7_Nami_item0_TFT_Item_SparringGloves,0.0
TFT7_Bard_item1_TFT_Item_ZekesHerald,0.0
TFT7_LeeSin_item2_TFT_Item_RunaansHurricane,0.0
TFT7_LeeSin_item2_TFT_Item_Shroud,0.0
TFT7_LeeSin_item2_TFT_Item_SpearOfShojin,0.0
TFT7_LeeSin_item2_TFT_Item_TitanicHydra,0.0
TFT7_LeeSin_item2_TFT_Item_TitansResolve,0.0
TFT7_Bard_item1_TFT_Item_WarmogsArmor,0.0
TFT7_Bard_item1_TFT_Item_TearOfTheGoddess,0.0
TFT7_LeeSin_item2_TFT_Item_ZekesHerald,0.0
TFT7_LeeSin_item2_TFT_Item_Zephyr,0.0
TFT7_Bard_item1_TFT_Item_SpearOfShojin,0.0
TFT7_Nami_item0_TFT7_Item_EvokerEmblemItem,0.0
TFT7_Nami_item0_TFT7_Item_GuildEmblemItem,0.0
TFT7_Nami_item0_TFT7_Item_WhispersEmblemItem,0.0
TFT7_Nami_item0_TFT_Item_ArchangelsStaff,0.0
TFT7_Nami_item0_TFT_Item_Chalice,0.0
TFT7_Nami_item0_TFT_Item_GiantsBelt,0.0
TFT7_Nami_item0_TFT_Item_Shroud,0.0
TFT7_Nami_item0_TFT_Item_SeraphsEmbrace,0.0
TFT7_Nami_item0_TFT_Item_RedBuff,0.0
TFT7_Nami_item0_TFT_Item_RabadonsDeathcap,0.0
TFT7_Nami_item0_TFT_Item_PowerGauntlet,0.0
TFT7_Nami_item0_TFT_Item_NeedlesslyLargeRod,0.0
TFT7_Nami_item0_TFT_Item_Spatula,0.0
TFT7_Nami_item0_TFT_Item_Morellonomicon,0.0
TFT7_Nami_item0_TFT_Item_LocketOfTheIronSolari,0.0
TFT7_Nami_item0_TFT_Item_LastWhisper,0.0
TFT7_Nami_item0_TFT_Item_JeweledGauntlet,0.0
TFT7_Nami_item0_TFT_Item_InfinityEdge,0.0
TFT7_Nami_item0_TFT_Item_HextechGunblade,0.0
TFT7_Nami_item0_TFT_Item_GuinsoosRageblade,0.0
TFT7_Nami_item0_TFT_Item_MadredsBloodrazor,0.0
TFT7_LeeSin_item2_TFT_Item_RedBuff,0.0
TFT7_Ryze_item1_TFT_Item_HextechGunblade,0.0
TFT7_Ryze_item1_TFT_Item_JeweledGauntlet,0.0
TFT7_Jinx_item0_TFT_Item_Bloodthirster,0.0
TFT7_Jinx_item0_TFT_Item_ChainVest,0.0
TFT7_Jinx_item0_TFT_Item_Chalice,0.0
TFT7_Jinx_item0_TFT_Item_Deathblade,0.0
TFT7_Jinx_item0_TFT_Item_GuinsoosRageblade,0.0
TFT7_Jinx_item0_TFT_Item_InfinityEdge,0.0
TFT7_Jinx_item0_TFT_Item_JeweledGauntlet,0.0
TFT7_Jinx_item0_TFT_Item_LastWhisper,0.0
TFT7_Jinx_item0_TFT_Item_LocketOfTheIronSolari,0.0
TFT7_Jinx_item0_TFT_Item_MadredsBloodrazor,0.0
TFT7_Jinx_item0_TFT_Item_Morellonomicon,0.0
TFT7_Jinx_item0_TFT_Item_NeedlesslyLargeRod,0.0
TFT7_Jinx_item0_TFT_Item_PowerGauntlet,0.0
TFT7_Jinx_item0_TFT_Item_RecurveBow,0.0
TFT7_Jinx_item0_TFT_Item_Redemption,0.0
TFT7_Jinx_item0_TFT_Item_RunaansHurricane,0.0
TFT7_Jinx_item0_TFT_Item_Shroud,0.0
TFT7_Tristana_item0_TFT7_Item_ShimmerscaleDeterminedInvestor,0.0
TFT7_Tristana_item0_TFT7_Item_RevelEmblemItem,0.0
TFT7_Tristana_item0_TFT7_Item_MysticEmblemItem,0.0
TFT7_Tristana_item0_TFT7_Item_MirageEmblemItem,0.0
TFT7_Tristana_item0_TFT7_Item_GuardianEmblemItem,0.0
