placement,group,comp,grp_count,grp_placement,mode
5,0,"DragonBlue, DragonGold, DragonPurple, Leona, Pyke, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AurelionSol, DragonGold, DragonGreen, Lulu, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
5,0,"DragonBlue, DragonGold, DragonPurple, Nunu, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
5,0,"DragonGreen, DragonPurple, Lulu, Shyvana, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonBlue, DragonGold, DragonPurple, Sylas",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"Bard, DragonBlue, DragonGold, DragonGreen, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"DragonGold, DragonPurple, Shyvana, Soraka, Sylas",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"AurelionSol, DragonGold, DragonPurple, Lulu, Thresh, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonGold, DragonGreen, DragonPurple, Taric",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"DragonGold, DragonPurple, Ornn, Shyvana, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"AoShin, DragonGold, DragonGreen, Neeko, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
5,0,"AurelionSol, DragonGold, DragonGreen, DragonPurple",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"Bard, DragonGold, DragonGreen, Soraka, Taric, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonBlue, DragonGold, Lulu, Sona, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"DragonBlue, DragonGreen, Neeko, Shyvana, Soraka, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
7,0,"DragonBlue, DragonGold, DragonPurple, Thresh, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonBlue, DragonGold, DragonPurple, Soraka, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"DragonBlue, DragonGold, DragonPurple, Sylas, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"Ashe, DragonGreen, DragonPurple, Neeko, Shyvana, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"AoShin, Bard, DragonBlue, DragonGold, Leona, Neeko",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"Bard, DragonBlue, DragonGold, DragonPurple, Pyke, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"DragonGreen, DragonPurple, Neeko, Ornn, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"Braum, DragonGold, Ryze, Sylas, Thresh, Vladimir, Zoe",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"AoShin, AurelionSol, DragonGold, Ornn, Soraka, Taric",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"DragonGold, DragonPurple, Elise, Pyke, Shyvana, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AoShin, DragonBlue, DragonGold, DragonPurple, Hecarim",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonBlue, Gnar, Lulu, Shyvana, Sona",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"AurelionSol, DragonGold, DragonPurple, Shyvana, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AurelionSol, DragonGold, DragonGreen, Lulu, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"AoShin, Bard, DragonBlue, DragonGold, Leona, Ornn",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"Corki, DragonGold, DragonPurple, Neeko, Shyvana, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
5,0,"AoShin, DragonBlue, DragonGold, Leona, Ornn",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"AurelionSol, DragonBlue, DragonGold, DragonGreen",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AoShin, DragonGold, DragonGreen, Ornn, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"DragonGold, DragonPurple, Gnar, Neeko, Pyke, Shyvana, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"DragonBlue, DragonGold, DragonGreen, Gnar, Neeko",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
5,0,"Braum, DragonBlue, DragonGold, DragonGreen, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"DragonBlue, DragonGold, DragonPurple, Shyvana, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"AurelionSol, Bard, DragonGold, Lulu, Neeko, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"Bard, DragonBlue, DragonGreen, Neeko, Shyvana, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"DragonBlue, DragonGold, Neeko, Pyke, Shyvana, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"DragonGreen, DragonPurple, Lulu, Neeko, Shyvana, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"DragonBlue, DragonPurple, Neeko, Shyvana, Yone",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"DragonBlue, DragonGold, DragonGreen, DragonPurple",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"DragonBlue, DragonPurple, Gnar, Hecarim, Neeko, Thresh, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"DragonBlue, DragonGreen, DragonPurple, Sylas, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AoShin, Bard, DragonGold, DragonGreen, Lulu, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonBlue, DragonGold, DragonGreen, Neeko, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"Bard, DragonBlue, DragonGreen, Lulu, Shyvana, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
5,0,"Bard, DragonGold, DragonGreen, Shyvana, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"DragonGold, DragonPurple, Neeko, Shyvana, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"AoShin, AurelionSol, DragonPurple, Ornn, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"AurelionSol, DragonGold, Neeko, Ryze, Shyvana, Zoe",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
7,0,"AurelionSol, DragonGold, DragonPurple, Soraka, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"DragonGold, DragonGreen, DragonPurple, Shyvana, Sylas",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
7,0,"AurelionSol, Braum, DragonGold, DragonGreen, Lulu",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
7,0,"Bard, DragonBlue, DragonGold, DragonGreen, Leona",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"DragonBlue, DragonGold, DragonPurple, Leona, Soraka",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"Braum, DragonGold, Lillia, Ornn, Ryze, Sylas, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"Braum, DragonGold, Leona, Taric, Thresh, Yone",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonBlue, DragonGold, DragonPurple, Soraka, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"DragonBlue, DragonGold, Leona, Lulu, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"DragonBlue, DragonGold, DragonPurple, Sylas, Thresh, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"DragonBlue, DragonGold, Shyvana, Thresh, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"DragonGold, Neeko, Shyvana, Soraka, Taric, Yasuo, Yone",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"AurelionSol, Bard, DragonPurple, Lulu, Neeko, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"DragonBlue, DragonGold, DragonPurple, Ornn, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"AoShin, Bard, DragonGold, DragonPurple, Ornn, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"AoShin, DragonGold, Shyvana, Sylas, Taric",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"Bard, DragonBlue, DragonGold, DragonPurple, Lulu, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"DragonGold, DragonPurple, Elise, Leona, Pyke, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"Braum, Corki, DragonGold, Leona, Soraka, Taric, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"AurelionSol, DragonGold, DragonPurple, Sona, Soraka, Thresh",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"DragonBlue, DragonGreen, DragonPurple, Nunu, Sylas",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
1,0,"DragonBlue, DragonPurple, Neeko, Shyvana, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"AoShin, DragonGold, DragonPurple, Ornn, Thresh, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AurelionSol, DragonGold, DragonGreen, Gnar, Taric",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"DragonGreen, DragonPurple, Lulu, Neeko, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
7,0,"DragonGreen, DragonPurple, Neeko, Ornn, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
8,0,"Bard, DragonBlue, DragonGold, DragonGreen, Taric",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
3,0,"Bard, DragonGreen, DragonPurple, Ornn, Shyvana, Zoe",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"DragonBlue, DragonGreen, Neeko, Shyvana, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AoShin, DragonBlue, DragonGold, Ornn, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"AurelionSol, DragonGreen, Neeko, Nunu, Shyvana",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
2,0,"AoShin, Bard, DragonGold, DragonGreen, Lulu, Yasuo",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
4,0,"DragonGold, DragonGreen, DragonPurple, Shyvana, Sylas",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"Bard, DragonGold, DragonPurple, Ornn, Thresh, Yasuo, Yone",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
6,0,"Braum, DragonGold, DragonPurple, Pyke, Shyvana, Swain",637,4.3,"DragonBlue, DragonGold, DragonGreen, DragonPurple"
