placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Ezreal_item2,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_Kayn,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_LeeSin_item2,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nidalee_item1,TFT7_Nidalee_item2,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Sejuani_item1,TFT7_Sejuani_item2,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Senna_item2,TFT7_Sett,TFT7_Sett_item0,TFT7_Sett_item1,TFT7_Sett_item2,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Skarner_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,TFT7_Twitch_item2,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2,_id
1,EUW1_5998595999,TFT6_Augment_Electrocharge1,TFT6_Augment_MaxLevel10,TFT6_Augment_CyberneticImplants1,,0.0,1.0,1.0,,,1.0,0.0,0.0,,1.0,1.0,0.0,1.0,0.0,1.0,,,,0.0,0.0,1.0,1.0,,,,0.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,2.0,MageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuardianAngel,HextechGunblade,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Zephyr,,,2.0,RedBuff,IonicSpark,Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2.0,NegatronCloak,,,,,,,2.0,SeraphsEmbrace,RabadonsDeathcap,StatikkShiv,EUW1_5998595999-9PRgnW0HWRtfVhXY7NaWi6lgfXmEn2uuL7OSPC-tnsndRxm3HVuD5d9ZF-YyOFmLKGqK1J77oFTLrg
7,EUW1_5998595999,TFT7_Augment_BandOfThieves1,TFT6_Augment_CyberneticImplants3,TFT6_Augment_CyberneticUplink1,,,,1.0,2.0,,1.0,,1.0,,,,,0.0,,0.0,,2.0,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,StatikkShiv,InfinityEdge,,,,,,,,,,,,,,,,,1.0,ThiefsGloves,Bloodthirster,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ChainVest,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,GargoyleStoneplate,TitanicHydra,RedBuff,,,,,,,,,,,,,,,,,2.0,TrainerSnax,None,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUW1_5998595999-_qL6FlUbzyXCoIM1FZHCmPbJbQiU5dPwZWufUiqCvzCjujVFnmxUqZ0yxhlqD46dZc1iiekuSiU68A
5,EUW1_5998595999,TFT6_Augment_Weakspot,TFT6_Augment_CelestialBlessing3,TFT7_Augment_BandOfThieves1,,,1.0,0.0,,1.0,1.0,0.0,,,1.0,,0.0,,3.0,0.0,0.0,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,ZekesHerald,,,,,,,,,,,,,,,2.0,InfinityEdge,MadredsBloodrazor,JeweledGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,RunaansHurricane,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,FrozenHeart,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Quicksilver,GuardianAngel,,1.0,,,,,,,,EUW1_5998595999-dTtM0nOF9Yu3SbFXN0KWDuRdl0CcjuuhOF03h_kzlDT-fUETol2iNjngIm1B1z66KU-RBel_MIlo-w
4,EUW1_5998595999,TFT7_Augment_ShimmerscaleEmblem,TFT6_Augment_Diversify3,TFT6_Augment_CyberneticShell1,,,1.0,,,,1.0,,1.0,,1.0,2.0,0.0,,,2.0,,,,1.0,0.0,,1.0,,,0.0,,,,,,,2.0,Morellonomicon,ArchangelsStaff,,,,,,,,,,,,,,1.0,SeraphsEmbrace,,,,,,,,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,GuardianAngel,Bloodthirster,,,,,,,,,,,,,2.0,ShimmerscaleEmblemItem,Shroud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,WarmogsArmor,Redemption,PowerGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUW1_5998595999-DI5XuIfy9xhYwFkT1mk-RdlW6ON7OF0TL5ni8ORGCEWMqKuqLK3ygolYtPS8i8Cz_71PXKCE43UDNw
3,EUW1_5998595999,TFT6_Augment_Distancing,TFT6_Augment_BandOfThieves2,TFT7_Augment_MirageTrait,,,,,,2.0,1.0,0.0,,,,0.0,,0.0,4.0,,0.0,,0.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,MadredsBloodrazor,Morellonomicon,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,Redemption,FrozenHeart,,,,,,,,,,,,,,,,,2.0,TitanicHydra,FrozenHeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,MirageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,GuardianAngel,Bloodthirster,HextechGunblade,3.0,ThiefsGloves,Morellonomicon,IonicSpark,,,,,EUW1_5998595999-XpajAngHixOjqI0GpvKehwHLVNf8Xmg2V54SRbqKfyxoRrsrs6zB29xF8PThg91Qe-wtiyCvVGxHGw
6,EUW1_5998595999,TFT7_Augment_AssassinTrait,TFT6_Augment_ThriftShop,TFT6_Augment_CelestialBlessing1,3.0,,,1.0,,,,0.0,,,1.0,,0.0,,0.0,,1.0,,0.0,0.0,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Bloodthirster,MadredsBloodrazor,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,ThiefsGloves,RunaansHurricane,Shroud,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,AssassinEmblemItem,UnstableConcoction,StatikkShiv,,,,,,,,,EUW1_5998595999-opT2S0HlPCQzNhX7fw24UD2dWtms1gs2cbC4o7WQM-s8B_7XkOAaCbf3gI9Gdkth4CKRB8ZPaEAWbw
2,EUW1_5998595999,TFT6_Augment_PandorasItems,TFT7_Augment_ThinkFast,TFT7_Augment_GuardianTrait,,,,0.0,2.0,,,,1.0,2.0,,,0.0,,,0.0,,2.0,0.0,,,,,,0.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,WarmogsArmor,GargoyleStoneplate,BrambleVest,2.0,RunaansHurricane,LastWhisper,SeraphsEmbrace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,PowerGauntlet,,,,,,,,,,,,,,,,,,,,,,,2.0,GuardianEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,ThiefsGloves,LocketOfTheIronSolari,GuinsoosRageblade,4.0,TrainerSnax,None,None,3.0,GuinsoosRageblade,Deathblade,MadredsBloodrazor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUW1_5998595999-aLjGVhcMXBEyePjD7DG9_a3fokNkMjdur-W7L5uNjdt--CXnla_2anXw-0kVIxgZXiKEyQTE4Gmk8g
8,EUW1_5998595999,TFT6_Augment_CelestialBlessing1,TFT6_Augment_ForceOfNature,TFT6_Augment_CyberneticUplink1,,0.0,,2.0,,,1.0,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,PowerGauntlet,WarmogsArmor,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,GiantsBelt,,,,,,,,,,,2.0,Shroud,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,LastWhisper,Deathblade,GuardianAngel,,,,,,,,,EUW1_5998595999-tnlJqMR333fJ6mPBV-stusC_2E4epoXIpNL7v5wBHJyqLsrkj3eWTdEWAuszeGqOwP-9-sAbFwF_PA
3,EUW1_5998647253,TFT7_Augment_EvokerEmblem,TFT6_Augment_ForceOfNature,TFT6_Augment_SecondWind2,,1.0,,1.0,1.0,,1.0,,2.0,,,,0.0,0.0,,1.0,,2.0,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,1.0,ArchangelsStaff,UnstableConcoction,Morellonomicon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,StatikkShiv,EvokerEmblemItem,RapidFireCannon,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,Chalice,PowerGauntlet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,TitanicHydra,DragonsClaw,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,2.0,BFSword,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUW1_5998647253-C519ALEI7y_DxXyh3rEjOjsbTNZD9x7Tutfzfx3scNqQRraz_5caWqHXfq_IdMNgNMvuRDQDml9v0w
1,EUW1_5998647253,TFT7_Augment_CavalierEmblem,TFT6_Augment_Electrocharge3,TFT6_Augment_TomeOfTraits1,,,1.0,,,3.0,1.0,0.0,,1.0,3.0,,,,4.0,0.0,0.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,GuinsoosRageblade,,,,,,,,,,,,,,,2.0,ArchangelsStaff,StatikkShiv,UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RunaansHurricane,Zephyr,IonicSpark,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,RedBuff,WarmogsArmor,BrambleVest,,,,,,,,,,,,,,,,,,,,,2.0,MirageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuardianEmblemItem,GuildEmblemItem,CavalierEmblemItem,2.0,,,,,,,,EUW1_5998647253-4CGfmtkKiPqjMbfvwOGxwB7FEYwqsggys17GH1m4bAHU1NiwB5UTlUZhzVO5D8JXyj5ob7f0d-7fcA
