placement,group,comp,grp_count,grp_placement,mode
7,-1,"Anivia, Ashe, LeeSin, Lulu, Ornn, Volibear, Zoe",,5.21,Ashe
8,-1,"Illaoi, Ornn, Qiyana, Talon, Twitch, Varus, Yasuo",,5.21,Ashe
2,-1,"Bard, Hecarim, Lillia, Nami, Nunu, Ryze, Talon, Twitch",,5.21,Ashe
8,-1,"Lulu, Shen, Twitch",,5.21,Ashe
2,-1,"Ryze, Shyvana, Xayah",,5.21,Ashe
8,-1,"Anivia, LeeSin, Nunu, Ornn, Shyvana, Swain, Volibear",,5.21,Ashe
8,-1,"Corki, Lulu, Neeko, Nunu, Ornn, Pyke, Xayah",,5.21,Ashe
5,-1,"Hecarim, Lillia, Nunu, Shyvana, Yone",,5.21,Ashe
8,-1,"Hecarim, Neeko, Ornn, Xayah",,5.21,Ashe
5,-1,"Bard, LeeSin, Olaf, Qiyana, Shen, Talon, Yone",,5.21,Ashe
8,-1,"AurelionSol, DragonGold, DragonGreen",,5.21,Ashe
2,-1,"Anivia, DragonPurple, Lulu, Ornn, Pyke, Qiyana, Soraka",,5.21,Ashe
2,-1,"Bard, Illaoi, Ornn, Shyvana, Soraka, Twitch, Varus, Yasuo",,5.21,Ashe
2,-1,"Bard, DragonBlue, Hecarim, Soraka, Talon, Twitch, Zoe",,5.21,Ashe
5,-1,"AoShin, Lulu, Nami, Ornn, Ryze, Sona, Sylas",,5.21,Ashe
5,-1,"Elise, Gnar, Neeko, Swain, Sylas, Thresh",,5.21,Ashe
2,-1,"Hecarim, Nunu, Shen, Shyvana, Soraka, Twitch, Xayah, Yasuo",,5.21,Ashe
1,-1,"Bard, DragonBlue, DragonGold, DragonGreen, Shyvana",,5.21,Ashe
7,-1,"Diana, Illaoi, Olaf, Ornn, Shen, Sylas, Talon, Yone",,5.21,Ashe
8,-1,"Hecarim, Lillia, Nunu, Shen, Yone",,5.21,Ashe
2,-1,"AoShin, Sylas, Yasuo",,5.21,Ashe
5,-1,"Diana, Kayn, Olaf, Qiyana, Shen, Talon, Xayah",,5.21,Ashe
2,-1,"Hecarim, LeeSin, Ornn, Shen, Shyvana, Volibear, Yasuo",,5.21,Ashe
2,-1,"Bard, DragonBlue, Lulu, Ornn, Sona, Yasuo, Zoe",,5.21,Ashe
1,-1,"Bard, Ornn, Pyke, Soraka, Sylas, Zoe",,5.21,Ashe
8,-1,Yone,,5.21,Ashe
5,-1,"Illaoi, Nami, Pyke, Sylas, Varus",,5.21,Ashe
2,-1,"Bard, Hecarim, Ornn, Pyke, Soraka, Talon, Twitch, Yasuo",,5.21,Ashe
8,-1,"Ashe, Gnar, LeeSin, Ornn, Swain, Volibear",,5.21,Ashe
6,-1,"Bard, Corki, Hecarim, Shen, Sona, Soraka, Sylas, Talon",,5.21,Ashe
1,-1,"Bard, DragonPurple, Nami, Neeko, Shyvana, Sylas, Zoe",,5.21,Ashe
5,-1,"AurelionSol, Braum, DragonGold, Neeko, Shyvana",,5.21,Ashe
8,-1,"Nunu, Ryze",,5.21,Ashe
5,-1,"Braum, Diana, DragonGold, Hecarim, Kayn, Xayah",,5.21,Ashe
5,-1,"AurelionSol, Lulu, Neeko, Ornn, Shyvana, Yasuo",,5.21,Ashe
8,-1,"Bard, DragonPurple, Sona, Sylas, Zoe",,5.21,Ashe
6,-1,"DragonPurple, Ornn, Pyke, Qiyana, Shen, Twitch, Xayah",,5.21,Ashe
6,-1,"Braum, Corki, DragonGold, Neeko, Nunu, Ornn, Xayah",,5.21,Ashe
5,-1,"Anivia, Ashe, Gnar, Neeko, Nunu, Ryze, Soraka",,5.21,Ashe
5,-1,"Corki, DragonPurple, Jinx, Lulu, Ornn, Sona",,5.21,Ashe
8,-1,"Lulu, Sona, Sylas, Talon, TrainerDragon, Tristana, Twitch",,5.21,Ashe
5,-1,"Anivia, AurelionSol, Gnar, Lulu, Neeko, Sona, Yasuo",,5.21,Ashe
2,-1,"Ashe, Bard, Braum, Ryze, Talon, Thresh, Twitch",,5.21,Ashe
7,-1,"AoShin, Lulu, Neeko, Ornn, Ryze, Sona, Sylas, Yasuo",,5.21,Ashe
5,-1,"DragonPurple, Kayn, Olaf, Shen, Sylas, Xayah",,5.21,Ashe
1,-1,"DragonBlue, DragonPurple, Hecarim, Nunu, Pyke, Soraka, Sylas",,5.21,Ashe
1,-1,"AoShin, Bard, DragonGold, Ornn, Soraka, Volibear, Zoe",,5.21,Ashe
5,-1,"DragonPurple, Elise, Lulu, Nami, Sona, Sylas, Thresh",,5.21,Ashe
