unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, None",1415,4.51
TFT7_Anivia,"None, None, None",1236,4.52
TFT7_AoShin,"None, None, None",1310,4.56
TFT7_Ashe,"None, None, None",1372,4.51
TFT7_AurelionSol,"None, None, None",1385,4.49
TFT7_Bard,"None, None, Zephyr",16,3.88
TFT7_Bard,"None, None, None",1248,4.69
TFT7_Braum,"None, None, None",1384,4.5
TFT7_Corki,"None, None, None",1213,4.49
TFT7_Diana,"None, None, None",1372,4.48
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, MadredsBloodrazor",13,3.77
TFT7_DragonBlue,"None, None, None",1214,4.5
TFT7_DragonGold,"None, None, None",1266,4.5
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, TitansResolve",36,3.64
TFT7_DragonGreen,"Bloodthirster, TitansResolve, TitansResolve",15,3.87
TFT7_DragonGreen,"None, None, None",1218,4.55
TFT7_DragonPurple,"Bloodthirster, TitansResolve, UnstableConcoction",15,3.73
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, TitansResolve",13,4.23
TFT7_DragonPurple,"None, None, None",1152,4.49
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, TitansResolve",14,4.86
TFT7_DragonPurple,"Bloodthirster, Quicksilver, TitansResolve",18,5.06
TFT7_Elise,"None, None, None",1398,4.51
TFT7_Ezreal,"None, None, None",1416,4.5
TFT7_Gnar,"None, None, None",1310,4.57
TFT7_Hecarim,"MirageEmblemItem, None, None",14,4.36
TFT7_Hecarim,"None, None, None",1198,4.59
TFT7_Heimerdinger,"None, None, None",1372,4.52
TFT7_Illaoi,"None, None, None",1320,4.51
TFT7_Jinx,"None, None, None",1406,4.49
TFT7_Karma,"None, None, None",1404,4.5
TFT7_Kayn,"None, None, None",1359,4.51
TFT7_LeeSin,"None, None, None",1380,4.49
TFT7_Leona,"None, None, None",1376,4.48
TFT7_Lillia,"None, None, None",1372,4.48
TFT7_Lulu,"None, None, PowerGauntlet",20,3.65
TFT7_Lulu,"None, None, ZekesHerald",29,4.03
TFT7_Lulu,"None, None, None",1134,4.63
TFT7_Lulu,"Chalice, None, None",25,4.68
TFT7_Nami,"None, None, None",1336,4.49
TFT7_Neeko,"None, None, None",1099,4.62
TFT7_Nidalee,"None, None, None",1425,4.5
TFT7_Nunu,"None, None, RedBuff",15,4.27
TFT7_Nunu,"None, None, None",1233,4.49
TFT7_Olaf,"None, None, None",1368,4.48
TFT7_Ornn,"None, None, None",1163,4.62
TFT7_Pyke,"None, None, None",1323,4.57
TFT7_Qiyana,"None, None, None",1386,4.52
TFT7_Ryze,"None, None, None",1379,4.48
TFT7_Sejuani,"None, None, None",1347,4.52
TFT7_Senna,"None, None, None",1419,4.5
TFT7_Sett,"None, None, None",1395,4.5
TFT7_Shen,"None, None, None",1319,4.49
TFT7_Shyvana,"None, None, None",1288,4.57
TFT7_Skarner,"None, None, None",1420,4.49
TFT7_Sona,"None, None, None",1206,4.54
TFT7_Soraka,"ArchangelsStaff, None, None",13,4.23
TFT7_Soraka,"None, None, None",1214,4.68
TFT7_Swain,"None, None, None",1365,4.51
TFT7_Sylas,"None, None, None",1036,4.58
TFT7_Sylas,"None, None, RedBuff",17,4.88
TFT7_TahmKench,"None, None, None",1416,4.5
TFT7_Talon,"None, None, None",1276,4.57
TFT7_Taric,"None, None, None",1404,4.51
TFT7_Thresh,"None, None, None",1377,4.54
TFT7_TrainerDragon,"None, None, None",1037,4.47
TFT7_TrainerDragon,"None, None, TrainerSnax",395,4.58
TFT7_Tristana,"None, None, None",1287,4.54
TFT7_Twitch,"None, None, None",1355,4.54
TFT7_Varus,"Deathblade, GuinsoosRageblade, RunaansHurricane",15,3.2
TFT7_Varus,"None, None, None",1363,4.52
TFT7_Vladimir,"None, None, None",1417,4.48
TFT7_Volibear,"None, None, None",1353,4.48
TFT7_Volibear,"Bloodthirster, GuinsoosRageblade, Quicksilver",21,5.62
TFT7_Xayah,"None, None, None",1277,4.53
TFT7_Xayah,"GuinsoosRageblade, MadredsBloodrazor, Quicksilver",15,4.53
TFT7_Yasuo,"None, None, None",1020,4.8
TFT7_Yone,"None, None, None",1340,4.49
TFT7_Zoe,"None, None, None",1200,4.64
TFT7_Zoe,"None, None, StatikkShiv",12,4.83
TFT7_Zoe,"None, None, SpearOfShojin",14,5.21
