unit,items,value_count,average_placement
TFT7_AoShin,"GuinsoosRageblade, HextechGunblade, SpearOfShojin",12,2.67
TFT7_AoShin,"Bloodthirster, DragonmancerEmblemItem, JeweledGauntlet",17,2.71
TFT7_AoShin,"ArchangelsStaff, GuinsoosRageblade, SpearOfShojin",29,3.07
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",32,3.22
TFT7_AoShin,"GuinsoosRageblade, SpearOfShojin, UnstableConcoction",14,3.29
TFT7_Aphelios,"Deathblade, LastWhisper, ZekesHerald",13,2.85
TFT7_Aphelios,"InfinityEdge, LastWhisper, ZekesHerald",35,2.86
TFT7_Aphelios,"ZekesHerald, ZekesHerald, ZekesHerald",25,2.88
TFT7_Aphelios,"None, None, Shroud",14,3.29
TFT7_Aphelios,"FrozenHeart, None, Shroud",20,3.4
TFT7_AquaticDragon,"ArchangelsStaff, HextechGunblade, MadredsBloodrazor",14,3.64
TFT7_AquaticDragon,"JeweledGauntlet, Morellonomicon, SeraphsEmbrace",56,3.7
TFT7_AquaticDragon,"ArchangelsStaff, HextechGunblade, Morellonomicon",17,3.71
TFT7_AquaticDragon,"MadredsBloodrazor, Morellonomicon, SeraphsEmbrace",38,3.95
TFT7_AquaticDragon,"HextechGunblade, RabadonsDeathcap, SeraphsEmbrace",33,4.06
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, JeweledGauntlet",17,3.94
TFT7_AurelionSol,"ArchangelsStaff, InfinityEdge, JeweledGauntlet",27,4.04
TFT7_AurelionSol,"None, None, SpearOfShojin",16,4.19
TFT7_AurelionSol,"InfinityEdge, JeweledGauntlet, SpearOfShojin",18,4.28
TFT7_AurelionSol,"ArchangelsStaff, MageEmblemItem, SpearOfShojin",13,4.31
TFT7_Bard,"EmptyBag, EmptyBag, ThiefsGloves",18,1.0
TFT7_Bard,"None, None, Quicksilver",36,2.67
TFT7_Bard,"None, Shroud, SpearOfShojin",12,2.75
TFT7_Bard,"GuinsoosRageblade, None, None",70,2.8
TFT7_Bard,"None, None, Shroud",180,2.83
TFT7_Braum,"None, None, Zephyr",49,3.39
TFT7_Braum,"None, None, Shroud",48,3.46
TFT7_Braum,"None, None, TearOfTheGoddess",14,3.5
TFT7_Braum,"None, RedBuff, WarmogsArmor",14,3.86
TFT7_Braum,"BrambleVest, None, None",32,3.91
TFT7_Diana,"InfinityEdge, IonicSpark, UnstableConcoction",16,2.75
TFT7_Diana,"IonicSpark, JeweledGauntlet, RedBuff",14,2.79
TFT7_Diana,"HextechGunblade, IonicSpark, RedBuff",17,3.06
TFT7_Diana,"ArchangelsStaff, IonicSpark, RedBuff",19,3.16
TFT7_Diana,"InfinityEdge, IonicSpark, RedBuff",22,3.18
TFT7_DragonBlue,"ArchangelsStaff, JeweledGauntlet, RapidFireCannon",14,2.86
TFT7_DragonBlue,"JeweledGauntlet, MadredsBloodrazor, StatikkShiv",17,3.12
