placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Ezreal_item2,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_Kayn,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_LeeSin_item2,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nidalee_item1,TFT7_Nidalee_item2,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Sejuani_item1,TFT7_Sejuani_item2,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Senna_item2,TFT7_Sett,TFT7_Sett_item0,TFT7_Sett_item1,TFT7_Sett_item2,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Skarner_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,TFT7_Twitch_item2,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2,_id
1,KR_6053736645,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_Diversify1,TFT6_Augment_PortableForge,,2.0,1.0,1.0,,,1.0,,1.0,,1.0,,,2.0,,2.0,,,,,0.0,1.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,2.0,MageEmblemItem,Morellonomicon,Bloodthirster,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,RapidFireCannon,SpearOfShojin,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,Deathblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,OrnnEternalWinter,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,SpearOfShojin,ArchangelsStaff,RabadonsDeathcap,KR_6053736645-EtjxCvh17sRv3oOULLmfJWcFIApmWJNTrKdaeTEvoYqt7j-hT8znW-owDNkdUL34jPyrSfHsnl_UQQ
6,KR_6053736645,TFT6_Augment_Weakspot,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_Diversify2,,,1.0,,,,1.0,,1.0,,1.0,2.0,0.0,,,2.0,,0.0,,1.0,,,1.0,,,0.0,,,,,,,2.0,JeweledGauntlet,InfinityEdge,ArchangelsStaff,,,,,,,,,,,,,1.0,SeraphsEmbrace,,,,,,,,,,,,,,,,,,,,,,,2.0,RunaansHurricane,TitansResolve,Deathblade,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,RedBuff,DragonsClaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KR_6053736645-nQ9EHgfZ8me0Ov9Nl07SFqYCtitxy2NuaorLCsYhYf4hNWhkW-xi6pWz5aqOrYkKX4pr6RHAP9TyxA
3,KR_6053736645,TFT6_Augment_Electrocharge1,TFT6_Augment_Weakspot,TFT6_Augment_PortableForge,0.0,,1.0,1.0,,,1.0,0.0,,,1.0,,0.0,,0.0,0.0,0.0,,,,,,,,3.0,,1.0,,,,,,,,,,1.0,UnstableConcoction,StatikkShiv,OrnnMuramana,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ChainVest,Chalice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,,,,,,,2.0,FrozenHeart,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,GuardianAngel,MadredsBloodrazor,Bloodthirster,,,,,,,,,KR_6053736645-Nt4R-ml-Dk0L77TpTojvk5BsIwYOW0a0EMHed4VCZ7IuvNb73bEmJ_mhuGij5tPvgAyDH8nPNnHIYg
4,KR_6053736645,TFT7_Augment_MysticTrait,TFT6_Augment_TinyTitans,TFT6_Augment_SecondWind2,,0.0,1.0,0.0,,,1.0,0.0,0.0,,1.0,,,1.0,0.0,3.0,1.0,,,1.0,0.0,1.0,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,SpearOfShojin,StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Morellonomicon,Bloodthirster,JeweledGauntlet,,,,,,,,,,,,,,,,,2.0,TitanicHydra,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,WarmogsArmor,GuardianAngel,,,,,,1.0,,,,KR_6053736645-YjjV3oHmqWImnleuZbeKuPkDCAukfAGcZXtQ4oreSulf6XD6qRwVHIzIgPCewl29CB6D6OGhCavnrg
8,KR_6053736645,TFT6_Augment_ThrillOfTheHunt1,TFT6_Augment_Recombobulator,TFT7_Augment_DragonHorde,,0.0,1.0,1.0,,,2.0,,0.0,,1.0,,,1.0,,2.0,,,,,0.0,1.0,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Bloodthirster,Quicksilver,Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,GargoyleStoneplate,TitanicHydra,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,StatikkShiv,,,KR_6053736645-L9wH7zq1kQle3XU8HJifsbRKnh7QZpgFxmmEYxaa517XM0JIq0IQ_K3VBlWKqeVm_VH7O2mcYxBm7Q
2,KR_6053736645,TFT7_Augment_AFK,TFT6_Augment_CelestialBlessing1,TFT6_Augment_ComponentGrabBag,0.0,,1.0,,,,1.0,0.0,1.0,,1.0,1.0,0.0,,1.0,1.0,1.0,,,1.0,,,1.0,,,0.0,0.0,0.0,,,,,2.0,Morellonomicon,MirageEmblemItem,MadredsBloodrazor,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,WarmogsArmor,WarmogsArmor,TitansResolve,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bloodthirster,TitansResolve,UnstableConcoction,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitansResolve,Bloodthirster,Quicksilver,,,,,,,,,KR_6053736645-NLDbYHyOWzgq25rq84zGEi_hAclmm20xXW1JqmWJ6_ufiH78iEuZch9ykpHPyhUjlr7ZEJpn0s-xzw
7,KR_6053736645,TFT6_Augment_MakeshiftArmor1,TFT6_Augment_ItemGrabBag1,TFT7_Augment_PandorasBench,,,,,,3.0,1.0,0.0,,,1.0,,,0.0,3.0,,0.0,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,MadredsBloodrazor,UnstableConcoction,,,,,,,,,,,,,,,,,,,,,,,,,1.0,RecurveBow,MirageEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Bloodthirster,TitansResolve,Bloodthirster,2.0,,,,,,,,KR_6053736645-3jtUS-nY0LQbi-OP3qnEZYylaogjpKQxVE1KUfuwUSm9jGymlbVy_kVcxeql533m4-6spLnk91L8AQ
5,KR_6053736645,TFT6_Augment_Weakspot,TFT6_Augment_Meditation1,TFT7_Augment_UrfsGrabBag1,,,,1.0,1.0,,1.0,,1.0,,,,,0.0,,0.0,,1.0,,,0.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,UnstableConcoction,SeraphsEmbrace,Quicksilver,,,,,,,,,,,,,,,,,2.0,Bloodthirster,MadredsBloodrazor,Quicksilver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GuardianAngel,,,,,,,,,,,1.0,GiantsBelt,,,,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,2.0,Deathblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,KR_6053736645-AiiUrjgX1kmxDNZu5QQKdO2OR550RE5Tr1Ba5sGucAgpshS-fUqtfrg0gkE6r-71EH_dNaGgSVKdJQ
2,KR_6053851823,TFT6_Augment_Electrocharge2,TFT6_Augment_RadiantRelics,TFT6_Augment_ComponentGrabBag,1.0,,1.0,1.0,,,1.0,0.0,0.0,,2.0,,,0.0,0.0,1.0,,,,,,,,,,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Bloodthirster,GuardianAngelRadiant,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TearOfTheGoddess,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ArchangelsStaff,UnstableConcoction,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Shroud,IonicSpark,,,,,,2.0,WhispersEmblemItem,InfinityEdge,HextechGunblade,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,Bloodthirster,MadredsBloodrazor,,,,,,,,,KR_6053851823-NLDbYHyOWzgq25rq84zGEi_hAclmm20xXW1JqmWJ6_ufiH78iEuZch9ykpHPyhUjlr7ZEJpn0s-xzw
1,KR_6053851823,TFT6_Augment_ThrillOfTheHunt2,TFT6_Augment_RadiantRelics,TFT7_Augment_GadgetExpert,,,1.0,1.0,,,1.0,,0.0,,1.0,0.0,0.0,1.0,,1.0,,,,,0.0,1.0,1.0,,2.0,1.0,,0.0,,,,,,,,,1.0,Morellonomicon,SpearOfShojin,ArchangelsStaff,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Chalice,Chalice,Chalice,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ZekesHerald,InfinityEdge,,,,,,2.0,WarmogsArmor,TrapClawRadiant,,,,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,HextechGunblade,StatikkShiv,Bloodthirster,KR_6053851823-EtjxCvh17sRv3oOULLmfJWcFIApmWJNTrKdaeTEvoYqt7j-hT8znW-owDNkdUL34jPyrSfHsnl_UQQ
