unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, Zephyr",12,3.5
TFT7_Aatrox,"None, None, None",15504,4.5
TFT7_Aatrox,"None, None, ShimmerscaleDeterminedInvestor",14,7.0
TFT7_Anivia,"ArchangelsStaff, GuinsoosRageblade, Morellonomicon",13,3.0
TFT7_Anivia,"HextechGunblade, JeweledGauntlet, None",12,3.0
TFT7_Anivia,"ArchangelsStaff, Bloodthirster, Morellonomicon",12,3.17
TFT7_Anivia,"Morellonomicon, SpearOfShojin, StatikkShiv",12,3.25
TFT7_Anivia,"ArchangelsStaff, MadredsBloodrazor, Morellonomicon",35,3.31
TFT7_AoShin,"ArchangelsStaff, RabadonsDeathcap, SpearOfShojin",21,2.81
TFT7_AoShin,"ArchangelsStaff, Morellonomicon, SpearOfShojin",12,3.25
TFT7_AoShin,"ArchangelsStaff, ArchangelsStaff, SpearOfShojin",18,3.28
TFT7_AoShin,"HextechGunblade, JeweledGauntlet, SpearOfShojin",22,3.32
TFT7_AoShin,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",53,3.36
TFT7_Ashe,"None, None, Shroud",21,3.67
TFT7_Ashe,"LastWhisper, None, None",13,4.15
TFT7_Ashe,"None, None, StatikkShiv",25,4.2
TFT7_Ashe,"None, None, Zephyr",17,4.29
TFT7_Ashe,"Morellonomicon, None, None",15,4.4
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, Morellonomicon",26,3.12
TFT7_AurelionSol,"ArchangelsStaff, JeweledGauntlet, MadredsBloodrazor",20,3.3
TFT7_AurelionSol,"ArchangelsStaff, MadredsBloodrazor, MageEmblemItem",18,3.44
TFT7_AurelionSol,"ArchangelsStaff, MadredsBloodrazor, UnstableConcoction",12,3.5
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, JeweledGauntlet",29,3.55
TFT7_Bard,"None, None, Quicksilver",21,2.62
TFT7_Bard,"None, None, RunaansHurricane",21,2.86
TFT7_Bard,"LastWhisper, None, None",22,2.95
TFT7_Bard,"None, None, Zephyr",92,3.0
TFT7_Bard,"DragonmancerEmblemItem, None, None",12,3.0
TFT7_Braum,"None, None, Zephyr",17,4.12
TFT7_Braum,"None, None, None",15029,4.5
TFT7_Braum,"None, None, TitanicHydra",31,5.13
TFT7_Braum,"GargoyleStoneplate, None, WarmogsArmor",14,5.43
TFT7_Braum,"None, None, RedBuff",16,5.62
TFT7_Corki,"GuinsoosRageblade, StatikkShiv, StatikkShiv",13,3.08
TFT7_Corki,"GuinsoosRageblade, RunaansHurricane, UnstableConcoction",19,3.16
TFT7_Corki,"GuardianAngel, GuinsoosRageblade, MadredsBloodrazor",17,3.18
TFT7_Corki,"GuinsoosRageblade, RunaansHurricane, StatikkShiv",17,3.29
TFT7_Corki,"MadredsBloodrazor, SpearOfShojin, StatikkShiv",12,3.42
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",85,3.92
TFT7_Diana,"None, None, None",15077,4.5
TFT7_Diana,"FrozenHeart, IonicSpark, None",15,4.73
TFT7_Diana,"IonicSpark, None, RedBuff",13,5.08
TFT7_Diana,"FrozenHeart, None, RedBuff",16,5.31
TFT7_DragonBlue,"ArchangelsStaff, MadredsBloodrazor, UnstableConcoction",19,2.95
TFT7_DragonBlue,"ArchangelsStaff, HextechGunblade, MadredsBloodrazor",13,3.0
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, HextechGunblade",15,3.07
TFT7_DragonBlue,"Quicksilver, RevelEmblemItem, StatikkShiv",15,3.2
TFT7_DragonBlue,"GuinsoosRageblade, HextechGunblade, Quicksilver",14,3.21
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, Redemption",12,3.42
TFT7_DragonGold,"DragonsClaw, RedBuff, WarmogsArmor",14,3.57
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, WarmogsArmor",36,3.72
TFT7_DragonGold,"BrambleVest, GargoyleStoneplate, RedBuff",16,3.94
TFT7_DragonGold,"GargoyleStoneplate, Redemption, WarmogsArmor",12,4.08
TFT7_DragonGreen,"InfinityEdge, TitansResolve, UnstableConcoction",13,3.15
TFT7_DragonGreen,"Bloodthirster, RunaansHurricane, TitansResolve",26,3.19
TFT7_DragonGreen,"GuardianAngel, HextechGunblade, TitansResolve",12,3.33
TFT7_DragonGreen,"GuardianAngel, TitansResolve, UnstableConcoction",40,3.38
TFT7_DragonGreen,"Bloodthirster, RapidFireCannon, TitansResolve",15,3.6
TFT7_DragonPurple,"GuardianAngel, InfinityEdge, UnstableConcoction",12,2.75
TFT7_DragonPurple,"Bloodthirster, RunaansHurricane, TitansResolve",16,3.19
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, Quicksilver",20,3.25
TFT7_DragonPurple,"Bloodthirster, TitansResolve, TitansResolve",71,3.58
TFT7_DragonPurple,"InfinityEdge, TitansResolve, UnstableConcoction",19,3.63
TFT7_Elise,"None, None, None",15235,4.5
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",82,4.84
TFT7_Ezreal,"None, None, None",15571,4.49
TFT7_Gnar,"None, None, TitanicHydra",50,3.46
TFT7_Gnar,"None, None, Zephyr",54,3.61
TFT7_Gnar,"LocketOfTheIronSolari, None, None",20,3.85
TFT7_Gnar,"ChainVest, None, None",20,3.95
TFT7_Gnar,"None, None, Shroud",65,4.05
TFT7_Hecarim,"None, None, Redemption",14,3.07
TFT7_Hecarim,"FrozenHeart, None, None",16,3.38
TFT7_Hecarim,"None, None, Zephyr",18,3.39
TFT7_Hecarim,"None, None, PowerGauntlet",15,3.6
TFT7_Hecarim,"IonicSpark, None, None",15,3.67
TFT7_Heimerdinger,"MysticEmblemItem, None, None",24,3.21
TFT7_Heimerdinger,"None, None, Shroud",53,3.7
TFT7_Heimerdinger,"None, None, Zephyr",39,3.74
TFT7_Heimerdinger,"ForceOfNature, None, None",16,4.0
TFT7_Heimerdinger,"None, None, None",15248,4.52
TFT7_Illaoi,"None, None, None",14615,4.49
TFT7_Illaoi,"None, None, TitanicHydra",53,5.04
TFT7_Illaoi,"None, None, RedBuff",25,5.32
TFT7_Illaoi,"GargoyleStoneplate, None, None",16,5.56
