placement,group,comp,grp_count,grp_placement,mode
1,0,"DragonEarth, Kaisa, LeeSin, Soraka, Yasuo, Yone, TFT7b_Volibear",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
5,0,"AurelionSol, Bard, DragonEarth, DragonGold, Seraphine, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
1,0,"Bard, DragonEarth, DragonPurple, Jax, Soraka, Sylas, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
7,0,"AurelionSol, DragonEarth, NomsyEvoker, Soraka, Zoe, TFT7b_Lulu",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"AoShin, Bard, DragonEarth, Shyvana, Soraka, Sylas",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"DragonEarth, DragonPurple, Pantheon, Soraka, Sylas, Zyra",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"DragonBlue, DragonEarth, DragonGold, Shyvana, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
1,0,"AoShin, Bard, DragonEarth, Graves, Rakan, Soraka, Zoe",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
2,0,"AurelionSol, Bard, DragonEarth, Soraka, Twitch, Varus",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"AoShin, AquaticDragon, DragonEarth, Shyvana, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
7,0,"AquaticDragon, DragonEarth, DragonPurple, DragonSwain, Pantheon, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
6,0,"AoShin, DragonEarth, Graves, Rakan, Soraka, Zoe",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
5,0,"Bard, Diana, DragonEarth, Hecarim, Nilah, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
1,0,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
4,0,"AoShin, Bard, DragonEarth, Graves, Rakan, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
5,0,"AoShin, Bard, DragonEarth, Jayce, Soraka, Zoe",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
1,0,"Bard, DragonEarth, DragonGreen, Gnar, Seraphine, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
2,0,"DragonEarth, DragonGreen, Gnar, Rakan, Shyvana, Soraka",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
7,0,"AurelionSol, Bard, DragonEarth, Rakan, Seraphine, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
8,0,"DragonEarth, DragonPurple, Pantheon, Soraka, Sylas, Zyra",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
1,0,"Bard, DragonEarth, Jayce, Shyvana, Soraka, Xayah, Zoe",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
5,0,"AoShin, Bard, DragonEarth, Graves, Soraka, Yasuo",236,3.3,"AoShin, Bard, DragonEarth, LeeSin, Rakan, Soraka, Yasuo"
