augment2_grp,Value_Count,average_placement
TFT6_Augment_Traitless1,1,1.0
TFT7_Augment_EvokerEmblem2,2,2.0
TFT7_Augment_Preparation2HR,1,2.0
TFT7_Augment_ScalescornEmblem2,4,2.5
TFT7_Augment_WarriorTrait,3,3.0
TFT7_Augment_RagewingTrait2,2,3.0
TFT7_Augment_JadeEternalProtection,3,3.33
TFT7_Augment_ScalescornBaseCamp,41,3.39
TFT7_Augment_CannoneerTrait,14,3.43
TFT7_Augment_GuardianHeroicPresence,25,3.52
TFT7_Augment_DarkflightEmblem2,8,3.62
TFT7_Augment_ShimmerscaleEmblem,3,3.67
TFT7_Augment_CannoneerEmblem2,14,3.71
TFT7_Augment_MirageTrait,14,3.71
TFT6_Augment_CyberneticUplink3,18,3.72
TFT6_Augment_CyberneticShell1,16,3.75
TFT7_Augment_BruiserTitanicStrength,18,3.78
TFT6_Augment_BinaryAirdrop,13,3.85
TFT7_Augment_WarriorTiamat,17,3.88
TFT6_Augment_CelestialBlessing3,68,3.9
TFT7_Augment_ShapeshifterBeastsDen,10,3.9
TFT7_Augment_DragonmancerEmblem2,30,3.9
TFT7_Augment_MirageEmblem2,14,3.93
TFT6_Augment_CyberneticImplants3,24,3.96
TFT6_Augment_Traitless2,2,4.0
TFT7_Augment_LagoonEmblem2,8,4.0
TFT7_Augment_RagewingTantrum,47,4.0
TFT7_Augment_BandOfThieves1,46,4.02
TFT7_Augment_CannoneerEmblem,74,4.04
TFT7_Augment_GuildEmblem2,23,4.04
TFT7_Augment_MirageEmblem,76,4.05
TFT7_Augment_MikaelsGift,202,4.05
TFT7_Augment_DarkflightEmblem,58,4.05
TFT6_Augment_BlueBattery1,22,4.09
TFT7_Augment_AstralIntercosmicProtection,34,4.12
TFT7_Augment_SwiftshotPressTheAttack,119,4.13
TFT7_Augment_TomeOfTraits2,43,4.16
TFT6_Augment_ItemGrabBag2,25,4.16
TFT7_Augment_UrfsGrabBag2,66,4.17
TFT6_Augment_CelestialBlessing2,423,4.17
TFT7_Augment_DarkflightTrait,17,4.18
TFT6_Augment_WindfallPlusPlus,77,4.18
TFT7_Augment_ScalescornTrait,11,4.18
TFT6_Augment_Battlemage3,17,4.18
TFT7_Augment_DragonmancerEmblem,104,4.19
TFT7_Augment_CavalierEmblem,177,4.2
TFT7_Augment_MysticTrait,9,4.22
TFT7_Augment_CannoneerHotShot,74,4.23
TFT7_Augment_BestFriends2,102,4.25
TFT6_Augment_Distancing2,52,4.25
TFT7_Augment_BigFriend2,59,4.25
TFT7_Augment_CavalierEmblem2,20,4.25
TFT7_Augment_GuildTrait,20,4.25
TFT6_Augment_CyberneticUplink2,143,4.26
TFT7_Augment_CavalierForAllUnits,26,4.27
TFT6_Augment_Ascension,315,4.29
TFT6_Augment_Distancing3,13,4.31
TFT6_Augment_PortableForge,448,4.31
TFT6_Augment_SecondWind1,104,4.32
TFT6_Augment_CyberneticShell2,66,4.33
TFT7_Augment_BigFriend,12,4.33
TFT7_Augment_ShapeshifterTrait2,3,4.33
TFT7_Augment_CannoneerRicochet,92,4.33
TFT6_Augment_Diversify1,30,4.33
TFT6_Augment_Featherweights3,3,4.33
TFT6_Augment_TriForce2,3,4.33
TFT7_Augment_LagoonOasis,59,4.34
TFT6_Augment_TheGoldenEgg,83,4.34
TFT6_Augment_WoodlandCharm,20,4.35
TFT7_Augment_ScalescornEmblem,58,4.36
TFT7_Augment_ThinkFast,47,4.38
TFT7_Augment_FirstAidKit2,99,4.39
TFT6_Augment_SunfireBoard,147,4.39
TFT6_Augment_CyberneticImplants2,93,4.39
TFT7_Augment_GuardianTrait,10,4.4
TFT7_Augment_DragonmancerInTraining,73,4.41
TFT7_Augment_AxiomArc2,233,4.42
TFT6_Augment_FirstAidKit,19,4.42
TFT6_Augment_Weakspot,91,4.43
TFT6_Augment_ThrillOfTheHunt1,93,4.44
TFT6_Augment_CelestialBlessing1,62,4.44
TFT7_Augment_GuildEmblem,117,4.46
TFT6_Augment_MaxLevel10,96,4.46
TFT7_Augment_LuckyGloves,30,4.47
TFT6_Augment_SecondWind2,324,4.47
TFT7_Augment_UrfsGrabBag1,334,4.48
TFT6_Augment_JeweledLotus,295,4.5
TFT6_Augment_HighEndShopping,115,4.5
TFT6_Augment_Diversify3,41,4.51
TFT7_Augment_WhispersTerrify,37,4.51
TFT7_Augment_CavalierTrait,36,4.53
TFT7_Augment_TempestEmblem,20,4.55
TFT7_Augment_MageTrait,7,4.57
TFT6_Augment_Diversify2,158,4.57
TFT6_Augment_BlueBattery2,25,4.6
TFT6_Augment_ComponentGrabBag,433,4.61
TFT6_Augment_MeleeStarBlade2,52,4.62
TFT6_Augment_BandOfThieves2,39,4.62
TFT7_Augment_RagewingTrait,8,4.62
TFT6_Augment_Battlemage2,70,4.63
TFT7_Augment_RagewingScorch,42,4.64
TFT6_Augment_ItemGrabBag1,68,4.66
TFT6_Augment_ThrillOfTheHunt2,484,4.67
TFT6_Augment_MeleeStarBlade3,12,4.67
TFT7_Augment_ScopedWeapons1,119,4.68
TFT6_Augment_SalvageBin,126,4.69
TFT7_Augment_WarriorEmblem,26,4.73
TFT6_Augment_GachaAddict,72,4.74
TFT6_Augment_CyberneticUplink1,32,4.75
TFT7_Augment_WarriorEmblem2,4,4.75
TFT7_Augment_MageEmblem,58,4.76
TFT7_Augment_LagoonEmblem,53,4.77
TFT7_Augment_GadgetExpert,87,4.78
TFT7_Augment_LagoonTrait,9,4.78
TFT6_Augment_ForceOfNature,71,4.79
TFT7_Augment_MageEssenceTheft,42,4.79
TFT7_Augment_MageEmblem2,10,4.8
TFT7_Augment_SwiftshotEmblem,64,4.84
TFT6_Augment_Battlemage1,13,4.85
TFT7_Augment_BestFriends1,20,4.85
TFT6_Augment_CyberneticShell3,13,4.85
TFT6_Augment_RadiantRelics,102,4.86
TFT7_Augment_JadeTrait,7,4.86
TFT7_Augment_DragonImperialist,111,4.86
TFT6_Augment_CyberneticImplants1,15,4.87
TFT6_Augment_GrandGambler,52,4.88
TFT6_Augment_Distancing,9,4.89
TFT7_Augment_AxiomArc1,47,4.91
TFT6_Augment_TomeOfTraits1,289,4.92
TFT7_Augment_PandorasBench,190,4.92
TFT7_Augment_ShimmerscaleTrait,13,4.92
TFT7_Augment_CavalierDevastatingCharge,58,4.93
TFT7_Augment_SwiftshotTrait,16,4.94
TFT7_Augment_ScopedWeapons2,20,4.95
TFT7_Augment_CursedCrown,34,4.97
TFT6_Augment_PandorasItems,45,4.98
TFT7_Augment_BruiserEmblem2,3,5.0
TFT7_Augment_LagoonHighTide,61,5.0
TFT6_Augment_FuturePeepers2,8,5.0
TFT6_Augment_MeleeStarBlade1,13,5.0
TFT7_Augment_AssassinTrait,2,5.0
TFT7_Augment_JadePenitence,6,5.0
TFT7_Augment_TempestEyeOfTheStorm,39,5.03
TFT7_Augment_GuildGearUpgrades,43,5.07
TFT6_Augment_VerdantVeil,60,5.1
TFT7_Augment_SwiftshotEmblem2,7,5.14
TFT7_Augment_BestFriends3,20,5.15
TFT6_Augment_Recombobulator,19,5.16
TFT7_Augment_MirageHallucinate,36,5.17
TFT7_Augment_AssassinCutthroat,5,5.2
TFT7_Augment_ShimmerscaleSpending,5,5.2
TFT7_Augment_GuardianEmblem2,5,5.2
TFT7_Augment_DragonTrait2,18,5.22
TFT7_Augment_EvokerEmblem,20,5.25
TFT7_Augment_AgeOfDragons,16,5.31
TFT7_Augment_TempestTrait,6,5.33
TFT7_Augment_BruiserTrait,3,5.33
TFT7_Augment_GuardianEmblem,36,5.39
TFT7_Augment_WhispersTrait,5,5.4
TFT7_Augment_BruiserEmblem,12,5.5
TFT7_Augment_AssassinEmblem2,2,5.5
TFT6_Augment_TheGoldenEggHR,2,5.5
TFT6_Augment_FuturePeepers,33,5.73
TFT6_Augment_Featherweights2,1,6.0
TFT7_Augment_TempestEmblem2,2,6.0
TFT7_Augment_DarkflightSoulSiphon,3,6.67
TFT7_Augment_ShimmerscaleTrait2,1,7.0
TFT7_Augment_ShapeshifterTrait,1,7.0
None,70,7.8
