unit,items,value_count,average_placement
TFT7_AoShin,"ArchangelsStaff, MadredsBloodrazor, SpearOfShojin",33,3.0
TFT7_AoShin,"Bloodthirster, DragonmancerEmblemItem, UnstableConcoction",17,3.29
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",55,3.4
TFT7_AoShin,"HextechGunblade, JeweledGauntlet, SpearOfShojin",14,3.93
TFT7_AoShin,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",38,4.13
TFT7_Aphelios,"GuinsoosRageblade, ZekesHerald, ZekesHerald",17,3.41
TFT7_Aphelios,"LastWhisper, ZekesHerald, ZekesHerald",54,3.46
TFT7_Aphelios,"LastWhisper, UnstableConcoction, ZekesHerald",23,3.61
TFT7_Aphelios,"LastWhisper, PowerGauntlet, ZekesHerald",14,3.86
TFT7_Aphelios,"InfinityEdge, LastWhisper, ZekesHerald",40,3.88
TFT7_AquaticDragon,"HextechGunblade, Morellonomicon, SeraphsEmbrace",31,3.68
TFT7_AquaticDragon,"MadredsBloodrazor, Morellonomicon, SeraphsEmbrace",36,3.83
TFT7_AquaticDragon,"JeweledGauntlet, Morellonomicon, SeraphsEmbrace",72,4.03
TFT7_AquaticDragon,"ArchangelsStaff, Morellonomicon, SeraphsEmbrace",48,4.21
TFT7_AquaticDragon,"ArchangelsStaff, RabadonsDeathcap, SeraphsEmbrace",12,4.33
TFT7_AurelionSol,"None, None, None",9720,4.5
TFT7_Bard,"None, None, Zephyr",74,3.19
TFT7_Bard,"None, None, Shroud",43,3.21
TFT7_Bard,"None, None, StatikkShiv",86,3.36
TFT7_Bard,"None, None, SwiftshotEmblemItem",44,3.45
TFT7_Bard,"DragonmancerEmblemItem, None, None",37,3.46
TFT7_Braum,"None, None, Shroud",13,3.08
TFT7_Braum,"None, None, TitanicHydra",24,4.42
TFT7_Braum,"None, None, None",9736,4.51
TFT7_Braum,"None, None, Redemption",13,5.23
TFT7_Diana,"IonicSpark, RedBuff, UnstableConcoction",18,4.06
TFT7_Diana,"IonicSpark, None, RedBuff",18,4.39
TFT7_Diana,"None, None, None",9467,4.52
TFT7_Diana,"None, None, RedBuff",14,5.07
TFT7_Diana,"IonicSpark, None, None",18,5.5
TFT7_DragonBlue,"ArchangelsStaff, ArchangelsStaff, MadredsBloodrazor",14,3.14
TFT7_DragonBlue,"ArchangelsStaff, MadredsBloodrazor, UnstableConcoction",26,3.5
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, HextechGunblade",19,3.53
TFT7_DragonBlue,"ArchangelsStaff, HextechGunblade, MadredsBloodrazor",31,3.74
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, MadredsBloodrazor",93,3.92
