placement,match_id,augment0,augment1,augment2,Set7_Assassin,Set7_Astral,Set7_Bard,Set7_Bruiser,Set7_Cannoneer,Set7_Cavalier,Set7_Dragon,Set7_Dragonmancer,Set7_Evoker,Set7_Guardian,Set7_Guild,Set7_Jade,Set7_Legend,Set7_Mage,Set7_Mirage,Set7_Mystic,Set7_Ragewing,Set7_Revel,Set7_Scalescorn,Set7_Shapeshifter,Set7_Shimmerscale,Set7_SpellThief,Set7_Starcaller,Set7_Swiftshot,Set7_Tempest,Set7_Trainer,Set7_Warrior,Set7_Whispers,TFT7_Aatrox,TFT7_Aatrox_item0,TFT7_Aatrox_item1,TFT7_Aatrox_item2,TFT7_Anivia,TFT7_Anivia_item0,TFT7_Anivia_item1,TFT7_Anivia_item2,TFT7_AoShin,TFT7_AoShin_item0,TFT7_AoShin_item1,TFT7_AoShin_item2,TFT7_Ashe,TFT7_Ashe_item0,TFT7_Ashe_item1,TFT7_Ashe_item2,TFT7_AurelionSol,TFT7_AurelionSol_item0,TFT7_AurelionSol_item1,TFT7_AurelionSol_item2,TFT7_Bard,TFT7_Bard_item0,TFT7_Bard_item1,TFT7_Bard_item2,TFT7_Braum,TFT7_Braum_item0,TFT7_Braum_item1,TFT7_Braum_item2,TFT7_Corki,TFT7_Corki_item0,TFT7_Corki_item1,TFT7_Corki_item2,TFT7_Diana,TFT7_Diana_item0,TFT7_Diana_item1,TFT7_Diana_item2,TFT7_DragonBlue,TFT7_DragonBlue_item0,TFT7_DragonBlue_item1,TFT7_DragonBlue_item2,TFT7_DragonGold,TFT7_DragonGold_item0,TFT7_DragonGold_item1,TFT7_DragonGold_item2,TFT7_DragonGreen,TFT7_DragonGreen_item0,TFT7_DragonGreen_item1,TFT7_DragonGreen_item2,TFT7_DragonPurple,TFT7_DragonPurple_item0,TFT7_DragonPurple_item1,TFT7_DragonPurple_item2,TFT7_Elise,TFT7_Elise_item0,TFT7_Elise_item1,TFT7_Elise_item2,TFT7_Ezreal,TFT7_Ezreal_item0,TFT7_Ezreal_item1,TFT7_Ezreal_item2,TFT7_Gnar,TFT7_Gnar_item0,TFT7_Gnar_item1,TFT7_Gnar_item2,TFT7_Hecarim,TFT7_Hecarim_item0,TFT7_Hecarim_item1,TFT7_Hecarim_item2,TFT7_Heimerdinger,TFT7_Heimerdinger_item0,TFT7_Heimerdinger_item1,TFT7_Heimerdinger_item2,TFT7_Illaoi,TFT7_Illaoi_item0,TFT7_Illaoi_item1,TFT7_Illaoi_item2,TFT7_Jinx,TFT7_Jinx_item0,TFT7_Jinx_item1,TFT7_Jinx_item2,TFT7_Karma,TFT7_Karma_item0,TFT7_Karma_item1,TFT7_Karma_item2,TFT7_Kayn,TFT7_Kayn_item0,TFT7_Kayn_item1,TFT7_Kayn_item2,TFT7_LeeSin,TFT7_LeeSin_item0,TFT7_LeeSin_item1,TFT7_LeeSin_item2,TFT7_Leona,TFT7_Leona_item0,TFT7_Leona_item1,TFT7_Leona_item2,TFT7_Lillia,TFT7_Lillia_item0,TFT7_Lillia_item1,TFT7_Lillia_item2,TFT7_Lulu,TFT7_Lulu_item0,TFT7_Lulu_item1,TFT7_Lulu_item2,TFT7_Nami,TFT7_Nami_item0,TFT7_Nami_item1,TFT7_Nami_item2,TFT7_Neeko,TFT7_Neeko_item0,TFT7_Neeko_item1,TFT7_Neeko_item2,TFT7_Nidalee,TFT7_Nidalee_item0,TFT7_Nidalee_item1,TFT7_Nidalee_item2,TFT7_Nunu,TFT7_Nunu_item0,TFT7_Nunu_item1,TFT7_Nunu_item2,TFT7_Olaf,TFT7_Olaf_item0,TFT7_Olaf_item1,TFT7_Olaf_item2,TFT7_Ornn,TFT7_Ornn_item0,TFT7_Ornn_item1,TFT7_Ornn_item2,TFT7_Pyke,TFT7_Pyke_item0,TFT7_Pyke_item1,TFT7_Pyke_item2,TFT7_Qiyana,TFT7_Qiyana_item0,TFT7_Qiyana_item1,TFT7_Qiyana_item2,TFT7_Ryze,TFT7_Ryze_item0,TFT7_Ryze_item1,TFT7_Ryze_item2,TFT7_Sejuani,TFT7_Sejuani_item0,TFT7_Sejuani_item1,TFT7_Sejuani_item2,TFT7_Senna,TFT7_Senna_item0,TFT7_Senna_item1,TFT7_Senna_item2,TFT7_Sett,TFT7_Sett_item0,TFT7_Sett_item1,TFT7_Sett_item2,TFT7_Shen,TFT7_Shen_item0,TFT7_Shen_item1,TFT7_Shen_item2,TFT7_Shyvana,TFT7_Shyvana_item0,TFT7_Shyvana_item1,TFT7_Shyvana_item2,TFT7_Skarner,TFT7_Skarner_item0,TFT7_Skarner_item1,TFT7_Skarner_item2,TFT7_Sona,TFT7_Sona_item0,TFT7_Sona_item1,TFT7_Sona_item2,TFT7_Soraka,TFT7_Soraka_item0,TFT7_Soraka_item1,TFT7_Soraka_item2,TFT7_Swain,TFT7_Swain_item0,TFT7_Swain_item1,TFT7_Swain_item2,TFT7_Sylas,TFT7_Sylas_item0,TFT7_Sylas_item1,TFT7_Sylas_item2,TFT7_TahmKench,TFT7_TahmKench_item0,TFT7_TahmKench_item1,TFT7_TahmKench_item2,TFT7_Talon,TFT7_Talon_item0,TFT7_Talon_item1,TFT7_Talon_item2,TFT7_Taric,TFT7_Taric_item0,TFT7_Taric_item1,TFT7_Taric_item2,TFT7_Thresh,TFT7_Thresh_item0,TFT7_Thresh_item1,TFT7_Thresh_item2,TFT7_TrainerDragon,TFT7_TrainerDragon_item0,TFT7_TrainerDragon_item1,TFT7_TrainerDragon_item2,TFT7_Tristana,TFT7_Tristana_item0,TFT7_Tristana_item1,TFT7_Tristana_item2,TFT7_Twitch,TFT7_Twitch_item0,TFT7_Twitch_item1,TFT7_Twitch_item2,TFT7_Varus,TFT7_Varus_item0,TFT7_Varus_item1,TFT7_Varus_item2,TFT7_Vladimir,TFT7_Vladimir_item0,TFT7_Vladimir_item1,TFT7_Vladimir_item2,TFT7_Volibear,TFT7_Volibear_item0,TFT7_Volibear_item1,TFT7_Volibear_item2,TFT7_Xayah,TFT7_Xayah_item0,TFT7_Xayah_item1,TFT7_Xayah_item2,TFT7_Yasuo,TFT7_Yasuo_item0,TFT7_Yasuo_item1,TFT7_Yasuo_item2,TFT7_Yone,TFT7_Yone_item0,TFT7_Yone_item1,TFT7_Yone_item2,TFT7_Zoe,TFT7_Zoe_item0,TFT7_Zoe_item1,TFT7_Zoe_item2,_id
7,NA1_4393464951,TFT6_Augment_ThrillOfTheHunt2,TFT6_Augment_TinyTitans,TFT6_Augment_PortableForge,,2.0,,1.0,,,1.0,,1.0,,,,,1.0,,1.0,,,,,0.0,1.0,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1.0,Quicksilver,Morellonomicon,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,OrnnEternalWinter,IonicSpark,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,Chalice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,TitanicHydra,,,,,,,,,,,,,,,,,,1.0,,,,NA1_4393464951-76kgp5BXzJkvJI7UfYejaFbDif-AZNWsfQet2E8BjxvKcPOX_uvrsIkMv_XPMs7QZdOZX2qBlTlO-w
5,NA1_4393464951,TFT6_Augment_SecondWind2,TFT6_Augment_SecondWind1,TFT7_Augment_MirageEmblem,,,,,,1.0,1.0,,,1.0,,0.0,,,3.0,,0.0,,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,GargoyleStoneplate,,,,,,,,,,,2.0,StatikkShiv,UnstableConcoction,TitansResolve,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,IonicSpark,Deathblade,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Zephyr,Shroud,,,,,,,,,,,,,,,,,,,,,,2.0,RedBuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA1_4393464951-wgvrKfcuCGDmgyrUmiXknS41acg6Y26hfQwsXNj_eJ86Tv8_Bb7SBOUVSQqI1JdyBSmq92XGDrGYHA
2,NA1_4393464951,TFT6_Augment_SecondWind2,TFT6_Augment_TinyTitans,TFT7_Augment_DragonAlliance,1.0,1.0,1.0,,,0.0,2.0,0.0,1.0,,2.0,0.0,,,0.0,1.0,0.0,,,,,,1.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,1.0,ArchangelsStaff,Morellonomicon,JeweledGauntlet,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,GargoyleStoneplate,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Redemption,,,,,,,,,,,,,,,2.0,Shroud,FrozenHeart,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitansResolve,,,,,,,,,,,NA1_4393464951-DQzVmgzBQT8jbUoJHR7yxGlok108y_IsXWmbjkolZXplgQ0n-y6sGzqSVf_nuyzFH_72V4ypiQXAnQ
3,NA1_4393464951,TFT6_Augment_TomeOfTraits1,TFT7_Augment_BruiserTrait,TFT7_Augment_RevelPartyFavors,,,1.0,1.0,1.0,0.0,1.0,,1.0,,1.0,,,,2.0,1.0,,4.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,UnstableConcoction,BFSword,,,,,,2.0,GuinsoosRageblade,Quicksilver,RevelEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,,2.0,RabadonsDeathcap,StatikkShiv,RapidFireCannon,,,,,,,,,,,,,1.0,Bloodthirster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,Morellonomicon,IonicSpark,,,,,,,,,,,,,2.0,RedBuff,GargoyleStoneplate,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA1_4393464951-NoTORU-p_6dt4-QvSrblsWJPR23VQYrOiy6rE8QXvr26g1y5dAuiXuVMnLRZg21FwXNKeLkRBby_3Q
1,NA1_4393464951,TFT6_Augment_SunfireBoard,TFT7_Augment_ShimmerscaleEmblem,TFT6_Augment_SecondWind2,,,1.0,0.0,,,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,,,3.0,1.0,,,,0.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,2.0,BruiserEmblemItem,ShimmerscaleHeartOfGold,LastWhisper,,,,,,,,,,,,,,,,,2.0,WarmogsArmor,GargoyleStoneplate,Redemption,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ShimmerscaleEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,StatikkShiv,ArchangelsStaff,HextechGunblade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,2.0,Shroud,,,,,,,2.0,LastWhisper,ShimmerscaleDravensAxe,ShimmerscaleGamblersBlade,,,,,2.0,ShimmerscaleGoldmancersStaff,GuinsoosRageblade,Morellonomicon,NA1_4393464951-YzfgNAk4lxZFuWiKRHdXF2kITVkDtMMtVwGjSJ8TJXftoGApGW9_U590OOIFYsqJEMLzOoVdEYTOog
6,NA1_4393464951,TFT6_Augment_Ascension,TFT6_Augment_PandorasItems,TFT7_Augment_BestFriends2,,,1.0,1.0,,0.0,,1.0,,,1.0,,0.0,,0.0,0.0,2.0,,,0.0,,,,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,RagewingEmblemItem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,TitansResolve,GuinsoosRageblade,Quicksilver,1.0,TitanicHydra,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,2.0,BFSword,,,1.0,Redemption,GuardianAngel,Bloodthirster,,,,,,,,,NA1_4393464951-bXwgJjur8-S4rCth4kK9s6FbPYnRpGkH-XbXPcSULREZ6sMuSlzL1bTSIIJ7HLHczBmT_HYWVYMLoA
4,NA1_4393464951,TFT6_Augment_TradeSector,TFT6_Augment_CyberneticShell1,TFT6_Augment_PortableForge,,,1.0,1.0,1.0,,,,1.0,,1.0,0.0,0.0,,,1.0,,2.0,,,,,1.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,OrnnObsidianCleaver,GuinsoosRageblade,InfinityEdge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,NeedlesslyLargeRod,LocketOfTheIronSolari,,,,,,,,,,,,,,,,,,,,,,2.0,TitanicHydra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Morellonomicon,GuinsoosRageblade,,1.0,Shroud,,,,,,,,,,,2.0,GargoyleStoneplate,,,,,,,,,,,,,,,4.0,TrainerSnax,None,None,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA1_4393464951-k1lxBEU6VguHvEpBeQLSHaiS6-CeEYhCNRbJbmkfE9B0LszHvT6ChuIWZRV6sosuwEsoJ5KMoyxa4g
8,NA1_4393464951,TFT7_Augment_CannoneerHotShot,TFT6_Augment_ThrillOfTheHunt1,TFT7_Augment_RevelPartyTime,,,1.0,,1.0,,1.0,0.0,1.0,1.0,1.0,,,,0.0,1.0,,1.0,0.0,,1.0,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,2.0,GuinsoosRageblade,UnstableConcoction,MadredsBloodrazor,,,,,,,,,2.0,GargoyleStoneplate,DragonsClaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,TearOfTheGoddess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,ArchangelsStaff,ShimmerscaleGamblersBlade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,TrainerSnax,None,None,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,StatikkShiv,,,,,,,,,,,NA1_4393464951-ZXx_4_durQgETwOheFlwAVllmWH-LbGZjPor-bJ89q9C3WRcjiSufY7kCogDPaGZ8ANqyNpUbidKAA
5,NA1_4393560457,TFT6_Augment_TinyTitans,TFT7_Augment_BandOfThieves1,TFT7_Augment_RagewingTantrum,0.0,,1.0,1.0,,0.0,1.0,0.0,,,2.0,,0.0,,,0.0,2.0,,,1.0,,,,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,Chalice,GargoyleStoneplate,1.0,JeweledGauntlet,IonicSpark,ArchangelsStaff,,,,,,,,,,,,,2.0,LastWhisper,,,,,,,,,,,2.0,InfinityEdge,RedBuff,,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,2.0,GuinsoosRageblade,InfinityEdge,UnstableConcoction,,,,,,,,,,,,,NA1_4393560457-cJ66HRwlu9F15dtG8HT6P6d1UAyQcXcuwawuMET0KIof5P2ZUL20a6iC5UtXhgwuLBpjMjx-5RSS7g
2,NA1_4393560457,TFT6_Augment_CyberneticShell1,TFT7_Augment_BandOfThieves1,TFT6_Augment_CyberneticShell2,1.0,,1.0,0.0,,,1.0,0.0,,,2.0,1.0,,,0.0,0.0,,,,1.0,,,1.0,,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,TitansResolve,Bloodthirster,UnstableConcoction,,,,,,,,,1.0,StatikkShiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ThiefsGloves,GuinsoosRageblade,SpearOfShojin,,,,,,,,,,,,,,,,,1.0,GuardianAngel,ArchangelsStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Quicksilver,,,,,,,,,,,,,,,2.0,ThiefsGloves,RunaansHurricane,Quicksilver,,,,,,,,,,,None,None,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Quicksilver,ZekesHerald,RapidFireCannon,,,,,,,,,NA1_4393560457-sN4xYShRbiGhL_1MuW1APeMF3jQ4kkJi0yKAQEU20EfaI0zBZTfHJm2dcFTX4QSumsUce22-i5zKWg
