unit,items,value_count,average_placement
TFT7_AoShin,"InfinityEdge, JeweledGauntlet, SpearOfShojin",13,3.69
TFT7_AoShin,"None, None, None",4653,4.56
TFT7_Aphelios,"None, None, None",4770,4.49
TFT7_Aphelios,"LastWhisper, ZekesHerald, ZekesHerald",16,4.62
TFT7_Aphelios,"None, None, ZekesHerald",37,5.05
TFT7_Aphelios,"LastWhisper, None, ZekesHerald",35,5.49
TFT7_Aphelios,"None, ZekesHerald, ZekesHerald",16,5.88
TFT7_AquaticDragon,"JeweledGauntlet, RabadonsDeathcap, SeraphsEmbrace",13,3.54
TFT7_AquaticDragon,"InfinityEdge, Morellonomicon, SeraphsEmbrace",18,3.67
TFT7_AquaticDragon,"JeweledGauntlet, Morellonomicon, SeraphsEmbrace",149,3.72
TFT7_AquaticDragon,"Morellonomicon, RabadonsDeathcap, SeraphsEmbrace",77,3.75
TFT7_AquaticDragon,"HextechGunblade, Morellonomicon, SeraphsEmbrace",39,3.77
TFT7_AurelionSol,"None, None, None",4831,4.53
TFT7_Bard,"None, None, SpearOfShojin",22,2.95
TFT7_Bard,"None, None, Shroud",39,2.97
TFT7_Bard,"None, None, ZekesHerald",28,3.04
TFT7_Bard,"None, None, PowerGauntlet",16,3.25
TFT7_Bard,"None, None, StatikkShiv",34,3.38
TFT7_Braum,"None, None, None",4941,4.5
TFT7_Diana,"None, None, None",4881,4.51
TFT7_DragonBlue,"ArchangelsStaff, InfinityEdge, JeweledGauntlet",20,4.25
TFT7_DragonBlue,"GuinsoosRageblade, InfinityEdge, JeweledGauntlet",18,4.44
TFT7_DragonBlue,"None, None, None",4508,4.5
TFT7_DragonEarth,"None, None, None",4704,4.59
TFT7_DragonGold,"None, None, None",4445,4.49
TFT7_DragonGreen,"None, None, None",4779,4.5
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, TitansResolve",13,4.85
TFT7_DragonGuild,"None, None, None",4871,4.49
TFT7_DragonPurple,"None, None, None",4733,4.52
TFT7_DragonSwain,"None, None, None",4962,4.5
TFT7_Ezreal,"None, None, None",5028,4.5
TFT7_Gnar,"None, None, None",4954,4.5
TFT7_Graves,"Bloodthirster, GuardianAngel, TitansResolve",14,4.29
TFT7_Graves,"None, None, None",4231,4.45
TFT7_Graves,"Bloodthirster, GuardianAngel, LastWhisper",38,4.45
TFT7_Graves,"GuardianAngel, InfinityEdge, LastWhisper",13,4.77
TFT7_Graves,"Bloodthirster, GuardianAngel, InfinityEdge",17,4.82
TFT7_Hecarim,"FrozenHeart, None, TearOfTheGoddess",16,4.19
TFT7_Hecarim,"None, None, SeraphsEmbrace",47,4.34
TFT7_Hecarim,"None, None, Shroud",16,4.38
TFT7_Hecarim,"FrozenHeart, GargoyleStoneplate, None",17,4.41
TFT7_Hecarim,"FrozenHeart, None, SwiftshotEmblemItem",12,4.42
TFT7_Jax,"None, None, TitanicHydra",18,4.39
TFT7_Jax,"None, None, None",4810,4.5
TFT7_Jax,"FrozenHeart, None, None",18,5.22
TFT7_Jayce,"None, None, RedBuff",18,4.33
TFT7_Jayce,"None, None, WarmogsArmor",13,4.46
TFT7_Jayce,"None, None, TitanicHydra",15,4.47
TFT7_Jayce,"None, None, None",3703,4.57
TFT7_Jayce,"FrozenHeart, None, None",32,5.03
TFT7_Kaisa,"None, None, None",4956,4.49
TFT7_Karma,"None, None, None",4967,4.5
TFT7_LeeSin,"None, None, None",4874,4.5
TFT7_Leona,"None, None, None",4904,4.5
TFT7_Leona,"None, None, TitanicHydra",13,4.92
TFT7_Lillia,"None, None, None",4908,4.5
TFT7_Lux,"None, None, None",4788,4.5
TFT7_Lux,"InfinityEdge, JeweledGauntlet, SpearOfShojin",17,4.71
TFT7_Malphite,"None, Shroud, TitanicHydra",18,3.28
TFT7_Malphite,"FrozenHeart, None, TitanicHydra",19,3.53
TFT7_Malphite,"None, None, RedBuff",13,3.54
TFT7_Malphite,"TitanicHydra, TitanicHydra, TitanicHydra",16,3.94
TFT7_Malphite,"None, TitanicHydra, TitanicHydra",48,4.0
TFT7_Nasus,"None, None, None",4989,4.5
TFT7_Nidalee,"None, None, None",4922,4.49
TFT7_Nilah,"GuardianAngel, InfinityEdge, MadredsBloodrazor",14,3.29
TFT7_Nilah,"Bloodthirster, GuardianAngel, InfinityEdge",34,3.53
TFT7_Nilah,"GuardianAngel, MadredsBloodrazor, UnstableConcoction",13,3.92
TFT7_Nilah,"None, None, None",4152,4.54
TFT7_Nilah,"Bloodthirster, GuardianAngel, None",12,4.58
TFT7_NomsyCannoneer,"None, None, None",4997,4.5
TFT7_NomsyEvoker,"None, None, None",4979,4.5
TFT7_NomsyMage,"None, None, None",4859,4.51
TFT7_NomsyMage,"InfinityEdge, JeweledGauntlet, SpearOfShojin",16,5.19
TFT7_Nunu,"None, None, None",4617,4.5
TFT7_Nunu,"Bloodthirster, DragonmancerEmblemItem, UnstableConcoction",18,4.67
TFT7_Nunu,"None, None, RedBuff",19,4.89
