augment1_grp,Value_Count,average_placement
TFT6_Augment_Traitless1,20,3.5
TFT7_Augment_SwiftshotEmblem2,6,3.67
TFT7_Augment_SwiftshotPressTheAttack,16,3.75
TFT6_Augment_TriForce1,26,3.81
TFT6_Augment_CyberneticUplink2,120,3.84
TFT7_Augment_GuardianEmblem,20,3.85
TFT7_Augment_WarriorEmblem2,7,3.86
TFT7_Augment_CavalierEmblem2,24,3.88
TFT7_Augment_DragonAlliance,283,3.89
TFT7_Augment_MysticTrait,65,3.92
TFT7_Augment_DragonHorde,228,3.93
TFT7_Augment_MageEmblem2,92,3.95
TFT6_Augment_CyberneticUplink1,181,3.96
TFT6_Augment_Diversify2,550,3.97
TFT7_Augment_ScalescornTrait,34,3.97
TFT7_Augment_ShapeshifterBeastsDen,37,3.97
TFT7_Augment_JadeEmblem,323,3.98
TFT7_Augment_CavalierDevastatingCharge,19,4.0
TFT7_Augment_RagewingTantrum,20,4.0
TFT7_Augment_EvokerEmblem,22,4.0
TFT7_Augment_TempestEmblem2,1,4.0
TFT7_Augment_ScalescornEmblem2,15,4.0
TFT7_Augment_MirageEmblem,63,4.02
TFT6_Augment_MaxLevel10,416,4.06
TFT7_Augment_ScalescornEmblem,36,4.06
TFT7_Augment_MysticTrait2,17,4.06
TFT6_Augment_CyberneticUplink3,49,4.06
TFT7_Augment_RagewingScorch,38,4.08
TFT6_Augment_CyberneticShell2,71,4.08
TFT6_Augment_Diversify1,837,4.08
TFT7_Augment_JadeTrait2,90,4.09
TFT7_Augment_MirageHallucinate,35,4.09
TFT7_Augment_GuardianTrait,42,4.14
TFT6_Augment_HighEndShopping,448,4.2
TFT7_Augment_ShapeshifterTrait2,14,4.21
TFT7_Augment_MirageTrait,112,4.22
TFT7_Augment_EvokerEssenceTheft,18,4.22
TFT7_Augment_CannoneerEmblem2,73,4.23
TFT6_Augment_Featherweights3,47,4.23
TFT6_Augment_CyberneticShell1,118,4.24
TFT6_Augment_Traitless2,17,4.24
TFT7_Augment_RevelPartyFavors,71,4.24
TFT7_Augment_GadgetExpert,331,4.26
TFT6_Augment_Distancing2,131,4.27
TFT6_Augment_Traitless3,14,4.29
TFT7_Augment_BestFriends2,255,4.31
TFT7_Augment_BruiserTrait,67,4.31
TFT7_Augment_BestFriends3,143,4.31
TFT6_Augment_ComponentGrabBag,676,4.32
TFT6_Augment_Distancing,229,4.32
TFT7_Augment_MageConferenceHR,3,4.33
TFT6_Augment_Diversify3,222,4.33
TFT7_Augment_ShapeshifterTrait,36,4.33
TFT7_Augment_TempestEmblem,3,4.33
TFT7_Augment_JadeEternalProtection,74,4.34
TFT6_Augment_Ascension,565,4.34
TFT7_Augment_CannoneerTrait,261,4.34
TFT6_Augment_Featherweights2,68,4.35
