unit,items,value_count,average_placement
TFT7_Aatrox,"None, None, TitanicHydra",45,3.53
TFT7_Aatrox,"LocketOfTheIronSolari, None, None",13,3.54
TFT7_Aatrox,"None, None, Shroud",23,3.61
TFT7_Aatrox,"None, None, Zephyr",33,3.67
TFT7_Aatrox,"None, None, ShimmerscaleHeartOfGold",15,3.73
TFT7_Anivia,"JeweledGauntlet, MadredsBloodrazor, Morellonomicon",17,2.82
TFT7_Anivia,"HextechGunblade, MadredsBloodrazor, Morellonomicon",12,2.83
TFT7_Anivia,"ArchangelsStaff, Morellonomicon, OrnnMuramana",12,2.83
TFT7_Anivia,"JeweledGauntlet, Morellonomicon, StatikkShiv",24,3.0
TFT7_Anivia,"HextechGunblade, Morellonomicon, StatikkShiv",21,3.05
TFT7_AoShin,"ArchangelsStaff, MadredsBloodrazor, UnstableConcoction",25,2.6
TFT7_AoShin,"ArchangelsStaff, GuinsoosRageblade, MadredsBloodrazor",23,2.74
TFT7_AoShin,"ArchangelsStaff, Morellonomicon, SpearOfShojin",21,2.76
TFT7_AoShin,"ArchangelsStaff, OrnnZhonyasParadox, SpearOfShojin",13,2.77
TFT7_AoShin,"InfinityEdge, JeweledGauntlet, UnstableConcoction",14,3.0
TFT7_Ashe,"Deathblade, None, None",15,3.07
TFT7_Ashe,"LastWhisper, None, None",53,3.49
TFT7_Ashe,"None, None, Shroud",57,3.74
TFT7_Ashe,"InfinityEdge, None, None",20,3.8
TFT7_Ashe,"None, None, Zephyr",97,3.86
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, RabadonsDeathcap",17,2.65
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, Morellonomicon",17,2.76
TFT7_AurelionSol,"ArchangelsStaff, ArchangelsStaff, HextechGunblade",23,3.0
TFT7_AurelionSol,"ArchangelsStaff, HextechGunblade, JeweledGauntlet",33,3.18
TFT7_AurelionSol,"HextechGunblade, JeweledGauntlet, MageEmblemItem",12,3.5
TFT7_Bard,"EmptyBag, EmptyBag, ThiefsGloves",26,1.35
TFT7_Bard,"None, None, Redemption",40,2.52
TFT7_Bard,"Chalice, None, ZekesHerald",17,2.59
TFT7_Bard,"Bloodthirster, None, None",16,2.75
TFT7_Bard,"None, ShimmerscaleEmblemItem, ShimmerscaleHeartOfGold",17,2.76
TFT7_Braum,"None, None, Redemption",25,4.04
TFT7_Braum,"None, None, TitanicHydra",53,4.08
TFT7_Braum,"None, None, Zephyr",43,4.09
TFT7_Braum,"GargoyleStoneplate, RedBuff, WarmogsArmor",13,4.23
TFT7_Braum,"LocketOfTheIronSolari, None, None",24,4.25
TFT7_Corki,"Deathblade, MadredsBloodrazor, RunaansHurricane",12,3.08
TFT7_Corki,"InfinityEdge, StatikkShiv, UnstableConcoction",12,3.25
TFT7_Corki,"GuinsoosRageblade, LastWhisper, RunaansHurricane",23,3.35
TFT7_Corki,"GuinsoosRageblade, RunaansHurricane, ShimmerscaleDravensAxe",13,3.38
TFT7_Corki,"InfinityEdge, RunaansHurricane, UnstableConcoction",28,3.46
TFT7_Diana,"FrozenHeart, IonicSpark, RedBuff",92,3.45
TFT7_Diana,"FrozenHeart, InfinityEdge, IonicSpark",28,3.57
TFT7_Diana,"FrozenHeart, IonicSpark, RabadonsDeathcap",15,3.73
TFT7_Diana,"None, None, None",36086,4.5
TFT7_Diana,"IonicSpark, None, RedBuff",12,4.58
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, RabadonsDeathcap",13,3.08
TFT7_DragonBlue,"JeweledGauntlet, StatikkShiv, UnstableConcoction",13,3.08
TFT7_DragonBlue,"GuinsoosRageblade, Quicksilver, WhispersEmblemItem",89,3.48
TFT7_DragonBlue,"ArchangelsStaff, ArchangelsStaff, StatikkShiv",14,3.5
TFT7_DragonBlue,"GuinsoosRageblade, MadredsBloodrazor, WhispersEmblemItem",12,3.67
TFT7_DragonGold,"GargoyleStoneplate, ShimmerscaleMogulsMail, TitanicHydra",15,2.93
TFT7_DragonGold,"DragonsClaw, GargoyleStoneplate, Redemption",13,3.0
TFT7_DragonGold,"IonicSpark, RedBuff, WarmogsArmor",14,3.07
TFT7_DragonGold,"RedBuff, ShimmerscaleDiamondHands, ShimmerscaleMogulsMail",14,3.36
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, ShimmerscaleDiamondHands",32,3.38
TFT7_DragonGreen,"GuardianAngel, OrnnDeathsDefiance, TitansResolve",24,3.21
TFT7_DragonGreen,"GuardianAngel, InfinityEdge, UnstableConcoction",31,3.52
TFT7_DragonGreen,"GuardianAngel, TitansResolve, TitansResolve",18,3.61
TFT7_DragonGreen,"GuinsoosRageblade, TitansResolve, UnstableConcoction",16,3.62
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, Quicksilver",22,3.64
TFT7_DragonPurple,"Bloodthirster, GargoyleStoneplate, TitansResolve",14,3.07
TFT7_DragonPurple,"Bloodthirster, HextechGunblade, TitansResolve",16,3.44
TFT7_DragonPurple,"Bloodthirster, Deathblade, TitansResolve",21,3.52
TFT7_DragonPurple,"HextechGunblade, InfinityEdge, TitansResolve",12,3.67
TFT7_DragonPurple,"Bloodthirster, GuardianAngel, Quicksilver",33,3.73
TFT7_Elise,"Bloodthirster, GuinsoosRageblade, Quicksilver",130,4.41
TFT7_Elise,"None, None, None",36754,4.5
TFT7_Elise,"GuinsoosRageblade, Quicksilver, UnstableConcoction",13,4.77
TFT7_Elise,"ArchangelsStaff, GuinsoosRageblade, Quicksilver",15,5.07
TFT7_Elise,"ArchangelsStaff, Bloodthirster, GuinsoosRageblade",13,5.62
TFT7_Ezreal,"None, None, None",37259,4.5
TFT7_Ezreal,"InfinityEdge, JeweledGauntlet, SeraphsEmbrace",19,4.68
TFT7_Gnar,"EmptyBag, EmptyBag, ThiefsGloves",24,1.58
TFT7_Gnar,"ForceOfNature, None, None",14,3.43
TFT7_Gnar,"Chalice, None, None",16,3.44
TFT7_Gnar,"None, None, Zephyr",89,3.45
TFT7_Gnar,"None, None, Shroud",104,3.54
TFT7_Hecarim,"EmptyBag, EmptyBag, ThiefsGloves",24,2.12
TFT7_Hecarim,"Morellonomicon, None, Shroud",15,2.93
TFT7_Hecarim,"Chalice, None, None",37,3.27
TFT7_Hecarim,"None, ZekesHerald, ZekesHerald",12,3.33
TFT7_Hecarim,"DragonmancerEmblemItem, None, None",18,3.33
TFT7_Heimerdinger,"Morellonomicon, None, None",12,3.0
TFT7_Heimerdinger,"GiantsBelt, None, None",20,3.2
TFT7_Heimerdinger,"None, None, ZekesHerald",29,3.48
TFT7_Heimerdinger,"None, None, RedBuff",18,3.5
TFT7_Heimerdinger,"NegatronCloak, None, None",26,3.54
TFT7_Illaoi,"RedBuff, Redemption, WarmogsArmor",12,3.17
TFT7_Illaoi,"GargoyleStoneplate, RedBuff, TitanicHydra",13,3.31
