placement,group,comp,grp_count,grp_placement,mode
1,0,"AoShin, Bard, DragonEarth, Shyvana, Soraka",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
2,0,"AoShin, AurelionSol, Bard, DragonEarth, DragonGreen, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
2,0,"DragonBlue, DragonEarth, DragonGold, Shyvana, Soraka, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
3,0,"AoShin, Bard, Pantheon, Seraphine, Shyvana, Sylas, Zyra",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
5,0,"AoShin, Bard, DragonEarth, LeeSin, TFT7b_Volibear",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
3,0,"AoShin, Bard, DragonEarth, Shyvana, Soraka",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
7,0,"Bard, DragonEarth, DragonPurple, Graves, Pantheon, Zeri, Zyra",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
2,0,"AoShin, Bard, DragonEarth, LeeSin, Soraka, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
5,0,"AoShin, DragonEarth, Rakan, Shyvana, Soraka, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
1,0,"AoShin, DragonEarth, DragonGreen, Graves, Jayce, Shyvana",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
1,0,"AoShin, Bard, DragonEarth, DragonGold, LeeSin, Shyvana",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
7,0,"Bard, DragonEarth, Graves, Kaisa, LeeSin, Pantheon, Sylas, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
3,0,"AoShin, AurelionSol, DragonEarth, Shyvana, Zoe",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
8,0,"AoShin, Bard, DragonGold, NomsyEvoker, Shyvana, TFT7b_Lulu",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
1,0,"AoShin, Bard, DragonEarth, DragonGreen, Shyvana, Soraka",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
7,0,"AoShin, Bard, DragonEarth, DragonGold, DragonPurple, Soraka",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
3,0,"AoShin, Bard, DragonEarth, Jayce, Shyvana, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
3,0,"AoShin, DragonEarth, DragonGreen, Graves, Shyvana",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
6,0,"Bard, DragonEarth, Jayce, Nilah, Qiyana, Shyvana",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
5,0,"AoShin, Bard, DragonEarth, Hecarim, Jayce, Shyvana",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
2,0,"AoShin, AurelionSol, Bard, DragonEarth, DragonGreen, Graves",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
4,0,"AoShin, DragonEarth, DragonPurple, LeeSin, Shyvana, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
2,0,"AoShin, AurelionSol, DragonEarth, Jayce, Shyvana, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
3,0,"AoShin, AurelionSol, Bard, DragonEarth, LeeSin, Shyvana, Soraka, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
8,0,"AoShin, DragonEarth, DragonGreen, Jayce, Shyvana, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
5,0,"AoShin, Bard, DragonEarth, DragonGreen, Seraphine, Shyvana, Soraka",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
2,0,"AoShin, Bard, DragonGold, DragonPurple, Shyvana, Sylas",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
2,0,"Bard, DragonEarth, Hecarim, Jayce, Kaisa, Shyvana, Yasuo",353,3.35,"AoShin, Bard, DragonEarth, DragonGold, Shyvana, Soraka"
