augment1_grp,Value_Count,average_placement
TFT7_Augment_DragonmancerInTraining,1,1.0
TFT6_Augment_TriForce2,1,2.0
TFT6_Augment_TriForce3,1,2.0
TFT7_Augment_CavalierEmblem2,7,2.0
TFT6_Augment_Traitless1,2,2.0
TFT7_Augment_ScalescornBaseCamp,3,2.67
TFT7_Augment_ShimmerscaleEmblem,11,2.82
TFT7_Augment_CavalierForAllUnits,6,2.83
TFT7_Augment_ScalescornTrait,13,2.92
TFT6_Augment_CyberneticImplants3,6,3.0
TFT7_Augment_TempestEmblem2,1,3.0
TFT7_Augment_SwiftshotEmblem2,9,3.11
TFT7_Augment_CavalierDevastatingCharge,9,3.11
TFT7_Augment_WarriorTiamat,8,3.12
TFT7_Augment_GuildEmblem,20,3.15
TFT7_Augment_CannoneerRicochet,6,3.17
TFT7_Augment_TempestEmblem,4,3.25
TFT6_Augment_Traitless2,6,3.33
TFT7_Augment_ShimmerscaleTrait2,3,3.33
TFT7_Augment_AssassinEmblem2,3,3.33
TFT7_Augment_ScalescornEmblem2,3,3.33
TFT7_Augment_MirageHallucinate,6,3.33
TFT7_Augment_ShimmerscaleSpending,3,3.33
TFT7_Augment_ShapeshifterBeastsDen,4,3.5
TFT6_Augment_FuturePeepers2,4,3.5
TFT7_Augment_DragonmancerEmblem2,4,3.5
TFT6_Augment_Twins2,20,3.55
TFT6_Augment_CyberneticShell3,7,3.57
TFT7_Augment_GuardianEmblem,7,3.57
TFT7_Augment_MageEmblem,7,3.57
TFT7_Augment_RagewingTrait,12,3.58
TFT7_Augment_ScalescornEmblem,10,3.6
TFT7_Augment_BruiserTitanicStrength,10,3.6
TFT6_Augment_MaxLevel10,36,3.61
TFT7_Augment_AgeOfDragons,14,3.71
TFT7_Augment_WarriorTrait,18,3.72
TFT6_Augment_Electrocharge3,15,3.73
TFT7_Augment_ThinkFast,8,3.75
TFT7_Augment_RagewingTrait2,4,3.75
TFT7_Augment_DragonmancerEmblem,9,3.78
TFT6_Augment_MeleeStarBlade2,58,3.84
TFT6_Augment_MeleeStarBlade1,82,3.85
TFT6_Augment_PortableForge,111,3.88
TFT7_Augment_LagoonEmblem2,8,3.88
TFT7_Augment_GuildEmblem2,10,3.9
TFT7_Augment_MirageEmblem,12,3.92
TFT7_Augment_Preparation2,17,3.94
TFT7_Augment_LagoonOasis,7,4.0
TFT7_Augment_DarkflightSoulSiphon,6,4.0
TFT6_Augment_CyberneticUplink1,32,4.0
TFT7_Augment_DarkflightEmblem,4,4.0
TFT7_Augment_BigFriend,5,4.0
TFT7_Augment_BigFriend2,7,4.0
TFT6_Augment_Twins3,3,4.0
TFT7_Augment_JadeEternalProtection,4,4.0
TFT7_Augment_WarriorEmblem2,6,4.0
TFT7_Augment_SwiftshotPressTheAttack,19,4.0
TFT6_Augment_Weakspot,178,4.06
TFT6_Augment_Battlemage2,15,4.07
TFT6_Augment_MeleeStarBlade3,24,4.08
TFT7_Augment_BandOfThieves1,128,4.09
TFT6_Augment_ComponentGrabBag,116,4.1
TFT7_Augment_MikaelsGift,91,4.1
TFT6_Augment_Battlemage3,9,4.11
TFT6_Augment_CyberneticUplink3,8,4.12
TFT6_Augment_CyberneticShell1,38,4.13
TFT7_Augment_JadeEmblem,14,4.14
TFT7_Augment_AstralIntercosmicProtection,7,4.14
TFT6_Augment_BlueBattery2,13,4.15
TFT7_Augment_CannoneerHotShot,12,4.17
TFT7_Augment_BruiserTrait,17,4.18
TFT6_Augment_CelestialBlessing2,86,4.22
TFT6_Augment_CelestialBlessing3,44,4.25
TFT7_Augment_EvokerTrait,4,4.25
TFT6_Augment_CyberneticImplants1,27,4.26
TFT6_Augment_Diversify2,50,4.3
TFT6_Augment_ThriftShop,16,4.31
TFT6_Augment_Distancing,40,4.32
TFT7_Augment_LategameSpecialist,38,4.32
TFT7_Augment_MirageEmblem2,3,4.33
TFT6_Augment_ItemGrabBag2,24,4.33
TFT7_Augment_JadeTrait2,3,4.33
TFT6_Augment_ThrillOfTheHunt2,101,4.33
TFT6_Augment_BinaryAirdrop,14,4.36
TFT7_Augment_CannoneerTrait,16,4.38
TFT6_Augment_HighEndShopping,49,4.39
TFT7_Augment_BestFriends2,45,4.4
TFT6_Augment_Electrocharge2,63,4.41
TFT7_Augment_ScopedWeapons2,14,4.43
TFT6_Augment_ThrillOfTheHunt1,151,4.46
TFT6_Augment_Diversify3,32,4.47
TFT7_Augment_BestFriends1,64,4.48
TFT7_Augment_SwiftshotTrait,20,4.5
TFT6_Augment_Featherweights3,2,4.5
TFT7_Augment_BruiserPersonalTraining,8,4.5
TFT6_Augment_TriForce1,2,4.5
TFT6_Augment_SecondWind1,136,4.5
TFT6_Augment_Electrocharge1,95,4.51
TFT6_Augment_Diversify1,78,4.53
TFT6_Augment_RichGetRicherPlus,35,4.54
TFT7_Augment_PandorasBench,27,4.56
TFT7_Augment_GuildTrait,25,4.56
