unit,items,value_count,average_placement
TFT7_AoShin,"ArchangelsStaff, HextechGunblade, SpearOfShojin",16,3.25
TFT7_AoShin,"ArchangelsStaff, JeweledGauntlet, SpearOfShojin",16,3.31
TFT7_AoShin,"InfinityEdge, JeweledGauntlet, SpearOfShojin",14,4.5
TFT7_AoShin,"None, None, None",4265,4.56
TFT7_Aphelios,"None, None, None",4363,4.5
TFT7_Aphelios,"FrozenHeart, None, None",111,5.07
TFT7_Aphelios,"None, None, TitanicHydra",28,5.5
TFT7_AquaticDragon,"None, None, None",4362,4.42
TFT7_AquaticDragon,"InfinityEdge, JeweledGauntlet, SeraphsEmbrace",32,4.44
TFT7_AquaticDragon,"ArchangelsStaff, JeweledGauntlet, SeraphsEmbrace",17,5.59
TFT7_AquaticDragon,"ArchangelsStaff, HextechGunblade, SeraphsEmbrace",16,6.31
TFT7_AurelionSol,"None, None, None",4528,4.52
TFT7_Bard,"None, None, SpearOfShojin",35,2.66
TFT7_Bard,"None, None, RecurveBow",13,2.77
TFT7_Bard,"None, None, StatikkShiv",34,2.97
TFT7_Bard,"NegatronCloak, None, None",12,3.08
TFT7_Bard,"Chalice, None, None",17,3.29
TFT7_Braum,"None, None, None",4569,4.5
TFT7_Braum,"FrozenHeart, None, None",18,4.72
TFT7_Diana,"IonicSpark, None, None",12,3.42
TFT7_Diana,"None, None, None",4501,4.54
TFT7_DragonBlue,"ArchangelsStaff, GuinsoosRageblade, MadredsBloodrazor",13,3.62
TFT7_DragonBlue,"None, None, None",4379,4.54
TFT7_DragonEarth,"None, None, None",4296,4.58
TFT7_DragonGold,"FrozenHeart, GargoyleStoneplate, WarmogsArmor",13,3.38
TFT7_DragonGold,"GargoyleStoneplate, RedBuff, WarmogsArmor",13,3.77
TFT7_DragonGold,"None, None, None",3742,4.48
TFT7_DragonGold,"GargoyleStoneplate, ShimmerscaleMogulsMail, WarmogsArmor",13,4.69
TFT7_DragonGold,"GargoyleStoneplate, None, None",12,6.25
TFT7_DragonGreen,"None, None, None",4489,4.52
TFT7_DragonGreen,"Bloodthirster, GuardianAngel, TitansResolve",13,4.62
TFT7_DragonGuild,"None, None, None",4489,4.5
TFT7_DragonPurple,"None, None, None",4165,4.5
TFT7_DragonPurple,"Bloodthirster, InfinityEdge, TitansResolve",13,4.69
TFT7_DragonPurple,"Bloodthirster, GuinsoosRageblade, TitansResolve",22,5.18
TFT7_DragonSwain,"FrozenHeart, GargoyleStoneplate, Morellonomicon",12,3.58
TFT7_DragonSwain,"None, None, None",4393,4.47
TFT7_Ezreal,"None, None, None",4732,4.5
TFT7_Gnar,"None, None, None",4676,4.5
TFT7_Graves,"Bloodthirster, GuinsoosRageblade, InfinityEdge",13,4.46
TFT7_Graves,"GuinsoosRageblade, TitansResolve, UnstableConcoction",13,4.46
TFT7_Graves,"None, None, None",3851,4.49
TFT7_Graves,"Bloodthirster, GuinsoosRageblade, TitansResolve",41,4.59
TFT7_Graves,"Bloodthirster, GuinsoosRageblade, LastWhisper",12,4.75
TFT7_Hecarim,"None, None, Zephyr",14,3.21
TFT7_Hecarim,"None, None, TearOfTheGoddess",13,3.38
TFT7_Hecarim,"None, None, SeraphsEmbrace",32,3.91
TFT7_Hecarim,"None, None, TitanicHydra",25,3.92
TFT7_Hecarim,"FrozenHeart, None, None",41,3.93
TFT7_Jax,"None, None, None",4567,4.5
TFT7_Jax,"FrozenHeart, None, None",12,5.08
TFT7_Jayce,"None, None, Shroud",12,3.33
TFT7_Jayce,"None, None, RedBuff",13,3.85
TFT7_Jayce,"None, None, None",3466,4.64
TFT7_Jayce,"FrozenHeart, None, None",21,4.67
TFT7_Jayce,"Morellonomicon, None, None",12,5.67
TFT7_Kaisa,"None, None, StatikkShiv",12,4.5
TFT7_Kaisa,"None, None, None",4647,4.51
TFT7_Karma,"None, None, None",4702,4.5
TFT7_LeeSin,"InfinityEdge, JeweledGauntlet, UnstableConcoction",13,3.38
TFT7_LeeSin,"FrozenHeart, None, None",12,4.25
TFT7_LeeSin,"Bloodthirster, InfinityEdge, JeweledGauntlet",25,4.28
TFT7_LeeSin,"None, None, None",4452,4.52
TFT7_LeeSin,"None, None, Zephyr",12,4.83
TFT7_Leona,"None, None, None",4655,4.5
TFT7_Lillia,"None, None, None",4599,4.51
TFT7_Lillia,"FrozenHeart, None, None",13,4.69
TFT7_Lux,"None, None, None",4609,4.48
TFT7_Malphite,"None, None, None",4567,4.49
TFT7_Malphite,"None, None, TitanicHydra",21,5.86
TFT7_Nasus,"None, None, None",4679,4.49
TFT7_Nidalee,"None, None, None",4630,4.48
TFT7_Nilah,"None, None, None",4032,4.48
TFT7_Nilah,"InfinityEdge, None, None",12,5.5
TFT7_NomsyCannoneer,"None, None, None",4656,4.5
TFT7_NomsyEvoker,"None, None, None",4694,4.5
TFT7_NomsyMage,"None, None, None",4704,4.5
TFT7_Nunu,"None, None, None",4409,4.52
TFT7_Olaf,"Bloodthirster, InfinityEdge, RunaansHurricane",13,3.15
TFT7_Olaf,"None, None, None",4288,4.54
TFT7_Pantheon,"Bloodthirster, TitansResolve, UnstableConcoction",41,3.68
TFT7_Pantheon,"None, None, None",3782,4.57
TFT7_Pantheon,"Bloodthirster, InfinityEdge, TitansResolve",14,4.86
TFT7_Qiyana,"None, None, Shroud",12,3.5
TFT7_Qiyana,"None, None, TitanicHydra",19,3.89
TFT7_Qiyana,"FrozenHeart, None, None",40,4.35
TFT7_Qiyana,"None, None, Zephyr",12,4.5
TFT7_Qiyana,"None, None, None",4455,4.52
TFT7_Rakan,"GiantsBelt, None, None",16,3.69
TFT7_Rakan,"None, None, Shroud",34,3.85
TFT7_Rakan,"LocketOfTheIronSolari, None, None",17,3.88
TFT7_Rakan,"None, None, TitanicHydra",37,3.92
TFT7_Rakan,"None, None, SwiftshotEmblemItem",32,4.12
TFT7_Rell,"None, None, TitanicHydra",27,4.26
TFT7_Rell,"None, None, None",4329,4.5
TFT7_Rell,"FrozenHeart, FrozenHeart, None",19,5.21
TFT7_Rell,"FrozenHeart, None, None",76,5.58
TFT7_Rengar,"None, None, None",4386,4.49
TFT7_Rengar,"FrozenHeart, None, None",26,5.23
TFT7_Sejuani,"None, None, TitansResolve",13,3.15
TFT7_Sejuani,"None, None, Shroud",21,3.29
TFT7_Sejuani,"None, None, RedBuff",18,3.61
TFT7_Sejuani,"None, None, ZekesHerald",12,3.67
TFT7_Sejuani,"None, None, TitanicHydra",70,4.04
TFT7_Senna,"None, None, None",4692,4.51
TFT7_Seraphine,"None, None, Redemption",13,3.38
TFT7_Seraphine,"None, None, Shroud",14,4.29
TFT7_Seraphine,"None, None, ZekesHerald",16,4.31
TFT7_Seraphine,"None, None, None",4145,4.51
TFT7_Seraphine,"Chalice, None, None",14,4.79
TFT7_Sett,"None, None, None",4664,4.5
TFT7_Shyvana,"None, None, None",3741,4.75
TFT7_Shyvana,"Morellonomicon, None, None",12,5.25
TFT7_Skarner,"None, None, None",4641,4.49
TFT7_Soraka,"None, None, StatikkShiv",12,3.42
TFT7_Soraka,"ArchangelsStaff, None, None",12,3.83
TFT7_Soraka,"None, None, None",4352,4.59
TFT7_Soraka,"None, None, SpearOfShojin",13,5.08
TFT7_Sylas,"Morellonomicon, None, None",15,3.87
TFT7_Sylas,"None, None, Shroud",17,3.94
TFT7_Sylas,"FrozenHeart, None, None",42,4.31
TFT7_Sylas,"None, None, None",3793,4.47
TFT7_Sylas,"None, None, RedBuff",23,4.74
TFT7_Taliyah,"None, None, None",4660,4.49
TFT7_Twitch,"None, None, RunaansHurricane",13,2.92
TFT7_Twitch,"None, None, Zephyr",18,3.06
TFT7_Twitch,"None, PowerGauntlet, ZekesHerald",18,3.44
TFT7_Twitch,"None, None, PowerGauntlet",40,3.85
TFT7_Twitch,"None, None, StatikkShiv",35,4.09
TFT7_Varus,"None, None, None",4633,4.5
TFT7_Vladimir,"None, None, None",4659,4.49
TFT7_Wukong,"None, None, None",4686,4.5
TFT7_Xayah,"GuinsoosRageblade, MadredsBloodrazor, RunaansHurricane",29,3.28
TFT7_Xayah,"GuinsoosRageblade, InfinityEdge, LastWhisper",31,3.45
TFT7_Xayah,"GuinsoosRageblade, LastWhisper, MadredsBloodrazor",32,3.59
TFT7_Xayah,"Deathblade, GuinsoosRageblade, MadredsBloodrazor",19,3.74
TFT7_Xayah,"GuinsoosRageblade, InfinityEdge, Quicksilver",16,3.81
TFT7_Yasuo,"Bloodthirster, None, None",19,3.84
TFT7_Yasuo,"None, None, UnstableConcoction",20,4.1
TFT7_Yasuo,"None, None, SeraphsEmbrace",15,4.13
TFT7_Yasuo,"GuardianAngel, None, None",25,4.64
TFT7_Yasuo,"None, None, None",3527,4.78
TFT7_Yone,"None, None, ZekesHerald",19,4.32
TFT7_Yone,"None, None, None",4514,4.53
TFT7_Zac,"None, None, None",4617,4.48
TFT7_Zeri,"None, None, None",4504,4.5
TFT7_Zoe,"None, None, None",4313,4.53
TFT7_Zoe,"None, None, SpearOfShojin",23,4.74
TFT7_Zoe,"None, None, StatikkShiv",18,5.22
TFT7_Zoe,"None, None, TearOfTheGoddess",12,5.58
TFT7_Zyra,"Morellonomicon, None, None",17,3.76
TFT7_Zyra,"None, None, SpearOfShojin",12,4.33
TFT7_Zyra,"None, None, None",4383,4.53
TFT7_Zyra,"None, None, StatikkShiv",12,4.83
TFT7_Zyra,"MageEmblemItem, None, None",15,5.2
TFT7b_Heimerdinger,"None, None, None",4752,4.5
TFT7b_Lulu,"None, None, None",4752,4.5
TFT7b_Tristana,"None, None, None",4752,4.5
TFT7b_Volibear,"None, None, None",4566,4.51
