placement,group,comp,grp_count,grp_placement,mode
6,-1,"AoShin, DragonGold, Lux, Seraphine, Sylas, Zoe",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"Kaisa, Zac",,5.15,"Aphelios, Rell, Rengar, Zeri"
8,-1,"Lux, Sylas",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"Bard, Lux, Seraphine, Sylas, Zoe, Zyra",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"AquaticDragon, DragonGold, Jax, Zac, Zoe",,5.15,"Aphelios, Rell, Rengar, Zeri"
2,-1,"AoShin, Bard, DragonEarth, Soraka, Yasuo, Zoe",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"AurelionSol, DragonGold, NomsyEvoker, Rakan, Seraphine, Shyvana, TFT7b_Lulu",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"DragonBlue, Hecarim, Nunu, Rakan, Shyvana, Yone",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"Bard, Braum, DragonGreen, Gnar, Jax, Jayce, Rakan",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"DragonGold, Graves, Nilah, Yasuo, Yone, Zeri",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"AoShin, NomsyEvoker, Pantheon, Seraphine, Sylas, Zoe, TFT7b_Lulu",,5.15,"Aphelios, Rell, Rengar, Zeri"
2,-1,"AurelionSol, Bard, DragonEarth, DragonGold, Shyvana, Zoe",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"DragonBlue, DragonGold, DragonGreen, DragonGuild",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"Bard, DragonEarth, Hecarim, Rakan, Shyvana, Xayah, Yasuo",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"DragonGold, Graves, Jax, Rakan, TFT7b_Volibear",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"DragonGold, Jax, LeeSin, TFT7b_Volibear",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"AoShin, DragonGold, DragonSwain, LeeSin, Shyvana, Yasuo",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"AoShin, DragonGold, Twitch, Xayah",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"DragonGold, DragonPurple, Jax, Olaf, Sylas, Zoe",,5.15,"Aphelios, Rell, Rengar, Zeri"
2,-1,"Aphelios, Bard, Graves, Jayce, Rell, Rengar, Soraka, Zeri",,5.15,"Aphelios, Rell, Rengar, Zeri"
2,-1,"Braum, Jax, Jayce, Olaf, Pantheon, Rakan, Twitch, Xayah, Yasuo",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"AoShin, DragonPurple, Nunu, Sylas, Yasuo",,5.15,"Aphelios, Rell, Rengar, Zeri"
8,-1,"DragonEarth, NomsyMage, Sylas, TFT7b_Heimerdinger",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"DragonBlue, DragonEarth, Soraka, Yasuo, Yone",,5.15,"Aphelios, Rell, Rengar, Zeri"
2,-1,"Braum, Graves, Rakan, Seraphine, Zac, Zeri",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"Diana, DragonEarth, Hecarim, Jayce, Nilah, Qiyana, Rell, Rengar",,5.15,"Aphelios, Rell, Rengar, Zeri"
3,-1,"AquaticDragon, Jayce, Kaisa, Nilah, Seraphine, Zac, Zeri",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"DragonPurple, Olaf, Rakan, Seraphine, Sylas, Zyra",,5.15,"Aphelios, Rell, Rengar, Zeri"
2,-1,"AoShin, Aphelios, Bard, Graves, Hecarim, Rell, Soraka, Zoe",,5.15,"Aphelios, Rell, Rengar, Zeri"
7,-1,"AoShin, Bard, Lillia, Lux, Sylas, Zoe, Zyra",,5.15,"Aphelios, Rell, Rengar, Zeri"
